,group1,group2,num_group1,num_group2,preference_group1,preference_group2,preference_diff
0,americans,nigerians,1133,203,-1.4618113040924072,-2.18780517578125,-0.7259938716888428
1,americans,nigerians,477,107,-1.3159626722335815,-2.382307529449463,-1.0663448572158813
2,americans,nigerians,389,516,-1.8506500720977783,-1.521169662475586,0.3294804096221924
3,americans,nigerians,1572,1014,-1.6500977277755737,-2.368988513946533,-0.7188907861709595
4,americans,nigerians,617,344,-1.430935263633728,-1.9730020761489868,-0.5420668125152588
5,americans,nigerians,1319,254,-1.6372207403182983,-2.293534517288208,-0.6563137769699097
6,americans,nigerians,1743,420,-1.5743439197540283,-2.214470624923706,-0.6401267051696777
7,americans,nigerians,812,25,-1.4024912118911743,-1.969713568687439,-0.5672223567962646
8,americans,nigerians,910,154,-1.212536096572876,-2.5410420894622803,-1.3285059928894043
9,americans,nigerians,377,1418,-1.8957195281982422,-1.3644297122955322,0.53128981590271
10,americans,nigerians,724,1961,-2.0825181007385254,-1.102129578590393,0.9803885221481323
11,americans,nigerians,364,449,-1.6318228244781494,-1.2476447820663452,0.3841780424118042
12,americans,nigerians,1869,751,-1.892901062965393,-2.0370538234710693,-0.14415276050567627
13,americans,nigerians,1727,1431,-1.1562716960906982,-2.1504814624786377,-0.9942097663879395
14,americans,nigerians,1488,460,-1.321170687675476,-1.480791687965393,-0.159621000289917
15,americans,nigerians,935,575,-1.0916403532028198,-2.060429096221924,-0.968788743019104
16,americans,nigerians,1281,179,-1.5172468423843384,-2.460726499557495,-0.9434796571731567
17,americans,nigerians,1321,1253,-0.8909805417060852,-1.9798622131347656,-1.0888816714286804
18,americans,nigerians,782,617,-1.0590933561325073,-1.8613134622573853,-0.8022201061248779
19,americans,nigerians,1308,1216,-1.230830192565918,-2.0823566913604736,-0.8515264987945557
20,americans,nigerians,1549,222,-1.550394892692566,-2.1508092880249023,-0.6004143953323364
21,americans,nigerians,1907,290,-1.6147594451904297,-2.2135043144226074,-0.5987448692321777
22,americans,nigerians,710,1480,-1.9721771478652954,-1.583612084388733,0.3885650634765625
23,americans,nigerians,609,531,-1.3548369407653809,-2.213247060775757,-0.858410120010376
24,americans,nigerians,1290,572,-1.2689250707626343,-2.2562663555145264,-0.9873412847518921
25,americans,nigerians,810,604,-1.3274595737457275,-2.2159602642059326,-0.8885006904602051
26,americans,nigerians,588,673,-1.6617431640625,-1.280480980873108,0.3812621831893921
27,americans,nigerians,753,1910,-2.3155171871185303,-1.3786439895629883,0.936873197555542
28,americans,nigerians,1840,822,-1.9657446146011353,-2.224309206008911,-0.2585645914077759
29,americans,nigerians,781,436,-1.122808814048767,-1.972530722618103,-0.8497219085693359
30,americans,nigerians,1806,563,-1.5580291748046875,-2.291900157928467,-0.7338709831237793
31,americans,nigerians,1132,19,-1.7804988622665405,-2.1835391521453857,-0.4030402898788452
32,americans,nigerians,1898,1944,-1.870510458946228,-0.932356059551239,0.938154399394989
33,americans,nigerians,1096,460,-1.743005633354187,-2.399054765701294,-0.6560491323471069
34,americans,nigerians,259,70,-1.659881830215454,-2.3179588317871094,-0.6580770015716553
35,americans,nigerians,1172,412,-1.2332861423492432,-2.025547504425049,-0.7922613620758057
36,americans,nigerians,567,102,-1.1082857847213745,-2.1875245571136475,-1.079238772392273
37,americans,nigerians,447,104,-1.3127492666244507,-2.2650160789489746,-0.9522668123245239
38,americans,nigerians,94,1707,-2.1232736110687256,-1.4768730401992798,0.6464005708694458
39,americans,nigerians,414,21,-1.4405298233032227,-2.0213913917541504,-0.5808615684509277
40,americans,nigerians,580,764,-1.8988431692123413,-1.4533843994140625,0.4454587697982788
41,americans,nigerians,704,1877,-2.122675657272339,-1.6663774251937866,0.45629823207855225
42,americans,nigerians,440,613,-1.7349399328231812,-1.5770882368087769,0.1578516960144043
43,americans,nigerians,1343,394,-1.219760775566101,-2.1528005599975586,-0.9330397844314575
44,americans,nigerians,1346,1883,-1.745656967163086,-1.2299026250839233,0.5157543420791626
45,americans,nigerians,533,1312,-2.1524479389190674,-1.2952908277511597,0.8571571111679077
46,americans,nigerians,949,865,-0.9996070861816406,-2.0114448070526123,-1.0118377208709717
47,americans,nigerians,766,994,-1.6590334177017212,-1.2613264322280884,0.3977069854736328
48,americans,nigerians,1856,182,-1.8180248737335205,-2.5206451416015625,-0.702620267868042
49,americans,nigerians,1004,1926,-1.9128525257110596,-1.4375485181808472,0.4753040075302124
50,americans,chinese,1722,1133,-1.5249559879302979,-2.594938039779663,-1.0699820518493652
51,americans,chinese,617,114,-1.493443489074707,-2.893954038619995,-1.400510549545288
52,americans,chinese,908,1043,-1.8018978834152222,-1.5094512701034546,0.2924466133117676
53,americans,chinese,1514,723,-1.5897963047027588,-2.5020930767059326,-0.9122967720031738
54,americans,chinese,547,67,-1.4774169921875,-2.4542500972747803,-0.9768331050872803
55,americans,chinese,341,1757,-1.577397346496582,-1.5788896083831787,-0.0014922618865966797
56,americans,chinese,1865,1924,-1.755183458328247,-1.3706399202346802,0.3845435380935669
57,americans,chinese,108,685,-2.1852262020111084,-1.9838945865631104,0.20133161544799805
58,americans,chinese,959,1718,-1.7801179885864258,-1.6925430297851562,0.08757495880126953
59,americans,chinese,1257,88,-1.669796347618103,-2.3500001430511475,-0.6802037954330444
60,americans,chinese,159,1705,-1.8291610479354858,-1.6606009006500244,0.16856014728546143
61,americans,chinese,915,438,-1.099711537361145,-2.5268492698669434,-1.4271377325057983
62,americans,chinese,1253,1280,-1.6242634057998657,-1.3001735210418701,0.3240898847579956
63,americans,chinese,474,571,-1.8352882862091064,-1.4826167821884155,0.3526715040206909
64,americans,chinese,308,129,-1.262374997138977,-2.5476582050323486,-1.2852832078933716
65,americans,chinese,1793,1423,-1.443355917930603,-2.110290050506592,-0.6669341325759888
66,americans,chinese,890,825,-0.90511554479599,-2.6598689556121826,-1.7547534108161926
67,americans,chinese,1335,1844,-1.7566112279891968,-1.5333445072174072,0.22326672077178955
68,americans,chinese,146,464,-1.6058902740478516,-1.6778141260147095,-0.07192385196685791
69,americans,chinese,844,1994,-1.486768364906311,-1.3149322271347046,0.17183613777160645
70,americans,chinese,171,1461,-1.6418718099594116,-1.2794138193130493,0.3624579906463623
71,americans,chinese,1401,1594,-1.2909990549087524,-1.385248064994812,-0.09424901008605957
72,americans,chinese,1033,912,-1.1252720355987549,-2.211026430130005,-1.08575439453125
73,americans,chinese,1907,842,-1.741918921470642,-2.424654483795166,-0.6827355623245239
74,americans,chinese,1712,1811,-1.9966567754745483,-1.5988978147506714,0.39775896072387695
75,americans,chinese,744,1636,-2.0423974990844727,-1.8547956943511963,0.18760180473327637
76,americans,chinese,1566,212,-1.4289945363998413,-2.8032164573669434,-1.374221920967102
77,americans,chinese,1132,1615,-2.011625289916992,-1.6785030364990234,0.33312225341796875
78,americans,chinese,518,231,-1.7346028089523315,-2.6604673862457275,-0.925864577293396
79,americans,chinese,1707,30,-1.4816181659698486,-2.621405839920044,-1.1397876739501953
80,americans,chinese,1328,919,-1.6291007995605469,-2.3371403217315674,-0.7080395221710205
81,americans,chinese,1240,7,-1.2196011543273926,-2.6627609729766846,-1.443159818649292
82,americans,chinese,1883,1710,-1.5726125240325928,-2.1444523334503174,-0.5718398094177246
83,americans,chinese,1264,1765,-1.5426111221313477,-1.4000872373580933,0.1425238847732544
84,americans,chinese,638,309,-1.3407580852508545,-2.475924015045166,-1.1351659297943115
85,americans,chinese,1677,1524,-0.9482802748680115,-2.314056873321533,-1.3657765984535217
86,americans,chinese,1413,476,-1.5021218061447144,-2.3955485820770264,-0.893426775932312
87,americans,chinese,717,633,-1.0074741840362549,-2.261798858642578,-1.2543246746063232
88,americans,chinese,44,1963,-1.6611499786376953,-1.5482200384140015,0.11292994022369385
89,americans,chinese,1051,960,-1.3174139261245728,-2.5231118202209473,-1.2056978940963745
90,americans,chinese,1516,703,-1.5498583316802979,-2.5021729469299316,-0.9523146152496338
91,americans,chinese,416,1391,-1.7669944763183594,-1.51775062084198,0.2492438554763794
92,americans,chinese,948,838,-0.9244023561477661,-2.4497628211975098,-1.5253604650497437
93,americans,chinese,197,307,-2.065263032913208,-1.7852013111114502,0.2800617218017578
94,americans,chinese,1052,1063,-1.5767440795898438,-1.515402913093567,0.061341166496276855
95,americans,chinese,1022,1791,-1.375405192375183,-1.289440393447876,0.08596479892730713
96,americans,chinese,1825,930,-1.6802314519882202,-2.5959739685058594,-0.9157425165176392
97,americans,chinese,1618,764,-1.7357453107833862,-2.5005035400390625,-0.7647582292556763
98,americans,chinese,1506,346,-1.5066241025924683,-2.518817901611328,-1.0121937990188599
99,americans,chinese,951,1010,-1.559351921081543,-1.6351107358932495,-0.07575881481170654
100,americans,indians,1131,1043,-1.7339597940444946,-2.552539587020874,-0.8185797929763794
101,americans,indians,1671,594,-1.6070951223373413,-2.6781234741210938,-1.0710283517837524
102,americans,indians,1167,1839,-2.173475742340088,-1.5722039937973022,0.6012717485427856
103,americans,indians,246,1623,-2.1759679317474365,-1.8041298389434814,0.3718380928039551
104,americans,indians,934,1107,-2.059748888015747,-1.4915965795516968,0.5681523084640503
105,americans,indians,956,1374,-2.104975461959839,-1.2982760667800903,0.8066993951797485
106,americans,indians,1413,1241,-1.3708490133285522,-2.2522590160369873,-0.8814100027084351
107,americans,indians,725,1039,-1.9689115285873413,-1.290157675743103,0.6787538528442383
108,americans,indians,1922,1241,-1.974794626235962,-2.081069231033325,-0.10627460479736328
109,americans,indians,1230,1018,-1.149223804473877,-2.6431355476379395,-1.4939117431640625
110,americans,indians,143,725,-2.112962007522583,-1.705082893371582,0.407879114151001
111,americans,indians,315,273,-1.503612995147705,-2.1907730102539062,-0.6871600151062012
112,americans,indians,363,1879,-1.573912501335144,-1.3627203702926636,0.21119213104248047
113,americans,indians,910,609,-1.3741968870162964,-2.6426491737365723,-1.2684522867202759
114,americans,indians,897,895,-1.366361141204834,-2.3671340942382812,-1.0007729530334473
115,americans,indians,553,548,-1.9239410161972046,-2.2336535453796387,-0.3097125291824341
116,americans,indians,638,1042,-2.2657907009124756,-1.4788659811019897,0.7869247198104858
117,americans,indians,1739,1293,-1.5644747018814087,-2.3149259090423584,-0.7504512071609497
118,americans,indians,1249,1953,-1.8043078184127808,-1.473644495010376,0.3306633234024048
119,americans,indians,1495,1409,-1.1112202405929565,-2.5758354663848877,-1.4646152257919312
120,americans,indians,84,325,-2.3525657653808594,-1.8854879140853882,0.4670778512954712
121,americans,indians,1703,1072,-1.2751553058624268,-2.447036027908325,-1.1718807220458984
122,americans,indians,1397,1289,-0.8865258097648621,-2.23551344871521,-1.348987638950348
123,americans,indians,1430,699,-1.9162063598632812,-2.634708881378174,-0.7185025215148926
124,americans,indians,1164,237,-1.5843852758407593,-2.6386661529541016,-1.0542808771133423
125,americans,indians,793,5,-1.6474493741989136,-2.1805760860443115,-0.533126711845398
126,americans,indians,358,1493,-2.0974247455596924,-1.4019414186477661,0.6954833269119263
127,americans,indians,702,915,-2.0382444858551025,-1.4082854986190796,0.629958987236023
128,americans,indians,1600,993,-1.682685136795044,-3.1390559673309326,-1.4563708305358887
129,americans,indians,1518,1780,-2.0333974361419678,-1.3604426383972168,0.672954797744751
130,americans,indians,492,78,-1.8038791418075562,-2.810774803161621,-1.006895661354065
131,americans,indians,1739,568,-1.9333126544952393,-2.5612704753875732,-0.627957820892334
132,americans,indians,1838,1255,-1.5481404066085815,-2.491250991821289,-0.9431105852127075
133,americans,indians,182,1933,-1.795592188835144,-1.7515909671783447,0.044001221656799316
134,americans,indians,1229,602,-1.427219033241272,-2.6463890075683594,-1.2191699743270874
135,americans,indians,398,81,-1.7485851049423218,-2.6683099269866943,-0.9197248220443726
136,americans,indians,433,1813,-1.9897648096084595,-1.7984275817871094,0.1913372278213501
137,americans,indians,1314,232,-1.673895239830017,-2.8127028942108154,-1.1388076543807983
138,americans,indians,1627,1489,-1.2010247707366943,-2.4274344444274902,-1.226409673690796
139,americans,indians,1063,1547,-1.908670425415039,-1.233561396598816,0.6751090288162231
140,americans,indians,1615,1571,-1.2742273807525635,-2.582902193069458,-1.3086748123168945
141,americans,indians,405,1289,-2.2395763397216797,-1.5548896789550781,0.6846866607666016
142,americans,indians,293,1810,-2.1712865829467773,-1.869649887084961,0.3016366958618164
143,americans,indians,1729,194,-1.9610261917114258,-2.4759678840637207,-0.5149416923522949
144,americans,indians,769,917,-1.819536566734314,-1.1785728931427002,0.6409636735916138
145,americans,indians,1627,851,-1.6739654541015625,-2.352426290512085,-0.6784608364105225
146,americans,indians,708,1679,-1.9997406005859375,-1.5187733173370361,0.48096728324890137
147,americans,indians,1606,1911,-2.3742752075195312,-2.1779592037200928,0.19631600379943848
148,americans,indians,64,612,-1.981088638305664,-1.7370573282241821,0.24403131008148193
149,americans,indians,1370,1465,-1.787140130996704,-1.1489369869232178,0.6382031440734863
150,americans,japanese,531,1257,-2.187737464904785,-1.7226365804672241,0.46510088443756104
151,americans,japanese,1440,179,-2.409214973449707,-2.9157588481903076,-0.5065438747406006
152,americans,japanese,997,557,-1.4223893880844116,-2.6375646591186523,-1.2151752710342407
153,americans,japanese,767,570,-1.703302025794983,-2.5405704975128174,-0.8372684717178345
154,americans,japanese,1618,898,-1.9911861419677734,-2.548286199569702,-0.5571000576019287
155,americans,japanese,1766,1594,-1.429686188697815,-2.2669434547424316,-0.8372572660446167
156,americans,japanese,802,1222,-2.0713255405426025,-1.6887871026992798,0.38253843784332275
157,americans,japanese,598,724,-2.0422637462615967,-1.8158928155899048,0.2263709306716919
158,americans,japanese,461,1554,-2.0552937984466553,-1.6725648641586304,0.3827289342880249
159,americans,japanese,1754,528,-2.1318554878234863,-2.606329917907715,-0.4744744300842285
160,americans,japanese,1089,1130,-1.8443351984024048,-1.722366213798523,0.12196898460388184
161,americans,japanese,1000,18,-0.8681144118309021,-3.2893855571746826,-2.4212711453437805
162,americans,japanese,287,59,-1.4393590688705444,-2.5519721508026123,-1.1126130819320679
163,americans,japanese,829,1002,-1.7921808958053589,-1.6244624853134155,0.16771841049194336
164,americans,japanese,1237,974,-1.265716791152954,-2.3906936645507812,-1.1249768733978271
165,americans,japanese,331,357,-1.6750715970993042,-1.6500160694122314,0.025055527687072754
166,americans,japanese,381,1236,-1.6808658838272095,-1.4063676595687866,0.27449822425842285
167,americans,japanese,1118,1162,-1.7937977313995361,-1.8991731405258179,-0.10537540912628174
168,americans,japanese,1260,1264,-1.8785603046417236,-2.0405242443084717,-0.16196393966674805
169,americans,japanese,1468,1609,-1.8508487939834595,-1.7089605331420898,0.14188826084136963
