,group1,group2,num_group1,num_group2,preference_group1,preference_group2,preference_diff
0,americans,brits,315,880,-0.34401437640190125,-0.6099235415458679,-0.2659091651439667
1,americans,brits,1684,358,-0.10045140236616135,-0.7680260539054871,-0.6675746515393257
2,americans,brits,336,1138,-0.07757487148046494,-0.4807947278022766,-0.4032198563218117
3,americans,brits,1487,1983,-0.28528380393981934,-0.5857332348823547,-0.3004494309425354
4,americans,brits,1336,1912,-0.29841095209121704,-0.48235973715782166,-0.18394878506660461
5,americans,brits,1047,425,-0.07512574642896652,-0.9287850260734558,-0.8536592796444893
6,americans,brits,1334,1884,-0.15583662688732147,-0.3662627637386322,-0.21042613685131073
7,americans,brits,367,1738,-0.21420319378376007,-0.4024758040904999,-0.1882726103067398
8,americans,brits,1906,294,-0.15560391545295715,-0.7581333518028259,-0.6025294363498688
9,americans,brits,1843,1271,0.03818872198462486,-0.5505303144454956,-0.5887190364301205
10,americans,brits,736,1909,-0.3788292407989502,-0.5389954447746277,-0.1601662039756775
11,americans,brits,1375,1409,-0.16720223426818848,-0.44234228134155273,-0.27514004707336426
12,americans,brits,844,897,-0.21491456031799316,-0.5311707854270935,-0.31625622510910034
13,americans,brits,1231,1734,-0.1824197620153427,-0.5116340517997742,-0.32921428978443146
14,americans,brits,1669,1282,-0.08621342480182648,-0.6293841600418091,-0.5431707352399826
15,americans,brits,537,487,0.20890584588050842,-0.8354552388191223,-1.0443610846996307
16,americans,brits,1569,832,-0.18453335762023926,-0.7521118521690369,-0.5675784945487976
17,americans,brits,1149,1328,-0.11883743107318878,-0.3007659912109375,-0.18192856013774872
18,americans,brits,511,750,-0.4378373324871063,-0.5381857752799988,-0.10034844279289246
19,americans,brits,1541,1806,-0.5886797904968262,-0.7038295865058899,-0.11514979600906372
20,americans,brits,1590,975,-0.3515736162662506,-0.5886273384094238,-0.23705372214317322
21,americans,brits,1636,753,-0.23526445031166077,-0.4945729374885559,-0.25930848717689514
22,americans,brits,837,56,0.13996627926826477,-0.9892483949661255,-1.1292146742343903
23,americans,brits,1192,696,-0.33311983942985535,-0.35047227144241333,-0.017352432012557983
24,americans,brits,1879,1498,0.16080985963344574,-0.6587382555007935,-0.8195481151342392
25,americans,brits,517,751,-0.2579423487186432,-0.6250871419906616,-0.36714479327201843
26,americans,brits,603,1957,-0.14555732905864716,-0.49955931305885315,-0.354001984000206
27,americans,brits,1224,873,-0.33756551146507263,-0.8773757815361023,-0.5398102700710297
28,americans,brits,214,1839,-0.19458690285682678,-0.3162205219268799,-0.1216336190700531
29,americans,brits,1099,792,0.00038726330967620015,-1.2761858701705933,-1.2765731334802695
30,americans,brits,1290,1424,-0.31707751750946045,-0.5881763100624084,-0.271098792552948
31,americans,brits,1146,429,-0.41448792815208435,-0.8617181777954102,-0.4472302496433258
32,americans,brits,1052,1019,0.13467729091644287,-0.533946692943573,-0.6686239838600159
33,americans,brits,1686,1808,-0.3983193635940552,-0.6177802085876465,-0.2194608449935913
34,americans,brits,521,1878,-0.33646827936172485,-0.515360951423645,-0.17889267206192017
35,americans,brits,1999,1893,-0.11161663383245468,-0.8742446303367615,-0.7626279965043068
36,americans,brits,1680,1672,-0.0051659345626831055,-0.47189566493034363,-0.4667297303676605
37,americans,brits,1421,129,-0.18825288116931915,-1.0498336553573608,-0.8615807741880417
38,americans,brits,201,136,-0.13970792293548584,-0.4925219714641571,-0.35281404852867126
39,americans,brits,1878,1256,0.07380595058202744,-0.6965373158454895,-0.7703432664275169
40,americans,brits,379,474,-0.10273196548223495,-0.6457920074462891,-0.5430600419640541
41,americans,brits,1142,1617,-0.24720235168933868,-0.509648859500885,-0.2624465078115463
42,americans,brits,930,776,-0.09731733798980713,-0.7309295535087585,-0.6336122155189514
43,americans,brits,582,131,0.14474108815193176,-0.9642714858055115,-1.1090125739574432
44,americans,brits,6,947,-0.12744846940040588,-0.17876119911670685,-0.051312729716300964
45,americans,brits,1757,1397,0.13842251896858215,-0.5447705388069153,-0.6831930577754974
46,americans,brits,180,910,-0.3755573332309723,-0.4036705493927002,-0.028113216161727905
47,americans,brits,1078,18,-0.1651160567998886,-0.875734806060791,-0.7106187492609024
48,americans,brits,680,397,-0.04916512966156006,-0.5506675839424133,-0.5015024542808533
49,americans,brits,349,489,-0.018386483192443848,-0.6688982844352722,-0.6505118012428284
