,group1,group2,num_group1,num_group2,preference_group1,preference_group2,preference_diff
0,americans,chinese,353,1302,-0.09283707290887833,-1.0280593633651733,-0.935222290456295
1,americans,chinese,851,537,-0.043552398681640625,-1.4301350116729736,-1.386582612991333
2,americans,chinese,1120,1852,-0.2881026268005371,-1.129792332649231,-0.8416897058486938
3,americans,chinese,1886,1171,-0.16271820664405823,-1.124398946762085,-0.9616807401180267
4,americans,chinese,17,1261,-0.27702370285987854,-0.93147212266922,-0.6544484198093414
5,americans,chinese,1675,586,-0.12978319823741913,-1.3173562288284302,-1.187573030591011
6,americans,chinese,28,1262,-0.3552083969116211,-0.8912949562072754,-0.5360865592956543
7,americans,chinese,1075,1048,-0.243982195854187,-1.1474080085754395,-0.9034258127212524
8,americans,chinese,739,1659,-0.20779207348823547,-1.0139045715332031,-0.8061124980449677
9,americans,chinese,1498,1474,-0.22121357917785645,-1.1834216117858887,-0.9622080326080322
10,americans,chinese,729,1133,-0.1553494781255722,-1.140739917755127,-0.9853904396295547
11,americans,chinese,704,1509,-0.2602822482585907,-1.1356645822525024,-0.8753823339939117
12,americans,chinese,1742,1457,-0.0639360174536705,-1.0851097106933594,-1.0211736932396889
13,americans,chinese,1234,1782,-0.19274762272834778,-1.1876893043518066,-0.9949416816234589
14,americans,chinese,1259,1716,-0.2288215458393097,-0.9443414807319641,-0.7155199348926544
15,americans,chinese,76,3,-0.2943654954433441,-1.2947514057159424,-1.0003859102725983
16,americans,chinese,268,410,-0.23451952636241913,-1.2451704740524292,-1.01065094769001
17,americans,chinese,353,333,-0.16344943642616272,-1.3433457612991333,-1.1798963248729706
18,americans,chinese,1194,1982,-0.2246086448431015,-0.9416410326957703,-0.7170323878526688
19,americans,chinese,1273,1841,-0.3353727161884308,-1.0970208644866943,-0.7616481482982635
20,americans,chinese,1994,397,-0.27703937888145447,-1.1356722116470337,-0.8586328327655792
21,americans,chinese,213,873,-0.3066880404949188,-1.107168197631836,-0.8004801571369171
22,americans,chinese,67,229,-0.3051426410675049,-1.1954773664474487,-0.8903347253799438
23,americans,chinese,249,1090,-0.3840346336364746,-1.1532076597213745,-0.7691730260848999
24,americans,chinese,428,1410,-0.2920803427696228,-1.121367335319519,-0.8292869925498962
25,americans,chinese,1838,997,-0.023092007264494896,-0.992677628993988,-0.9695856217294931
26,americans,chinese,226,518,-0.2409515231847763,-1.0868042707443237,-0.8458527475595474
27,americans,chinese,237,1250,-0.3006764352321625,-0.9747767448425293,-0.6741003096103668
28,americans,chinese,1119,1992,-0.19719429314136505,-0.9638275504112244,-0.7666332572698593
29,americans,chinese,1530,1344,-0.26284369826316833,-1.2132638692855835,-0.9504201710224152
30,americans,chinese,1878,1970,-0.2558109760284424,-0.8443946838378906,-0.5885837078094482
31,americans,chinese,1401,1076,-0.15301279723644257,-1.2505627870559692,-1.0975499898195267
32,americans,chinese,556,676,-0.28361958265304565,-1.1587066650390625,-0.8750870823860168
33,americans,chinese,138,100,-0.3539280593395233,-1.1330052614212036,-0.7790772020816803
34,americans,chinese,145,1936,-0.3384225070476532,-1.1131044626235962,-0.774681955575943
35,americans,chinese,1102,1036,-0.19426503777503967,-1.0958799123764038,-0.9016148746013641
36,americans,chinese,1936,1501,0.13265524804592133,-1.1277896165847778,-1.2604448646306992
37,americans,chinese,828,1425,-0.1754256933927536,-1.2265146970748901,-1.0510890036821365
38,americans,chinese,714,793,-0.07552700489759445,-1.2357432842254639,-1.1602162793278694
39,americans,chinese,351,272,-0.11823904514312744,-1.410958170890808,-1.2927191257476807
40,americans,chinese,518,1207,-0.17525450885295868,-1.133874535560608,-0.9586200267076492
41,americans,chinese,1197,74,-0.18320392072200775,-1.180550217628479,-0.9973462969064713
42,americans,chinese,1311,296,-0.17480793595314026,-1.2370589971542358,-1.0622510612010956
43,americans,chinese,102,1869,-0.355945885181427,-0.9283595085144043,-0.5724136233329773
44,americans,chinese,689,416,0.1591111719608307,-1.4434359073638916,-1.6025470793247223
45,americans,chinese,483,671,-0.19601590931415558,-1.0237853527069092,-0.8277694433927536
46,americans,chinese,273,1304,-0.2383548468351364,-1.0852959156036377,-0.8469410687685013
47,americans,chinese,1484,1968,-0.2537160813808441,-1.0037744045257568,-0.7500583231449127
48,americans,chinese,1950,431,0.03453652933239937,-1.1252621412277222,-1.1597986705601215
49,americans,chinese,793,471,-0.027168774977326393,-1.348483681678772,-1.3213149067014456
