,group1,group2,num_group1,num_group2,preference_group1,preference_group2,preference_diff
0,americans,japanese,1338,1378,-0.07767565548419952,-0.7858330011367798,-0.7081573456525803
1,americans,japanese,1553,957,-0.1313190758228302,-1.1781139373779297,-1.0467948615550995
2,americans,japanese,347,675,-0.38875728845596313,-1.0661364793777466,-0.6773791909217834
3,americans,japanese,165,1758,-0.33055540919303894,-0.9023542404174805,-0.5717988312244415
4,americans,japanese,1332,576,-0.4412696063518524,-0.9881475567817688,-0.5468779504299164
5,americans,japanese,1389,1997,-0.49932289123535156,-1.1205252408981323,-0.6212023496627808
6,americans,japanese,1460,429,-0.3207213282585144,-1.2527029514312744,-0.93198162317276
7,americans,japanese,1918,401,0.07259628921747208,-1.0584242343902588,-1.1310205236077309
8,americans,japanese,1869,728,-0.3274906575679779,-0.9853495955467224,-0.6578589379787445
9,americans,japanese,1145,1461,-0.39252769947052,-0.8655414581298828,-0.4730137586593628
10,americans,japanese,1279,1029,-0.14068153500556946,-1.0266398191452026,-0.8859582841396332
11,americans,japanese,191,444,-0.41364046931266785,-1.0183013677597046,-0.6046608984470367
12,americans,japanese,471,425,-0.03875308111310005,-1.1629585027694702,-1.1242054216563702
13,americans,japanese,1109,151,-0.3015914261341095,-1.2349424362182617,-0.9333510100841522
14,americans,japanese,439,1362,-0.3041546642780304,-0.960182785987854,-0.6560281217098236
15,americans,japanese,103,1713,-0.5290530323982239,-0.9549009203910828,-0.4258478879928589
16,americans,japanese,1986,1634,-0.1266101896762848,-1.109182596206665,-0.9825724065303802
17,americans,japanese,1138,1390,-0.25033387541770935,-0.8866316080093384,-0.636297732591629
18,americans,japanese,775,1395,-0.24654541909694672,-1.0128577947616577,-0.766312375664711
19,americans,japanese,915,1179,-0.4157302975654602,-1.1068257093429565,-0.6910954117774963
20,americans,japanese,529,898,-0.5411013960838318,-0.9765123724937439,-0.4354109764099121
21,americans,japanese,1300,270,-0.5200836658477783,-0.9966778755187988,-0.4765942096710205
22,americans,japanese,1981,1757,0.07261834293603897,-1.2188562154769897,-1.2914745584130287
23,americans,japanese,1294,661,-0.30152398347854614,-0.9602829217910767,-0.6587589383125305
24,americans,japanese,845,105,-0.25535985827445984,-1.3379162549972534,-1.0825563967227936
25,americans,japanese,304,1800,-0.37676629424095154,-0.9676024317741394,-0.5908361375331879
26,americans,japanese,901,1050,-0.27178630232810974,-0.8443387150764465,-0.5725524127483368
27,americans,japanese,154,1709,-0.4489003121852875,-0.9057080149650574,-0.4568077027797699
28,americans,japanese,1095,299,-0.25664079189300537,-0.902558445930481,-0.6459176540374756
29,americans,japanese,363,342,-0.28382715582847595,-1.1768535375595093,-0.8930263817310333
30,americans,japanese,1092,398,-0.3709459900856018,-1.0899147987365723,-0.7189688086509705
31,americans,japanese,723,1569,-0.5436183214187622,-0.9508106112480164,-0.40719228982925415
32,americans,japanese,698,1232,-0.43839651346206665,-0.9439823031425476,-0.505585789680481
33,americans,japanese,290,1519,-0.31236669421195984,-0.9184545874595642,-0.6060878932476044
34,americans,japanese,1972,328,-0.21810142695903778,-1.1361759901046753,-0.9180745631456375
35,americans,japanese,1270,1007,-0.19450309872627258,-0.9741979837417603,-0.7796948850154877
36,americans,japanese,778,61,-0.1669154167175293,-1.4293385744094849,-1.2624231576919556
37,americans,japanese,1709,47,-0.11563494056463242,-1.1538975238800049,-1.0382625833153725
38,americans,japanese,1664,1914,-0.3534156382083893,-0.9975517392158508,-0.6441361010074615
39,americans,japanese,128,1004,-0.5089275240898132,-0.8795205950737,-0.3705930709838867
40,americans,japanese,1721,185,-0.1982395201921463,-1.2984333038330078,-1.1001937836408615
41,americans,japanese,118,505,-0.33631372451782227,-0.8870300650596619,-0.5507163405418396
42,americans,japanese,1861,1209,-0.214760884642601,-1.0222593545913696,-0.8074984699487686
43,americans,japanese,1438,24,-0.1748083382844925,-1.006772756576538,-0.8319644182920456
44,americans,japanese,560,200,-0.2789299190044403,-1.3408398628234863,-1.061909943819046
45,americans,japanese,734,1786,-0.3626425564289093,-1.1408185958862305,-0.7781760394573212
46,americans,japanese,1981,1788,-0.01654531992971897,-1.2473235130310059,-1.2307781931012869
47,americans,japanese,1811,579,-0.05182197317481041,-1.136461615562439,-1.0846396423876286
48,americans,japanese,951,659,-0.06308846920728683,-1.2584571838378906,-1.1953687146306038
49,americans,japanese,1559,1337,0.06365571171045303,-0.9032778739929199,-0.966933585703373
