,group1,group2,num_group1,num_group2,preference_group1,preference_group2,preference_diff
0,brits,canadians,1141,1688,-0.5382023453712463,0.17559842765331268,0.713800773024559
1,brits,canadians,932,1925,-0.6114153861999512,-0.0345689058303833,0.5768464803695679
2,brits,canadians,1279,891,-0.21462690830230713,-0.6228929758071899,-0.4082660675048828
3,brits,canadians,258,702,-0.5705193281173706,-0.034021735191345215,0.5364975929260254
4,brits,canadians,307,75,-0.575160801410675,-0.873963475227356,-0.2988026738166809
5,brits,canadians,919,1820,-0.4136725068092346,-0.08825147151947021,0.3254210352897644
6,brits,canadians,1154,555,-0.003916955087333918,-0.6662595272064209,-0.662342572119087
7,brits,canadians,1890,1443,-0.536935031414032,-0.6241636276245117,-0.08722859621047974
8,brits,canadians,1031,1968,-0.6053030490875244,-0.0017880439991131425,0.6035150050884113
9,brits,canadians,1166,434,-0.33084726333618164,-0.7789115309715271,-0.44806426763534546
10,brits,canadians,451,1934,-0.5524954199790955,-0.13055956363677979,0.4219358563423157
11,brits,canadians,1606,604,-0.3007504642009735,-0.7765944600105286,-0.47584399580955505
12,brits,canadians,1971,670,-0.5311381220817566,-0.606623113155365,-0.0754849910736084
13,brits,canadians,1749,1755,-0.9270997047424316,-0.3056221306324005,0.6214775741100311
14,brits,canadians,647,1821,-0.686866044998169,0.06651103496551514,0.7533770799636841
15,brits,canadians,1606,729,-0.16641853749752045,-0.6500877737998962,-0.4836692363023758
16,brits,canadians,1829,665,-0.3642195165157318,-0.6777501106262207,-0.3135305941104889
17,brits,canadians,714,1461,-0.6304699778556824,-0.03190479427576065,0.5985651835799217
18,brits,canadians,701,1683,-0.8184927105903625,-0.09618055820465088,0.7223121523857117
19,brits,canadians,1204,203,-0.08095500618219376,-0.7186221480369568,-0.637667141854763
20,brits,canadians,1363,1259,-0.06115236505866051,-0.8715296983718872,-0.8103773333132267
21,brits,canadians,1880,293,-0.41931095719337463,-0.6296478509902954,-0.21033689379692078
22,brits,canadians,1310,964,-0.16519705951213837,-0.6754588484764099,-0.5102617889642715
23,brits,canadians,148,1069,-0.5145427584648132,0.11189877986907959,0.6264415383338928
24,brits,canadians,1232,1484,-0.667557418346405,0.13153357803821564,0.7990909963846207
25,brits,canadians,1437,864,-0.1091281920671463,-0.6462013125419617,-0.5370731204748154
26,brits,canadians,1154,206,-0.09984400123357773,-0.7414993643760681,-0.6416553631424904
27,brits,canadians,58,1288,-0.5400868058204651,-0.027883339673280716,0.5122034661471844
28,brits,canadians,1334,1967,-0.6275870203971863,0.032893966883420944,0.6604809872806072
29,brits,canadians,1918,842,-0.34003815054893494,-0.682475745677948,-0.34243759512901306
30,brits,canadians,978,102,-0.501986026763916,-0.7739840745925903,-0.2719980478286743
31,brits,canadians,576,1590,-0.6947497129440308,-0.011731243692338467,0.6830184692516923
32,brits,canadians,1641,748,-0.32991093397140503,-0.7418914437294006,-0.4119805097579956
33,brits,canadians,1251,1897,-0.6452991366386414,-0.14988648891448975,0.4954126477241516
34,brits,canadians,1177,240,-0.18540194630622864,-0.6821886301040649,-0.4967866837978363
35,brits,canadians,1028,1546,-0.5950806140899658,0.10366453975439072,0.6987451538443565
36,brits,canadians,1328,1461,-0.6136091351509094,0.18991155922412872,0.8035206943750381
37,brits,canadians,644,263,-0.5876743197441101,-0.7821511626243591,-0.19447684288024902
38,brits,canadians,67,12,-0.458461195230484,-0.6884635090827942,-0.23000231385231018
39,brits,canadians,1670,8,-0.3170046806335449,-0.6737616062164307,-0.35675692558288574
40,brits,canadians,1917,545,-0.33079180121421814,-0.6761170625686646,-0.3453252613544464
41,brits,canadians,276,1502,-0.6645791530609131,0.07596440613269806,0.7405435591936111
42,brits,canadians,771,1750,-0.6763120889663696,-0.21188054978847504,0.4644315391778946
43,brits,canadians,452,477,-0.6179653406143188,-0.2887330651283264,0.32923227548599243
44,brits,canadians,1745,595,-0.19248609244823456,-0.7636541128158569,-0.5711680203676224
45,brits,canadians,47,1997,-0.5465713739395142,0.05576531961560249,0.6023366935551167
46,brits,canadians,958,1117,-0.5985105037689209,-0.19261534512043,0.4058951586484909
47,brits,canadians,1464,1712,-0.7331339716911316,-0.1464145928621292,0.5867193788290024
48,brits,canadians,610,374,-0.42682144045829773,-0.7082380652427673,-0.2814166247844696
49,brits,canadians,1404,1579,-0.7443236112594604,0.022417401894927025,0.7667410131543875
