,group1,group2,num_group1,num_group2,preference_group1,preference_group2,preference_diff
0,canadians,indonesians,1418,683,-1.5638097524642944,-1.7936115264892578,-0.22980177402496338
1,canadians,indonesians,267,655,-2.255711793899536,-1.2014665603637695,1.0542452335357666
2,canadians,indonesians,819,1334,-1.9951591491699219,-0.7808569073677063,1.2143022418022156
3,canadians,indonesians,1832,1723,-1.278786540031433,-1.5891038179397583,-0.3103172779083252
4,canadians,indonesians,1369,1955,-1.9031212329864502,-0.9428696632385254,0.9602515697479248
5,canadians,indonesians,826,1207,-2.2502286434173584,-1.0773699283599854,1.172858715057373
6,canadians,indonesians,1295,1161,-1.4976767301559448,-1.8772915601730347,-0.37961483001708984
7,canadians,indonesians,1764,1232,-1.666877031326294,-1.7968260049819946,-0.12994897365570068
8,canadians,indonesians,974,1387,-2.3651628494262695,-1.0244572162628174,1.3407056331634521
9,canadians,indonesians,380,422,-2.1449038982391357,-1.263600468635559,0.8813034296035767
10,canadians,indonesians,1973,1898,-0.9778764843940735,-1.1111139059066772,-0.13323742151260376
11,canadians,indonesians,856,747,-1.4439787864685059,-1.578729271888733,-0.13475048542022705
12,canadians,indonesians,913,1370,-1.9548572301864624,-0.6432878375053406,1.3115693926811218
13,canadians,indonesians,1192,1817,-2.2443149089813232,-1.2787827253341675,0.9655321836471558
14,canadians,indonesians,1587,1676,-1.9870027303695679,-1.0264627933502197,0.9605399370193481
15,canadians,indonesians,199,1853,-2.23432993888855,-0.7480136752128601,1.4863162636756897
16,canadians,indonesians,1827,524,-1.604121208190918,-1.980279564857483,-0.37615835666656494
17,canadians,indonesians,758,982,-1.9348640441894531,-1.0080684423446655,0.9267956018447876
18,canadians,indonesians,1239,1252,-1.8062524795532227,-1.015390157699585,0.7908623218536377
19,canadians,indonesians,260,1714,-2.6108882427215576,-1.0000531673431396,1.610835075378418
20,canadians,indonesians,1040,1443,-2.429032325744629,-1.304956078529358,1.124076247215271
21,canadians,indonesians,119,1438,-2.5184178352355957,-1.1451990604400635,1.3732187747955322
22,canadians,indonesians,1543,1612,-2.1408066749572754,-0.9319229125976562,1.2088837623596191
23,canadians,indonesians,1416,1965,-1.9237432479858398,-0.8884406089782715,1.0353026390075684
24,canadians,indonesians,230,190,-1.8164504766464233,-1.8114032745361328,0.005047202110290527
25,canadians,indonesians,1905,1627,-0.8991481065750122,-1.6884466409683228,-0.7892985343933105
26,canadians,indonesians,782,659,-1.43106210231781,-1.6405895948410034,-0.20952749252319336
27,canadians,indonesians,1278,1429,-2.193831205368042,-1.0029677152633667,1.1908634901046753
28,canadians,indonesians,830,1510,-2.548678159713745,-1.1260356903076172,1.422642469406128
29,canadians,indonesians,82,754,-2.1017282009124756,-0.8130837678909302,1.2886444330215454
30,canadians,indonesians,1803,829,-1.1183332204818726,-1.4139814376831055,-0.2956482172012329
31,canadians,indonesians,470,1321,-2.774174690246582,-1.1003984212875366,1.6737762689590454
32,canadians,indonesians,1250,984,-1.7885822057724,-2.3365120887756348,-0.5479298830032349
33,canadians,indonesians,1661,1908,-1.7215412855148315,-0.9730701446533203,0.7484711408615112
34,canadians,indonesians,1924,1075,-1.656192421913147,-1.748152732849121,-0.09196031093597412
35,canadians,indonesians,940,826,-1.345502257347107,-1.6457563638687134,-0.30025410652160645
36,canadians,indonesians,1698,1873,-1.5686815977096558,-0.7718003392219543,0.7968812584877014
37,canadians,indonesians,350,216,-2.032526731491089,-2.2180991172790527,-0.18557238578796387
38,canadians,indonesians,1842,1197,-1.283003807067871,-1.6881084442138672,-0.4051046371459961
39,canadians,indonesians,1685,958,-1.7513741254806519,-2.1491737365722656,-0.39779961109161377
40,canadians,indonesians,1810,201,-1.486885666847229,-2.2836689949035645,-0.7967833280563354
41,canadians,indonesians,272,1179,-2.421325206756592,-0.9725815653800964,1.4487436413764954
42,canadians,indonesians,1628,601,-1.8768532276153564,-2.0264952182769775,-0.1496419906616211
43,canadians,indonesians,1434,682,-1.6293681859970093,-1.8354495763778687,-0.20608139038085938
44,canadians,indonesians,1781,480,-1.8457653522491455,-2.4148924350738525,-0.569127082824707
45,canadians,indonesians,1596,579,-1.7451515197753906,-2.078185796737671,-0.3330342769622803
46,canadians,indonesians,1053,1176,-2.188539505004883,-1.2259143590927124,0.9626251459121704
47,canadians,indonesians,749,545,-1.5357354879379272,-1.8045889139175415,-0.26885342597961426
48,canadians,indonesians,933,193,-1.2946505546569824,-2.0056111812591553,-0.7109606266021729
49,canadians,indonesians,790,159,-1.4105242490768433,-2.2873501777648926,-0.8768259286880493
