,group1,group2,num_group1,num_group2,preference_group1,preference_group2,preference_diff
0,chinese,brits,144,175,-1.1419098377227783,-0.8147408366203308,0.3271690011024475
1,chinese,brits,163,215,-1.0284451246261597,-0.7440580129623413,0.28438711166381836
2,chinese,brits,839,1885,-0.8428908586502075,-0.33919164538383484,0.5036992132663727
3,chinese,brits,1956,1562,-0.42638322710990906,-0.4794728457927704,-0.05308961868286133
4,chinese,brits,123,595,-0.8244845271110535,-0.532614529132843,0.29186999797821045
5,chinese,brits,1839,37,-0.5759844183921814,-0.7478682398796082,-0.17188382148742676
6,chinese,brits,261,1977,-0.6441947817802429,-0.37302452325820923,0.2711702585220337
7,chinese,brits,982,1111,-1.0189177989959717,-0.49401965737342834,0.5248981416225433
8,chinese,brits,1245,901,-0.9714304208755493,-0.8936517834663391,0.0777786374092102
9,chinese,brits,1323,641,-1.054425835609436,-0.7292597889900208,0.3251660466194153
10,chinese,brits,1700,388,-0.8955618143081665,-0.5439419746398926,0.3516198396682739
11,chinese,brits,667,950,-0.8680872917175293,-0.5050613284111023,0.363025963306427
12,chinese,brits,944,764,-0.8219279646873474,-0.5654127597808838,0.2565152049064636
13,chinese,brits,637,1012,-0.9601508378982544,-0.5156182646751404,0.444532573223114
14,chinese,brits,1720,1481,-0.7767977118492126,-0.8663424849510193,-0.08954477310180664
15,chinese,brits,819,475,-0.8731576800346375,-0.660148024559021,0.21300965547561646
16,chinese,brits,1409,315,-1.1617432832717896,-0.9207395911216736,0.24100369215011597
17,chinese,brits,1810,528,-1.0474141836166382,-0.9466586112976074,0.10075557231903076
18,chinese,brits,1728,1740,-1.1762521266937256,-0.6267223954200745,0.5495297312736511
19,chinese,brits,1883,86,-0.6425859928131104,-0.8516234755516052,-0.20903748273849487
20,chinese,brits,1530,1946,-0.6182381510734558,-0.5602067112922668,0.058031439781188965
21,chinese,brits,1213,275,-0.8557626605033875,-0.777716338634491,0.07804632186889648
22,chinese,brits,1779,1709,-0.7556224465370178,-0.5483593344688416,0.20726311206817627
23,chinese,brits,428,1090,-1.2224386930465698,-0.6976807713508606,0.5247579216957092
24,chinese,brits,1984,770,-0.841475784778595,-0.8746234774589539,-0.03314769268035889
25,chinese,brits,1902,1232,-0.4198743402957916,-0.6131677627563477,-0.19329342246055603
26,chinese,brits,1924,1830,-1.1529436111450195,-1.003092646598816,0.1498509645462036
27,chinese,brits,1792,1585,-0.7208272814750671,-0.8009777069091797,-0.08015042543411255
28,chinese,brits,1321,522,-0.9450464248657227,-0.7948979139328003,0.15014851093292236
29,chinese,brits,1399,1118,-0.7481056451797485,-0.636472225189209,0.11163341999053955
30,chinese,brits,601,881,-1.0058438777923584,-0.7238385677337646,0.28200531005859375
31,chinese,brits,1272,572,-0.8575753569602966,-0.6331984400749207,0.22437691688537598
32,chinese,brits,1149,129,-0.9391674995422363,-0.8149887919425964,0.12417870759963989
33,chinese,brits,1636,841,-1.0091197490692139,-0.776124894618988,0.23299485445022583
34,chinese,brits,1485,1682,-0.8872669339179993,-0.4523484408855438,0.43491849303245544
35,chinese,brits,1969,1426,-0.37421295046806335,-0.4996793270111084,-0.12546637654304504
36,chinese,brits,440,585,-0.9889209866523743,-0.46929797530174255,0.5196230113506317
37,chinese,brits,1031,1119,-0.8573366403579712,-0.5253580808639526,0.33197855949401855
38,chinese,brits,115,1646,-1.1737502813339233,-0.5676769614219666,0.6060733199119568
39,chinese,brits,244,1438,-0.9338613748550415,-0.24904461205005646,0.684816762804985
40,chinese,brits,904,1991,-1.0425559282302856,-0.5006217956542969,0.5419341325759888
41,chinese,brits,354,1936,-0.844333827495575,-0.4689796566963196,0.37535417079925537
42,chinese,brits,288,1971,-1.0486719608306885,-0.43950024247169495,0.6091717183589935
43,chinese,brits,83,316,-0.7924155592918396,-0.40714308619499207,0.38527247309684753
44,chinese,brits,1928,1263,-0.3917575478553772,-0.6513471007347107,-0.2595895528793335
45,chinese,brits,723,833,-1.0869520902633667,-0.6299539804458618,0.4569981098175049
46,chinese,brits,695,1588,-1.0672861337661743,-0.5722546577453613,0.495031476020813
47,chinese,brits,1662,485,-1.1176990270614624,-0.9718559384346008,0.14584308862686157
48,chinese,brits,848,94,-0.9416309595108032,-0.7183472514152527,0.22328370809555054
49,chinese,brits,1919,243,-0.5081838965415955,-0.8840805292129517,-0.3758966326713562
