,group1,group2,num_group1,num_group2,preference_group1,preference_group2,preference_diff
0,chinese,canadians,1862,1664,-0.5660597085952759,-0.3108881711959839,0.255171537399292
1,chinese,canadians,249,728,-1.3452229499816895,-0.2792457640171051,1.0659771859645844
2,chinese,canadians,1155,1793,-1.2799184322357178,-0.4648601710796356,0.8150582611560822
3,chinese,canadians,1827,830,-0.98765629529953,-0.7723451852798462,0.21531111001968384
4,chinese,canadians,1095,1043,-0.9043530821800232,-0.43452349305152893,0.46982958912849426
5,chinese,canadians,648,1003,-1.254845380783081,-0.2656402289867401,0.9892051517963409
6,chinese,canadians,1666,1114,-1.0383740663528442,-0.5737287402153015,0.4646453261375427
7,chinese,canadians,1584,1542,-0.8687845468521118,-0.3310913145542145,0.5376932322978973
8,chinese,canadians,87,39,-0.9567320942878723,-0.4189833700656891,0.5377487242221832
9,chinese,canadians,1358,1454,-1.0377081632614136,-0.3650268018245697,0.6726813614368439
10,chinese,canadians,1335,1431,-1.1697267293930054,-0.4540430009365082,0.7156837284564972
11,chinese,canadians,796,1667,-1.2277719974517822,-0.3192198872566223,0.9085521101951599
12,chinese,canadians,808,1065,-1.2202001810073853,-0.4145093858242035,0.8056907951831818
13,chinese,canadians,178,1359,-1.0692294836044312,-0.31028062105178833,0.7589488625526428
14,chinese,canadians,103,1274,-0.9593313336372375,-0.017999960109591484,0.9413313735276461
15,chinese,canadians,1350,1103,-1.1261450052261353,-0.48892298340797424,0.637222021818161
16,chinese,canadians,824,1519,-1.2157729864120483,-0.2592855393886566,0.9564874470233917
17,chinese,canadians,1851,911,-0.8297916650772095,-0.6064593195915222,0.22333234548568726
18,chinese,canadians,1436,1235,-1.0531882047653198,-0.486942857503891,0.5662453472614288
19,chinese,canadians,793,1422,-1.007705569267273,-0.28346797823905945,0.7242375910282135
20,chinese,canadians,1029,794,-0.7229992151260376,-0.4841402471065521,0.23885896801948547
21,chinese,canadians,1120,1743,-1.1292402744293213,-0.35258302092552185,0.7766572535037994
22,chinese,canadians,122,472,-0.9882193803787231,-0.3188776671886444,0.6693417131900787
23,chinese,canadians,161,1218,-1.3797160387039185,-0.3202288746833801,1.0594871640205383
24,chinese,canadians,67,344,-0.932269275188446,-0.29597240686416626,0.6362968683242798
25,chinese,canadians,633,769,-1.2228045463562012,-0.34171390533447266,0.8810906410217285
26,chinese,canadians,1837,1929,-0.3886486291885376,0.008147525601089,0.3967961547896266
27,chinese,canadians,985,932,-0.9506919980049133,-0.3953915238380432,0.5553004741668701
28,chinese,canadians,1004,618,-0.9366864562034607,-0.44170281291007996,0.49498364329338074
29,chinese,canadians,803,495,-1.0654863119125366,-0.6609572768211365,0.40452903509140015
30,chinese,canadians,60,576,-1.235837459564209,-0.28952860832214355,0.9463088512420654
31,chinese,canadians,922,1803,-1.1258814334869385,-0.28798601031303406,0.8378954231739044
32,chinese,canadians,186,977,-1.141255259513855,-0.37537455558776855,0.7658807039260864
33,chinese,canadians,906,16,-1.1779297590255737,-0.4999978244304657,0.677931934595108
34,chinese,canadians,1481,1105,-1.002170205116272,-0.6771180033683777,0.3250522017478943
35,chinese,canadians,1617,427,-1.167251467704773,-0.8261292576789856,0.34112221002578735
36,chinese,canadians,235,42,-1.0540016889572144,-0.3866904377937317,0.6673112511634827
37,chinese,canadians,465,1254,-1.2832869291305542,-0.1346699446439743,1.14861698448658
38,chinese,canadians,1351,1855,-1.311236023902893,-0.45837971568107605,0.852856308221817
39,chinese,canadians,1163,616,-1.0534309148788452,-0.5178676843643188,0.5355632305145264
40,chinese,canadians,1801,1087,-0.7613899111747742,-0.5562496781349182,0.20514023303985596
41,chinese,canadians,1143,16,-1.0168122053146362,-0.5240620374679565,0.4927501678466797
42,chinese,canadians,1218,1569,-1.1342658996582031,-0.307746022939682,0.8265198767185211
43,chinese,canadians,1112,1783,-0.9730637669563293,-0.35463911294937134,0.618424654006958
44,chinese,canadians,1177,990,-0.8141263127326965,-0.45050498843193054,0.363621324300766
45,chinese,canadians,1030,1419,-0.8824096918106079,-0.310393363237381,0.5720163285732269
46,chinese,canadians,1324,1996,-1.220075011253357,-0.45308658480644226,0.7669884264469147
47,chinese,canadians,1228,1410,-1.0127900838851929,-0.36130771040916443,0.6514823734760284
48,chinese,canadians,1577,112,-1.2534276247024536,-0.8438739776611328,0.4095536470413208
49,chinese,canadians,210,1922,-1.0400928258895874,-0.14936451613903046,0.890728309750557
