,group1,group2,num_group1,num_group2,preference_group1,preference_group2,preference_diff
0,chinese,germans,312,430,-2.8581554889678955,-1.3778306245803833,1.4803248643875122
1,chinese,germans,1304,70,-2.2581405639648438,-1.6742690801620483,0.5838714838027954
2,chinese,germans,604,940,-2.6039834022521973,-1.1346818208694458,1.4693015813827515
3,chinese,germans,258,528,-2.7016987800598145,-1.4872801303863525,1.214418649673462
4,chinese,germans,676,623,-2.1549770832061768,-1.6616195440292358,0.4933575391769409
5,chinese,germans,1298,1517,-1.9887903928756714,-0.6534790992736816,1.3353112936019897
6,chinese,germans,1985,1097,-2.2029693126678467,-1.498643159866333,0.7043261528015137
7,chinese,germans,1306,1806,-2.0501632690429688,-0.9031080603599548,1.147055208683014
8,chinese,germans,634,1073,-2.679637908935547,-0.9997644424438477,1.6798734664916992
9,chinese,germans,281,336,-2.579561948776245,-1.0396344661712646,1.5399274826049805
10,chinese,germans,1198,1403,-2.186678647994995,-0.7978613972663879,1.3888172507286072
11,chinese,germans,56,450,-2.7347943782806396,-1.3806791305541992,1.3541152477264404
12,chinese,germans,639,792,-2.251847982406616,-0.8893179297447205,1.3625300526618958
13,chinese,germans,1924,1043,-2.1218793392181396,-1.7787714004516602,0.3431079387664795
14,chinese,germans,1066,47,-2.1439714431762695,-1.5801537036895752,0.5638177394866943
15,chinese,germans,5,256,-2.590386152267456,-1.525443434715271,1.064942717552185
16,chinese,germans,542,286,-2.1357879638671875,-1.769904375076294,0.36588358879089355
17,chinese,germans,108,1884,-2.7443947792053223,-1.2037180662155151,1.5406767129898071
18,chinese,germans,1689,500,-1.8286774158477783,-1.73684561252594,0.09183180332183838
19,chinese,germans,1289,620,-1.9546568393707275,-2.0288333892822266,-0.07417654991149902
20,chinese,germans,1161,355,-2.0155179500579834,-1.672719955444336,0.34279799461364746
21,chinese,germans,1195,1062,-1.8050802946090698,-1.6242074966430664,0.18087279796600342
22,chinese,germans,905,527,-2.1125590801239014,-1.7764647006988525,0.33609437942504883
23,chinese,germans,1037,329,-1.8868488073349,-1.8854389190673828,0.0014098882675170898
24,chinese,germans,993,234,-1.968889594078064,-2.0346505641937256,-0.06576097011566162
25,chinese,germans,390,86,-2.478670835494995,-2.3327274322509766,0.14594340324401855
26,chinese,germans,341,1712,-2.479985475540161,-1.0200729370117188,1.4599125385284424
27,chinese,germans,1782,177,-2.2907168865203857,-2.1026246547698975,0.18809223175048828
28,chinese,germans,133,1559,-2.7585999965667725,-1.1135280132293701,1.6450719833374023
29,chinese,germans,1870,47,-2.1993930339813232,-1.7551193237304688,0.4442737102508545
30,chinese,germans,1024,1237,-2.173466682434082,-0.7367815375328064,1.4366851449012756
31,chinese,germans,96,1569,-2.9103238582611084,-1.2805451154708862,1.6297787427902222
32,chinese,germans,507,1985,-2.445636510848999,-1.3224588632583618,1.1231776475906372
33,chinese,germans,1941,558,-2.3115947246551514,-1.906302809715271,0.40529191493988037
34,chinese,germans,1726,717,-2.123107671737671,-1.9168834686279297,0.2062242031097412
35,chinese,germans,1577,79,-2.2996764183044434,-1.8330730199813843,0.4666033983230591
36,chinese,germans,636,631,-2.1441638469696045,-1.3901258707046509,0.7540379762649536
37,chinese,germans,1863,1767,-2.05682373046875,-1.3245677947998047,0.7322559356689453
38,chinese,germans,1832,1329,-1.7112963199615479,-1.839995265007019,-0.1286989450454712
39,chinese,germans,3,375,-2.8625524044036865,-1.4537501335144043,1.4088022708892822
40,chinese,germans,672,1831,-2.3974971771240234,-1.0508487224578857,1.3466484546661377
41,chinese,germans,639,1158,-2.5576364994049072,-1.078346848487854,1.4792896509170532
42,chinese,germans,1866,652,-2.1735332012176514,-1.8562730550765991,0.31726014614105225
43,chinese,germans,911,1793,-2.4411780834198,-0.8420483469963074,1.5991297364234924
44,chinese,germans,1526,1001,-1.7818421125411987,-1.6296160221099854,0.15222609043121338
45,chinese,germans,911,1900,-2.6273953914642334,-1.1195968389511108,1.5077985525131226
46,chinese,germans,1776,1823,-2.4614620208740234,-1.1094883680343628,1.3519736528396606
47,chinese,germans,688,1644,-2.6179039478302,-1.0632128715515137,1.5546910762786865
48,chinese,germans,871,166,-2.231660842895508,-2.0050106048583984,0.22665023803710938
49,chinese,germans,451,458,-2.3280587196350098,-0.7571502923965454,1.5709084272384644
