,group1,group2,num_group1,num_group2,preference_group1,preference_group2,preference_diff
0,chinese,indians,1793,1835,-0.603224515914917,-0.6004349589347839,0.0027895569801330566
1,chinese,indians,1480,1069,-0.6590297818183899,-0.6524606347084045,0.0065691471099853516
2,chinese,indians,483,415,-0.784003496170044,-0.5457414984703064,0.23826199769973755
3,chinese,indians,1167,739,-0.6376204490661621,-0.5843684673309326,0.05325198173522949
4,chinese,indians,1619,1736,-0.47108516097068787,-0.23121409118175507,0.2398710697889328
5,chinese,indians,1879,224,-0.7010965347290039,-0.5368087291717529,0.16428780555725098
6,chinese,indians,810,1598,-0.8478159308433533,-0.46300870180130005,0.3848072290420532
7,chinese,indians,230,1758,-1.0043290853500366,-0.4103022515773773,0.5940268337726593
8,chinese,indians,1767,1725,-0.5932866930961609,-0.596466064453125,-0.0031793713569641113
9,chinese,indians,1386,813,-0.7626768350601196,-0.6928479671478271,0.06982886791229248
10,chinese,indians,251,40,-0.7986428141593933,-0.5708689093589783,0.22777390480041504
11,chinese,indians,1669,1508,-0.5970520377159119,-0.7556675672531128,-0.15861552953720093
12,chinese,indians,1516,1845,-0.6909857988357544,-0.5465361475944519,0.1444496512413025
13,chinese,indians,1046,1692,-0.7814720869064331,-0.48888397216796875,0.29258811473846436
14,chinese,indians,288,1532,-0.9924721717834473,-0.4173360764980316,0.5751360952854156
15,chinese,indians,259,1571,-0.9047490358352661,-0.48567256331443787,0.41907647252082825
16,chinese,indians,915,319,-0.8648672103881836,-0.5224027633666992,0.3424644470214844
17,chinese,indians,1014,740,-0.8132272958755493,-0.5429761409759521,0.27025115489959717
18,chinese,indians,1996,270,-0.6991958022117615,-0.6001275181770325,0.099068284034729
19,chinese,indians,833,211,-0.6056157946586609,-0.6309390068054199,-0.025323212146759033
20,chinese,indians,1110,1726,-0.7055606245994568,-0.5164282321929932,0.18913239240646362
21,chinese,indians,480,1907,-0.9978700876235962,-0.2798575758934021,0.7180125117301941
22,chinese,indians,19,1949,-0.5313748121261597,-0.3437371253967285,0.18763768672943115
23,chinese,indians,1430,914,-0.858005166053772,-0.6980356574058533,0.1599695086479187
24,chinese,indians,343,472,-0.7779658436775208,-0.43869686126708984,0.3392689824104309
25,chinese,indians,1469,1651,-0.7237839102745056,-0.4201565384864807,0.3036273717880249
26,chinese,indians,1424,971,-0.6454569697380066,-0.7962923049926758,-0.1508353352546692
27,chinese,indians,106,1392,-0.965462327003479,-0.4573121964931488,0.5081501305103302
28,chinese,indians,1822,393,-0.6159726977348328,-0.63057941198349,-0.014606714248657227
29,chinese,indians,1297,888,-0.7974487543106079,-0.6533876061439514,0.1440611481666565
30,chinese,indians,1025,604,-0.7132560014724731,-0.46358996629714966,0.2496660351753235
31,chinese,indians,1840,687,-0.6925565600395203,-0.5954490303993225,0.09710752964019775
32,chinese,indians,36,1985,-0.6771084666252136,-0.23086820542812347,0.44624026119709015
33,chinese,indians,761,789,-0.8229544758796692,-0.5617596507072449,0.2611948251724243
34,chinese,indians,896,1378,-0.870849072933197,-0.4464986324310303,0.42435044050216675
35,chinese,indians,1610,891,-0.8135551810264587,-0.8383960127830505,-0.024840831756591797
36,chinese,indians,1571,1740,-0.7977942824363708,-0.46248894929885864,0.3353053331375122
37,chinese,indians,1570,661,-0.82432621717453,-0.7180078625679016,0.10631835460662842
38,chinese,indians,33,725,-0.7658163905143738,-0.4647924602031708,0.301023930311203
39,chinese,indians,1657,1042,-0.7859607934951782,-0.6424086093902588,0.14355218410491943
40,chinese,indians,117,1401,-0.9968081712722778,-0.49755746126174927,0.49925071001052856
41,chinese,indians,329,1859,-0.8919916152954102,-0.37348461151123047,0.5185070037841797
42,chinese,indians,567,1257,-0.8481772541999817,-0.38293811678886414,0.46523913741111755
43,chinese,indians,910,391,-0.8914972543716431,-0.5083117485046387,0.3831855058670044
44,chinese,indians,761,1004,-0.8658831715583801,-0.453423410654068,0.41245976090431213
45,chinese,indians,321,1966,-0.7267314195632935,-0.3409424424171448,0.3857889771461487
46,chinese,indians,909,863,-0.9942148327827454,-0.613524854183197,0.38068997859954834
47,chinese,indians,726,1243,-0.9315436482429504,-0.4516066610813141,0.47993698716163635
48,chinese,indians,156,760,-0.8956802487373352,-0.4978656768798828,0.3978145718574524
49,chinese,indians,428,575,-0.9228085875511169,-0.5303859114646912,0.3924226760864258
