,group1,group2,num_group1,num_group2,preference_group1,preference_group2,preference_diff
0,chinese,iranians,1936,831,-0.5427363514900208,-0.26998046040534973,0.272755891084671
1,chinese,iranians,1542,163,-0.37199756503105164,-0.5581739544868469,-0.1861763894557953
2,chinese,iranians,203,1305,-1.1212199926376343,-0.11115608364343643,1.0100639089941978
3,chinese,iranians,1306,271,-0.3931445777416229,-0.6823210120201111,-0.28917643427848816
4,chinese,iranians,451,364,-0.58757084608078,-0.36533328890800476,0.22223755717277527
5,chinese,iranians,1196,1213,-0.9689021110534668,-0.3449636697769165,0.6239384412765503
6,chinese,iranians,238,929,-0.8668456077575684,-0.2535392940044403,0.613306313753128
7,chinese,iranians,1791,950,-0.29223889112472534,-0.6298696398735046,-0.3376307487487793
8,chinese,iranians,1213,298,-0.5256761908531189,-0.41534462571144104,0.11033156514167786
9,chinese,iranians,1361,1456,-0.7628827691078186,-0.09009847790002823,0.6727842912077904
10,chinese,iranians,1803,1322,-0.41971760988235474,-0.7842651605606079,-0.3645475506782532
11,chinese,iranians,1072,871,-0.49348416924476624,-0.5388562083244324,-0.04537203907966614
12,chinese,iranians,476,480,-0.7000662088394165,-0.07664556801319122,0.6234206408262253
13,chinese,iranians,521,104,-0.5540530681610107,-0.5131163597106934,0.04093670845031738
14,chinese,iranians,781,901,-0.6606101393699646,-0.3258419930934906,0.334768146276474
15,chinese,iranians,1224,689,-0.5304421782493591,-0.4492986798286438,0.08114349842071533
16,chinese,iranians,1604,1123,-0.5494213104248047,-0.7492988705635071,-0.1998775601387024
17,chinese,iranians,55,223,-0.7798797488212585,-0.14241962134838104,0.6374601274728775
18,chinese,iranians,593,964,-0.7820453643798828,-0.2343360185623169,0.5477093458175659
19,chinese,iranians,645,519,-0.7222328782081604,-0.5013594031333923,0.22087347507476807
20,chinese,iranians,86,760,-0.876771867275238,-0.08981013298034668,0.7869617342948914
21,chinese,iranians,884,401,-0.6677044630050659,-0.5926777720451355,0.07502669095993042
22,chinese,iranians,489,1340,-0.8231016993522644,-0.1628047525882721,0.6602969467639923
23,chinese,iranians,1172,1495,-0.8661222457885742,-0.17353443801403046,0.6925878077745438
24,chinese,iranians,381,1272,-0.8911104202270508,-0.11958418041467667,0.7715262398123741
25,chinese,iranians,212,1107,-1.250638484954834,-0.29901769757270813,0.9516207873821259
26,chinese,iranians,1295,51,-0.5405802726745605,-0.5788882374763489,-0.03830796480178833
27,chinese,iranians,1857,1415,-0.47809407114982605,-0.676855742931366,-0.19876167178153992
28,chinese,iranians,250,455,-0.7059419751167297,0.011528635397553444,0.7174706105142832
29,chinese,iranians,1314,914,-0.3784172236919403,-0.4640294015407562,-0.08561217784881592
30,chinese,iranians,1669,1137,-0.4982769191265106,-0.870668888092041,-0.3723919689655304
31,chinese,iranians,1923,1049,-0.2038915604352951,-0.5490017533302307,-0.3451101928949356
32,chinese,iranians,1658,235,-0.3708285093307495,-0.6987108588218689,-0.3278823494911194
33,chinese,iranians,204,899,-0.8886181712150574,-0.17515264451503754,0.7134655267000198
34,chinese,iranians,1840,1791,-0.5220961570739746,-0.5715939402580261,-0.049497783184051514
35,chinese,iranians,1279,1630,-0.9532556533813477,-0.2764051556587219,0.6768504977226257
36,chinese,iranians,840,1706,-0.956760585308075,-0.36064717173576355,0.5961134135723114
37,chinese,iranians,1032,583,-0.505145788192749,-0.5706992745399475,-0.06555348634719849
38,chinese,iranians,1798,1307,-0.5524091124534607,-0.8089492917060852,-0.2565401792526245
39,chinese,iranians,430,1122,-0.8691765069961548,-0.17897756397724152,0.6901989430189133
40,chinese,iranians,772,92,-0.6861743330955505,-0.5229592323303223,0.16321510076522827
41,chinese,iranians,950,1208,-0.6070277094841003,-0.02840399742126465,0.5786237120628357
42,chinese,iranians,69,1642,-0.8063977360725403,0.07485170662403107,0.8812494426965714
43,chinese,iranians,241,1631,-1.211033821105957,-0.2933904826641083,0.9176433384418488
44,chinese,iranians,170,49,-0.5033398866653442,-0.5432810187339783,-0.03994113206863403
45,chinese,iranians,197,1041,-1.132727026939392,-0.13644282519817352,0.9962842017412186
46,chinese,iranians,1650,470,-0.21066203713417053,-0.6977037191390991,-0.4870416820049286
47,chinese,iranians,1493,1576,-0.8646515011787415,-0.2904497981071472,0.5742017030715942
48,chinese,iranians,249,1238,-0.9570267796516418,-0.028704047203063965,0.9283227324485779
49,chinese,iranians,731,1820,-0.9387895464897156,-0.24364827573299408,0.6951412707567215
