,group1,group2,num_group1,num_group2,preference_group1,preference_group2,preference_diff
0,chinese,japanese,37,1466,-0.8025504946708679,-0.6660928130149841,0.1364576816558838
1,chinese,japanese,392,593,-0.8631860017776489,-0.769092857837677,0.09409314393997192
2,chinese,japanese,784,886,-0.8236578106880188,-0.8228670954704285,0.000790715217590332
3,chinese,japanese,355,1853,-1.0444895029067993,-1.0069786310195923,0.03751087188720703
4,chinese,japanese,1117,724,-0.8058082461357117,-0.8986889123916626,-0.09288066625595093
5,chinese,japanese,919,1280,-1.073900818824768,-0.849205493927002,0.2246953248977661
6,chinese,japanese,1225,284,-0.9800612330436707,-1.0090378522872925,-0.028976619243621826
7,chinese,japanese,1863,1956,-0.6601458787918091,-0.7967221736907959,-0.13657629489898682
8,chinese,japanese,1403,1210,-0.6133057475090027,-0.7376037836074829,-0.12429803609848022
9,chinese,japanese,611,1149,-1.007615566253662,-0.9840839505195618,0.023531615734100342
10,chinese,japanese,1015,1637,-1.0683839321136475,-0.8818715214729309,0.18651241064071655
11,chinese,japanese,707,1921,-0.795991837978363,-0.8682026267051697,-0.07221078872680664
12,chinese,japanese,1181,1078,-0.6278150677680969,-0.8226763010025024,-0.19486123323440552
13,chinese,japanese,1826,500,-0.7118081450462341,-0.8543912768363953,-0.14258313179016113
14,chinese,japanese,1714,614,-0.760469913482666,-1.009052038192749,-0.248582124710083
15,chinese,japanese,221,1360,-1.1177520751953125,-0.8106157183647156,0.3071363568305969
16,chinese,japanese,1559,1420,-0.7161215543746948,-0.9495180249214172,-0.2333964705467224
17,chinese,japanese,147,956,-0.8409392237663269,-0.7374646067619324,0.10347461700439453
18,chinese,japanese,674,1948,-0.952949047088623,-0.8455772399902344,0.10737180709838867
19,chinese,japanese,1199,1685,-1.1178492307662964,-0.6954613924026489,0.42238783836364746
20,chinese,japanese,1538,1162,-0.7524658441543579,-0.7376266121864319,0.014839231967926025
21,chinese,japanese,946,630,-0.8274311423301697,-0.7377685308456421,0.08966261148452759
22,chinese,japanese,452,1672,-1.0620644092559814,-0.8828518986701965,0.1792125105857849
23,chinese,japanese,1101,1009,-0.6565295457839966,-0.8716529011726379,-0.21512335538864136
24,chinese,japanese,1252,896,-0.8800317049026489,-0.953702449798584,-0.07367074489593506
25,chinese,japanese,1422,1421,-0.20893386006355286,-0.4785359799861908,-0.26960211992263794
26,chinese,japanese,41,683,-0.8171143531799316,-0.7103734612464905,0.10674089193344116
27,chinese,japanese,1269,22,-0.6972394585609436,-0.6951824426651001,0.002057015895843506
28,chinese,japanese,485,1101,-0.9980002641677856,-0.8339983820915222,0.16400188207626343
29,chinese,japanese,1938,1251,-0.3591151237487793,-0.9954239130020142,-0.6363087892532349
30,chinese,japanese,1829,1839,-0.6134284138679504,-0.5479989647865295,0.0654294490814209
31,chinese,japanese,919,1857,-0.8405804634094238,-0.7871559262275696,0.05342453718185425
32,chinese,japanese,664,896,-0.9641971588134766,-0.7784239053726196,0.18577325344085693
33,chinese,japanese,755,1595,-0.9618242383003235,-0.7569777369499207,0.20484650135040283
34,chinese,japanese,1374,247,-0.7747719287872314,-0.9520670771598816,-0.17729514837265015
35,chinese,japanese,85,191,-0.9498049020767212,-0.9224445223808289,0.027360379695892334
36,chinese,japanese,637,983,-0.948777973651886,-0.8270488977432251,0.12172907590866089
37,chinese,japanese,486,1617,-1.0229613780975342,-1.0118519067764282,0.011109471321105957
38,chinese,japanese,1413,639,-0.47110429406166077,-0.9070480465888977,-0.43594375252723694
39,chinese,japanese,1658,573,-0.7673303484916687,-0.862014889717102,-0.09468454122543335
40,chinese,japanese,563,61,-0.7594900727272034,-0.871564507484436,-0.11207443475723267
41,chinese,japanese,548,401,-0.9146992564201355,-0.8708245158195496,0.04387474060058594
42,chinese,japanese,748,816,-0.8975987434387207,-0.8927236795425415,0.004875063896179199
43,chinese,japanese,444,406,-0.9124302864074707,-0.9189030528068542,-0.006472766399383545
44,chinese,japanese,1680,1696,-0.9578837752342224,-0.7704688906669617,0.18741488456726074
45,chinese,japanese,955,742,-0.9112467765808105,-0.7977949976921082,0.11345177888870239
46,chinese,japanese,1105,1009,-0.847805917263031,-0.8790044188499451,-0.031198501586914062
47,chinese,japanese,1149,1401,-0.8553289771080017,-0.8845272064208984,-0.02919822931289673
48,chinese,japanese,1394,1116,-0.759520947933197,-0.7997202277183533,-0.04019927978515625
49,chinese,japanese,1884,1847,-0.6167359948158264,-0.885188102722168,-0.26845210790634155
