,group1,group2,num_group1,num_group2,preference_group1,preference_group2,preference_diff
0,chinese,mexicans,443,643,-0.7820520401000977,-0.613290011882782,0.16876202821731567
1,chinese,mexicans,1833,887,-0.48430320620536804,-0.6388247609138489,-0.15452155470848083
2,chinese,mexicans,625,986,-0.9358278512954712,-0.7152721285820007,0.22055572271347046
3,chinese,mexicans,1851,1181,-0.49981147050857544,-0.49714499711990356,0.002666473388671875
4,chinese,mexicans,959,983,-0.7670136094093323,-0.45444732904434204,0.31256628036499023
5,chinese,mexicans,549,1518,-0.8387276530265808,-0.5334950089454651,0.3052326440811157
6,chinese,mexicans,1668,1385,-0.6940320134162903,-0.6213217377662659,0.07271027565002441
7,chinese,mexicans,1416,1753,-0.7908773422241211,-0.6694469451904297,0.1214303970336914
8,chinese,mexicans,563,1676,-0.8064242601394653,-0.5623530745506287,0.24407118558883667
9,chinese,mexicans,651,493,-0.8038063049316406,-0.6911405920982361,0.11266571283340454
10,chinese,mexicans,1345,443,-0.8307056427001953,-0.8058825731277466,0.02482306957244873
11,chinese,mexicans,1121,440,-0.7537855505943298,-0.688528299331665,0.0652572512626648
12,chinese,mexicans,566,1810,-0.8201262354850769,-0.6313785910606384,0.18874764442443848
13,chinese,mexicans,636,1420,-0.9225088357925415,-0.62607741355896,0.29643142223358154
14,chinese,mexicans,1562,1189,-0.7247834801673889,-0.6715695261955261,0.05321395397186279
15,chinese,mexicans,781,436,-0.6710113883018494,-0.6965533494949341,-0.025541961193084717
16,chinese,mexicans,570,4,-0.816480815410614,-0.5612289905548096,0.25525182485580444
17,chinese,mexicans,299,1501,-0.6998446583747864,-0.45779767632484436,0.24204698204994202
18,chinese,mexicans,738,991,-0.7572540640830994,-0.6187900900840759,0.13846397399902344
19,chinese,mexicans,1163,1337,-0.6057296395301819,-0.17682600021362305,0.42890363931655884
20,chinese,mexicans,929,41,-0.7719256281852722,-0.7895016074180603,-0.017575979232788086
21,chinese,mexicans,1814,517,-0.7236188054084778,-0.6927329897880554,0.030885815620422363
22,chinese,mexicans,1223,1062,-0.6833653450012207,-0.7093151211738586,-0.02594977617263794
23,chinese,mexicans,967,1758,-0.8248947262763977,-0.5438827872276306,0.2810119390487671
24,chinese,mexicans,193,603,-0.839433491230011,-0.576871931552887,0.262561559677124
25,chinese,mexicans,846,1297,-0.7806706428527832,-0.561014711856842,0.21965593099594116
26,chinese,mexicans,499,1261,-0.9224595427513123,-0.48556074500083923,0.436898797750473
27,chinese,mexicans,1767,146,-0.8040755391120911,-0.662712574005127,0.1413629651069641
28,chinese,mexicans,289,1617,-0.8032160997390747,-0.4959549903869629,0.3072611093521118
29,chinese,mexicans,502,633,-0.7837818264961243,-0.6358370184898376,0.14794480800628662
30,chinese,mexicans,892,1177,-0.7851459383964539,-0.5478410124778748,0.2373049259185791
31,chinese,mexicans,5,818,-0.8079234957695007,-0.6709669828414917,0.13695651292800903
32,chinese,mexicans,687,322,-0.8304128646850586,-0.6797397136688232,0.15067315101623535
33,chinese,mexicans,630,718,-1.021523118019104,-0.6520119905471802,0.36951112747192383
34,chinese,mexicans,1560,397,-0.8361774682998657,-0.7155113816261292,0.12066608667373657
35,chinese,mexicans,1122,615,-0.6884856224060059,-0.613680899143219,0.07480472326278687
36,chinese,mexicans,1090,1316,-0.7235696911811829,-0.6163004636764526,0.10726922750473022
37,chinese,mexicans,1178,1147,-0.7106844186782837,-0.6146336197853088,0.09605079889297485
38,chinese,mexicans,242,901,-0.7991909980773926,-0.6468470096588135,0.1523439884185791
39,chinese,mexicans,1432,923,-0.7598786950111389,-0.7022268176078796,0.05765187740325928
40,chinese,mexicans,1290,72,-0.9358381628990173,-0.7570326924324036,0.17880547046661377
41,chinese,mexicans,788,1412,-0.8842825293540955,-0.5505455136299133,0.33373701572418213
42,chinese,mexicans,1510,1438,-0.6990834474563599,-0.6632770895957947,0.035806357860565186
43,chinese,mexicans,1090,1001,-0.4777812957763672,-0.4451030194759369,0.0326782763004303
44,chinese,mexicans,1310,6,-0.748353123664856,-0.6255061030387878,0.12284702062606812
45,chinese,mexicans,1227,1363,-0.7324594259262085,-0.5693442225456238,0.16311520338058472
46,chinese,mexicans,373,851,-0.8580007553100586,-0.7374362349510193,0.1205645203590393
47,chinese,mexicans,1436,310,-0.8673142790794373,-0.6340381503105164,0.2332761287689209
48,chinese,mexicans,1340,1843,-0.7500325441360474,-0.47083422541618347,0.2791983187198639
49,chinese,mexicans,1342,536,-0.7210356593132019,-0.6930453181266785,0.027990341186523438
