,group1,group2,num_group1,num_group2,preference_group1,preference_group2,preference_diff
0,filipinos,indonesians,1755,1794,-2.1512532234191895,-1.245198130607605,0.9060550928115845
1,filipinos,indonesians,461,1603,-2.961113691329956,-1.1088513135910034,1.8522623777389526
2,filipinos,indonesians,313,527,-2.3736231327056885,-1.207318663597107,1.1663044691085815
3,filipinos,indonesians,1657,254,-2.1331751346588135,-2.1161129474639893,0.01706218719482422
4,filipinos,indonesians,1550,701,-2.4279143810272217,-1.872923731803894,0.5549906492233276
5,filipinos,indonesians,577,1566,-2.7189414501190186,-1.277206301689148,1.4417351484298706
6,filipinos,indonesians,407,1324,-2.750532627105713,-1.1832950115203857,1.5672376155853271
7,filipinos,indonesians,1367,332,-1.9887288808822632,-1.790985107421875,0.19774377346038818
8,filipinos,indonesians,1384,132,-1.9504387378692627,-1.7692979574203491,0.18114078044891357
9,filipinos,indonesians,962,1644,-2.921086072921753,-1.2434072494506836,1.6776788234710693
10,filipinos,indonesians,1069,619,-2.4614617824554443,-1.8511501550674438,0.6103116273880005
11,filipinos,indonesians,1504,1377,-1.8970139026641846,-1.7440013885498047,0.15301251411437988
12,filipinos,indonesians,322,1378,-2.3723015785217285,-1.224767804145813,1.1475337743759155
13,filipinos,indonesians,240,215,-2.4445559978485107,-2.199997663497925,0.24455833435058594
14,filipinos,indonesians,44,757,-2.2700271606445312,-1.0789304971694946,1.1910966634750366
15,filipinos,indonesians,952,1623,-2.9246222972869873,-1.3134199380874634,1.611202359199524
16,filipinos,indonesians,788,1244,-2.2989284992218018,-1.0010695457458496,1.2978589534759521
17,filipinos,indonesians,790,40,-2.156588315963745,-1.758921504020691,0.3976668119430542
18,filipinos,indonesians,993,919,-2.2160484790802,-1.6055727005004883,0.6104757785797119
19,filipinos,indonesians,1082,544,-2.1187350749969482,-1.7943023443222046,0.32443273067474365
20,filipinos,indonesians,1427,621,-1.8679859638214111,-1.745676040649414,0.12230992317199707
21,filipinos,indonesians,1583,1529,-1.8352402448654175,-1.601793885231018,0.23344635963439941
22,filipinos,indonesians,1060,1392,-2.3951237201690674,-1.1641660928726196,1.2309576272964478
23,filipinos,indonesians,754,1957,-2.6729817390441895,-1.2518361806869507,1.4211455583572388
24,filipinos,indonesians,1079,273,-2.1023027896881104,-1.7278972864151,0.37440550327301025
25,filipinos,indonesians,1929,512,-2.083759069442749,-2.236992835998535,-0.15323376655578613
26,filipinos,indonesians,468,432,-2.0777177810668945,-1.825067400932312,0.2526503801345825
27,filipinos,indonesians,843,22,-1.8675616979599,-1.5736268758773804,0.29393482208251953
28,filipinos,indonesians,294,1852,-2.8459150791168213,-1.0853594541549683,1.760555624961853
29,filipinos,indonesians,855,680,-2.46600341796875,-1.7710418701171875,0.6949615478515625
30,filipinos,indonesians,1739,595,-2.2728779315948486,-1.9135398864746094,0.35933804512023926
31,filipinos,indonesians,265,1361,-3.1365630626678467,-1.0716545581817627,2.064908504486084
32,filipinos,indonesians,1799,1738,-1.8850926160812378,-1.811339259147644,0.07375335693359375
33,filipinos,indonesians,1629,1746,-2.298417329788208,-1.117295265197754,1.181122064590454
34,filipinos,indonesians,162,1248,-2.6568477153778076,-1.143518328666687,1.5133293867111206
35,filipinos,indonesians,563,1944,-2.6444804668426514,-1.2331455945968628,1.4113348722457886
36,filipinos,indonesians,813,616,-2.127814531326294,-1.6094369888305664,0.5183775424957275
37,filipinos,indonesians,1910,783,-2.489119529724121,-2.091484785079956,0.39763474464416504
38,filipinos,indonesians,1252,395,-2.230916738510132,-2.1075243949890137,0.12339234352111816
39,filipinos,indonesians,575,1457,-2.6236398220062256,-1.1376056671142578,1.4860341548919678
40,filipinos,indonesians,1294,1279,-1.8589757680892944,-1.6562206745147705,0.20275509357452393
41,filipinos,indonesians,1704,884,-2.3458752632141113,-1.934739112854004,0.4111361503601074
42,filipinos,indonesians,1549,1728,-2.577838182449341,-1.290321707725525,1.287516474723816
43,filipinos,indonesians,525,1115,-3.302410840988159,-1.522251844406128,1.7801589965820312
44,filipinos,indonesians,1403,354,-2.245469331741333,-2.070993423461914,0.17447590827941895
45,filipinos,indonesians,1203,1541,-2.2781074047088623,-1.1545335054397583,1.123573899269104
46,filipinos,indonesians,987,51,-2.248478651046753,-1.7340096235275269,0.5144690275192261
47,filipinos,indonesians,1056,444,-2.205707311630249,-1.9679336547851562,0.23777365684509277
48,filipinos,indonesians,55,48,-2.007805585861206,-1.7675411701202393,0.2402644157409668
49,filipinos,indonesians,1771,929,-2.227402448654175,-1.8607826232910156,0.3666198253631592
