,group1,group2,num_group1,num_group2,preference_group1,preference_group2,preference_diff
0,filipinos,south africans,484,339,-2.293910026550293,-1.8353890180587769,0.4585210084915161
1,filipinos,south africans,310,1559,-2.642333745956421,-1.0907458066940308,1.5515879392623901
2,filipinos,south africans,255,1126,-2.545520067214966,-1.4360241889953613,1.1094958782196045
3,filipinos,south africans,1702,150,-1.5549033880233765,-1.7761319875717163,-0.22122859954833984
4,filipinos,south africans,630,1459,-2.5338191986083984,-1.0812782049179077,1.4525409936904907
5,filipinos,south africans,943,152,-1.8152875900268555,-1.9277540445327759,-0.11246645450592041
6,filipinos,south africans,1958,859,-2.2395684719085693,-2.0973339080810547,0.14223456382751465
7,filipinos,south africans,1185,92,-1.852181077003479,-1.878304123878479,-0.026123046875
8,filipinos,south africans,1252,978,-1.6934738159179688,-1.8414223194122314,-0.1479485034942627
9,filipinos,south africans,1944,315,-2.1597964763641357,-1.703981637954712,0.45581483840942383
10,filipinos,south africans,187,232,-2.199510335922241,-1.5771379470825195,0.6223723888397217
11,filipinos,south africans,1339,92,-1.6281311511993408,-1.61614191532135,0.011989235877990723
12,filipinos,south africans,1836,457,-1.9154456853866577,-1.9819763898849487,-0.06653070449829102
13,filipinos,south africans,714,1776,-2.5592200756073,-1.1052929162979126,1.4539271593093872
14,filipinos,south africans,1067,302,-1.907461404800415,-1.7755035161972046,0.13195788860321045
15,filipinos,south africans,1567,1637,-1.8916285037994385,-0.8135496377944946,1.0780788660049438
16,filipinos,south africans,130,497,-2.9052135944366455,-1.4826401472091675,1.422573447227478
17,filipinos,south africans,1986,1634,-1.5062369108200073,-1.872275710105896,-0.36603879928588867
18,filipinos,south africans,416,1593,-2.5519979000091553,-1.0818108320236206,1.4701870679855347
19,filipinos,south africans,888,1313,-2.4992754459381104,-0.8265062570571899,1.6727691888809204
20,filipinos,south africans,52,1157,-2.701901435852051,-1.3446168899536133,1.3572845458984375
21,filipinos,south africans,1287,1973,-2.1572511196136475,-1.2076542377471924,0.9495968818664551
22,filipinos,south africans,274,903,-2.310612440109253,-1.3819063901901245,0.9287060499191284
23,filipinos,south africans,1198,488,-1.8062981367111206,-1.81706964969635,-0.010771512985229492
24,filipinos,south africans,816,1494,-2.5603902339935303,-0.9693756103515625,1.5910146236419678
25,filipinos,south africans,410,1320,-2.568066358566284,-1.0102134943008423,1.557852864265442
26,filipinos,south africans,1470,495,-2.124624252319336,-2.20117449760437,-0.07655024528503418
27,filipinos,south africans,1337,1261,-1.0493704080581665,-1.8509811162948608,-0.8016107082366943
28,filipinos,south africans,693,129,-1.840134859085083,-1.8020429611206055,0.03809189796447754
29,filipinos,south africans,1233,1600,-2.227630615234375,-1.0520899295806885,1.1755406856536865
30,filipinos,south africans,719,382,-1.6217225790023804,-1.5818637609481812,0.03985881805419922
31,filipinos,south africans,824,615,-2.045158863067627,-1.9863394498825073,0.05881941318511963
32,filipinos,south africans,469,1659,-2.5166141986846924,-1.165798544883728,1.3508156538009644
33,filipinos,south africans,1492,1316,-1.5485516786575317,-1.525003433227539,0.023548245429992676
34,filipinos,south africans,297,1125,-2.590153932571411,-1.2904032468795776,1.2997506856918335
35,filipinos,south africans,1872,1747,-1.742181420326233,-1.8323415517807007,-0.09016013145446777
36,filipinos,south africans,6,505,-2.312809944152832,-1.2588838338851929,1.0539261102676392
37,filipinos,south africans,411,342,-1.850693702697754,-1.723688006401062,0.1270056962966919
38,filipinos,south africans,240,189,-2.069793939590454,-2.1021034717559814,-0.032309532165527344
39,filipinos,south africans,1397,107,-1.6580923795700073,-1.6956382989883423,-0.03754591941833496
40,filipinos,south africans,945,1769,-2.458554983139038,-1.2597301006317139,1.1988248825073242
41,filipinos,south africans,1351,1114,-2.096106767654419,-2.0184834003448486,0.07762336730957031
42,filipinos,south africans,1575,1243,-1.5417957305908203,-1.7611082792282104,-0.21931254863739014
43,filipinos,south africans,1680,249,-2.06744647026062,-1.9092878103256226,0.15815865993499756
44,filipinos,south africans,1314,1106,-1.9708311557769775,-2.1053130626678467,-0.13448190689086914
45,filipinos,south africans,1493,375,-2.067824125289917,-1.835180640220642,0.2326434850692749
46,filipinos,south africans,1113,1642,-2.3189456462860107,-1.0247448682785034,1.2942007780075073
47,filipinos,south africans,1051,1355,-2.509615659713745,-1.3016046285629272,1.2080110311508179
48,filipinos,south africans,1777,235,-2.3712315559387207,-1.8984692096710205,0.4727623462677002
49,filipinos,south africans,659,151,-1.9198254346847534,-1.7587482929229736,0.16107714176177979
