,group1,group2,num_group1,num_group2,preference_group1,preference_group2,preference_diff
0,french,canadians,1105,1220,-1.082112193107605,-0.12243576347827911,0.9596764296293259
1,french,canadians,1928,1064,-0.38143789768218994,-0.6797558069229126,-0.29831790924072266
2,french,canadians,556,1016,-1.4436906576156616,-0.26210296154022217,1.1815876960754395
3,french,canadians,635,739,-1.251856803894043,-0.3926817774772644,0.8591750264167786
4,french,canadians,857,14,-1.0650030374526978,-0.7683764696121216,0.29662656784057617
5,french,canadians,1332,520,-0.39184659719467163,-0.6072022914886475,-0.21535569429397583
6,french,canadians,1266,1019,-0.46305790543556213,-1.2490872144699097,-0.7860293090343475
7,french,canadians,138,35,-1.1665371656417847,-0.9176759719848633,0.2488611936569214
8,french,canadians,1285,1346,-1.3817533254623413,-0.06788893043994904,1.3138643950223923
9,french,canadians,1113,123,-0.17610584199428558,-0.6750944256782532,-0.4989885836839676
10,french,canadians,1896,712,-0.7624893188476562,-0.5054425001144409,0.25704681873321533
11,french,canadians,1052,383,-0.6388830542564392,-0.680186927318573,-0.04130387306213379
12,french,canadians,1034,765,-0.4240639805793762,-0.5269471406936646,-0.10288316011428833
13,french,canadians,1906,1426,-0.5659468770027161,-0.6280385255813599,-0.0620916485786438
14,french,canadians,1409,1999,-1.1043436527252197,0.09547364711761475,1.1998172998428345
15,french,canadians,365,1650,-1.213848352432251,-0.10172624886035919,1.1121221035718918
16,french,canadians,984,258,-0.726263701915741,-0.7493554353713989,-0.02309173345565796
17,french,canadians,1732,1265,-0.5487684607505798,-1.1650999784469604,-0.6163315176963806
18,french,canadians,1264,414,-0.6550672650337219,-0.7280940413475037,-0.07302677631378174
19,french,canadians,1038,129,-0.7240431904792786,-0.7306962609291077,-0.0066530704498291016
20,french,canadians,781,605,-1.1091197729110718,-0.88239586353302,0.22672390937805176
21,french,canadians,27,1379,-1.2077161073684692,-0.17518380284309387,1.0325323045253754
22,french,canadians,1093,112,-0.5529706478118896,-0.7596169114112854,-0.20664626359939575
23,french,canadians,1000,1018,-0.8586606979370117,-0.21587634086608887,0.6427843570709229
24,french,canadians,728,1606,-1.4357444047927856,-0.16592621803283691,1.2698181867599487
25,french,canadians,296,1390,-1.4968078136444092,-0.2171090692281723,1.2796987444162369
26,french,canadians,1171,1349,-1.2435286045074463,0.09869294613599777,1.342221550643444
27,french,canadians,263,1832,-1.2693251371383667,0.19741177558898926,1.466736912727356
28,french,canadians,1217,58,-0.525208055973053,-0.5229012370109558,0.002306818962097168
29,french,canadians,382,155,-0.9324442744255066,-0.7775284647941589,0.15491580963134766
30,french,canadians,1565,703,-0.6346114277839661,-0.6296868324279785,0.004924595355987549
31,french,canadians,1283,1762,-1.1811904907226562,-0.004616641905158758,1.1765738488174975
32,french,canadians,64,1696,-1.390580654144287,-0.1562711000442505,1.2343095541000366
33,french,canadians,1224,343,-0.5942592024803162,-0.6216703653335571,-0.027411162853240967
34,french,canadians,671,618,-1.0189769268035889,-1.0104445219039917,0.008532404899597168
35,french,canadians,491,1318,-1.3596466779708862,-0.25628790259361267,1.1033587753772736
36,french,canadians,912,1126,-1.1293240785598755,-0.24895063042640686,0.8803734481334686
37,french,canadians,1279,650,-0.6979914903640747,-0.7897643446922302,-0.09177285432815552
38,french,canadians,227,958,-1.170517086982727,-0.28991541266441345,0.8806016743183136
39,french,canadians,926,678,-0.7848994135856628,-0.6721930503845215,0.11270636320114136
40,french,canadians,209,1673,-1.7397234439849854,0.004531168844550848,1.7442546128295362
41,french,canadians,967,1874,-0.9931549429893494,-0.14077787101268768,0.8523770719766617
42,french,canadians,1009,74,-0.7151110768318176,-0.4929821193218231,0.2221289575099945
43,french,canadians,670,480,-1.0430307388305664,-0.5993787050247192,0.44365203380584717
44,french,canadians,80,1076,-1.732249140739441,-0.31220993399620056,1.4200392067432404
45,french,canadians,324,1160,-1.572874665260315,-0.1869603395462036,1.3859143257141113
46,french,canadians,922,1414,-1.0708379745483398,-0.3150620460510254,0.7557759284973145
47,french,canadians,1020,233,-0.18148227035999298,-0.7334224581718445,-0.5519401878118515
48,french,canadians,577,1783,-1.2894823551177979,-0.12740008533000946,1.1620822697877884
49,french,canadians,83,592,-0.9471091628074646,-0.008053803816437721,0.9390553589910269
