,group1,group2,num_group1,num_group2,preference_group1,preference_group2,preference_diff
0,french,filipinos,1208,152,-0.6402193903923035,-0.3729870915412903,0.2672322988510132
1,french,filipinos,192,956,-1.390144944190979,-0.13247914612293243,1.2576657980680466
2,french,filipinos,1236,1420,-0.9270383715629578,-0.0008318662876263261,0.9262065052753314
3,french,filipinos,903,775,-1.0755590200424194,-0.3923287093639374,0.6832303106784821
4,french,filipinos,1069,468,-0.4880915582180023,-0.2886955738067627,0.19939598441123962
5,french,filipinos,573,1044,-1.1739925146102905,-0.11425347626209259,1.059739038348198
6,french,filipinos,618,1777,-1.4741783142089844,-0.16683371365070343,1.307344600558281
7,french,filipinos,1386,1566,-1.2322957515716553,-0.06592287868261337,1.166372872889042
8,french,filipinos,1732,660,-0.41530951857566833,-0.4433053135871887,-0.027995795011520386
9,french,filipinos,1277,1007,-0.6917610764503479,-0.7483635544776917,-0.05660247802734375
10,french,filipinos,1972,69,-0.6105712056159973,-0.5159097909927368,0.0946614146232605
11,french,filipinos,1269,163,-0.6328555941581726,-0.4050543010234833,0.22780129313468933
12,french,filipinos,1541,876,-0.6173105835914612,-0.4243105947971344,0.19299998879432678
13,french,filipinos,1073,1084,-1.266140341758728,-0.08672173321247101,1.179418608546257
14,french,filipinos,1534,1858,-1.3070018291473389,-0.128077894449234,1.1789239346981049
15,french,filipinos,689,1216,-1.1074862480163574,-0.13615062832832336,0.9713356196880341
16,french,filipinos,644,80,-1.365402102470398,-0.46102190017700195,0.904380202293396
17,french,filipinos,7,1991,-1.2207362651824951,-0.056157756596803665,1.1645785085856915
18,french,filipinos,804,1117,-1.1180922985076904,-0.18169908225536346,0.936393216252327
19,french,filipinos,997,1839,-1.2120124101638794,-0.1096302792429924,1.102382130920887
20,french,filipinos,1661,1124,-0.6272639632225037,-0.8248090744018555,-0.1975451111793518
21,french,filipinos,864,600,-1.2087481021881104,-0.4202682077884674,0.7884798943996429
22,french,filipinos,1451,484,-0.41539278626441956,-0.25759121775627136,0.1578015685081482
23,french,filipinos,1320,711,-0.5133490562438965,-0.49594250321388245,0.017406553030014038
24,french,filipinos,968,1053,-1.190119743347168,-0.31985631585121155,0.8702634274959564
25,french,filipinos,1074,436,-0.7691182494163513,-0.4172646105289459,0.3518536388874054
26,french,filipinos,1998,943,-0.47772857546806335,-0.3771330714225769,0.10059550404548645
27,french,filipinos,1004,587,-0.501767098903656,-0.36868980526924133,0.13307729363441467
28,french,filipinos,1404,986,-0.601865828037262,-0.2714211642742157,0.33044466376304626
29,french,filipinos,1009,1894,-0.960380494594574,-0.27339306473731995,0.686987429857254
30,french,filipinos,797,1058,-1.4123508930206299,-0.1671767234802246,1.2451741695404053
31,french,filipinos,659,1549,-1.315442681312561,-0.005729127209633589,1.3097135541029274
32,french,filipinos,1298,77,-0.9957777857780457,-0.549435555934906,0.44634222984313965
33,french,filipinos,1939,56,-1.1092973947525024,-0.36983874440193176,0.7394586503505707
34,french,filipinos,725,148,-0.9829134941101074,-0.49534446001052856,0.48756903409957886
35,french,filipinos,1689,290,-0.5391605496406555,-0.4766922891139984,0.062468260526657104
36,french,filipinos,491,1542,-1.30820631980896,0.05505714565515518,1.3632634654641151
37,french,filipinos,1972,815,-0.7895880341529846,-0.5015223026275635,0.28806573152542114
38,french,filipinos,1453,1081,-0.42292338609695435,-0.6883329749107361,-0.26540958881378174
39,french,filipinos,1734,1616,-0.6074439883232117,-0.6334841847419739,-0.026040196418762207
40,french,filipinos,17,209,-1.0612534284591675,-0.06595964729785919,0.9952937811613083
41,french,filipinos,971,257,-1.0419037342071533,-0.4354121685028076,0.6064915657043457
42,french,filipinos,1042,699,-0.6681262850761414,-0.36087271571159363,0.30725356936454773
43,french,filipinos,583,1192,-1.299534797668457,-0.10994672775268555,1.1895880699157715
44,french,filipinos,783,549,-0.974229633808136,-0.46123799681663513,0.5129916369915009
45,french,filipinos,997,1253,-1.1408241987228394,0.03412454202771187,1.1749487407505512
46,french,filipinos,1168,1886,-1.3052862882614136,-0.29484161734580994,1.0104446709156036
47,french,filipinos,352,684,-1.1609830856323242,-0.19563214480876923,0.965350940823555
48,french,filipinos,1485,721,-0.41363564133644104,-0.3286348283290863,0.08500081300735474
49,french,filipinos,93,449,-1.15238356590271,-0.2502525746822357,0.9021309912204742
