,group1,group2,num_group1,num_group2,preference_group1,preference_group2,preference_diff
0,french,palestinians,1079,1416,-2.502812623977661,-1.380969524383545,1.1218430995941162
1,french,palestinians,991,506,-1.9454342126846313,-1.8257395029067993,0.11969470977783203
2,french,palestinians,67,978,-2.606752872467041,-1.0701665878295898,1.5365862846374512
3,french,palestinians,1845,35,-2.2168679237365723,-1.5747294425964355,0.6421384811401367
4,french,palestinians,1025,837,-2.094586133956909,-1.5267306566238403,0.5678554773330688
5,french,palestinians,1048,1994,-2.5635030269622803,-1.4716697931289673,1.091833233833313
6,french,palestinians,1498,198,-2.3719394207000732,-2.111762046813965,0.2601773738861084
7,french,palestinians,1163,721,-2.4769954681396484,-1.565764307975769,0.9112311601638794
8,french,palestinians,42,276,-2.2745988368988037,-1.1362559795379639,1.1383428573608398
9,french,palestinians,1554,1995,-2.395517110824585,-1.4381473064422607,0.9573698043823242
10,french,palestinians,322,715,-2.572462320327759,-1.4051958322525024,1.1672664880752563
11,french,palestinians,898,1505,-2.633080244064331,-1.2264050245285034,1.4066752195358276
12,french,palestinians,247,1640,-2.8639156818389893,-1.1336545944213867,1.7302610874176025
13,french,palestinians,1479,364,-2.3409245014190674,-1.6201696395874023,0.720754861831665
14,french,palestinians,438,1582,-2.6245484352111816,-1.0641582012176514,1.5603902339935303
15,french,palestinians,1742,95,-2.400034189224243,-2.056694746017456,0.3433394432067871
16,french,palestinians,700,473,-2.1059584617614746,-1.9446089267730713,0.16134953498840332
17,french,palestinians,1758,700,-2.561136484146118,-2.0196216106414795,0.5415148735046387
18,french,palestinians,1529,1615,-2.595905303955078,-1.1647263765335083,1.4311789274215698
19,french,palestinians,465,270,-2.264530897140503,-2.051042318344116,0.21348857879638672
20,french,palestinians,297,561,-2.6217880249023438,-1.2580111026763916,1.3637769222259521
21,french,palestinians,1250,627,-2.4992451667785645,-2.0619711875915527,0.4372739791870117
22,french,palestinians,345,1042,-2.903381586074829,-1.1023731231689453,1.8010084629058838
23,french,palestinians,1176,1283,-2.468076467514038,-1.1740062236785889,1.2940702438354492
24,french,palestinians,862,201,-2.1386067867279053,-1.954676628112793,0.1839301586151123
25,french,palestinians,1450,1397,-2.33624267578125,-1.9727802276611328,0.3634624481201172
26,french,palestinians,488,1708,-2.642486333847046,-1.1556309461593628,1.486855387687683
27,french,palestinians,915,996,-2.6370530128479004,-0.9484956860542297,1.6885573267936707
28,french,palestinians,1058,1544,-2.7245795726776123,-1.7805836200714111,0.9439959526062012
29,french,palestinians,966,1135,-2.723248243331909,-1.2117509841918945,1.5114972591400146
30,french,palestinians,1101,1127,-2.6618237495422363,-1.1773512363433838,1.4844725131988525
31,french,palestinians,698,1249,-2.46396541595459,-1.076444149017334,1.3875212669372559
32,french,palestinians,1483,1976,-2.660468339920044,-1.3624740839004517,1.2979942560195923
33,french,palestinians,149,230,-2.481794834136963,-1.3846100568771362,1.0971847772598267
34,french,palestinians,961,1289,-2.6314399242401123,-1.0157074928283691,1.6157324314117432
35,french,palestinians,606,886,-2.7422499656677246,-1.1549893617630005,1.5872606039047241
36,french,palestinians,858,821,-2.131063222885132,-1.6397361755371094,0.49132704734802246
37,french,palestinians,431,763,-2.5084824562072754,-0.9637516140937805,1.5447308421134949
38,french,palestinians,631,618,-2.2366645336151123,-1.7111505270004272,0.5255140066146851
39,french,palestinians,265,197,-2.0790212154388428,-1.5694754123687744,0.5095458030700684
40,french,palestinians,225,1512,-2.675982713699341,-1.3049880266189575,1.3709946870803833
41,french,palestinians,587,1317,-2.6832005977630615,-1.192304015159607,1.4908965826034546
42,french,palestinians,1694,279,-2.3185176849365234,-1.681005835533142,0.6375118494033813
43,french,palestinians,1835,1501,-2.6679909229278564,-1.8852379322052002,0.7827529907226562
44,french,palestinians,1300,168,-2.6211373805999756,-2.37165904045105,0.24947834014892578
45,french,palestinians,569,1998,-2.542346954345703,-1.2158968448638916,1.3264501094818115
46,french,palestinians,417,735,-2.7231523990631104,-0.9232109189033508,1.7999414801597595
47,french,palestinians,1690,480,-2.4903130531311035,-2.2324635982513428,0.25784945487976074
48,french,palestinians,989,1425,-2.6500022411346436,-0.8318679928779602,1.8181342482566833
49,french,palestinians,8,552,-2.0654897689819336,-0.9451543688774109,1.1203354001045227
