,group1,group2,num_group1,num_group2,preference_group1,preference_group2,preference_diff
0,germans,iranians,1404,558,-0.17878566682338715,-0.6586266756057739,-0.4798410087823868
1,germans,iranians,10,772,-0.9307465553283691,-0.14841090142726898,0.7823356539011002
2,germans,iranians,478,433,-0.2633553147315979,-0.5761538743972778,-0.31279855966567993
3,germans,iranians,860,1859,-0.6254511475563049,-0.1498403549194336,0.47561079263687134
4,germans,iranians,988,760,-0.47545814514160156,-0.5820965766906738,-0.10663843154907227
5,germans,iranians,1532,1127,-0.43447527289390564,-0.8308447003364563,-0.39636942744255066
6,germans,iranians,99,388,-0.7642992734909058,-0.03513620048761368,0.7291630730032921
7,germans,iranians,1510,963,-0.20609314739704132,-0.6751791834831238,-0.46908603608608246
8,germans,iranians,1383,1850,-0.7021136283874512,-0.0018840074772015214,0.7002296209102497
9,germans,iranians,1039,617,-0.27262791991233826,-0.7278451323509216,-0.4552172124385834
10,germans,iranians,4,514,-0.7157808542251587,-0.037499453872442245,0.6782814003527164
11,germans,iranians,477,1300,-0.7426764965057373,0.05502381548285484,0.7977003119885921
12,germans,iranians,1491,948,-0.1846429854631424,-0.6548851132392883,-0.47024212777614594
13,germans,iranians,1409,555,-0.09839894622564316,-0.735236644744873,-0.6368376985192299
14,germans,iranians,1966,1102,-0.5336571931838989,-0.6902034878730774,-0.15654629468917847
15,germans,iranians,1478,418,-0.03436093404889107,-0.6487127542495728,-0.6143518202006817
16,germans,iranians,1274,843,-0.19546480476856232,-0.7345332503318787,-0.5390684455633163
17,germans,iranians,1609,174,-0.22269868850708008,-0.7412557005882263,-0.5185570120811462
18,germans,iranians,1846,567,-0.06318285316228867,-0.5409092307090759,-0.47772637754678726
19,germans,iranians,1175,1621,-0.7477496862411499,0.05407750606536865,0.8018271923065186
20,germans,iranians,509,1860,-0.7776512503623962,-0.16403110325336456,0.6136201471090317
21,germans,iranians,1412,1083,-0.21790872514247894,-0.8652616739273071,-0.6473529487848282
22,germans,iranians,186,336,-0.7680272459983826,-0.18347561359405518,0.5845516324043274
23,germans,iranians,1490,438,-0.17819516360759735,-0.7202743291854858,-0.5420791655778885
24,germans,iranians,1199,931,-0.32970118522644043,-0.7037349939346313,-0.3740338087081909
25,germans,iranians,926,434,-0.1270407736301422,-0.8066272735595703,-0.6795864999294281
26,germans,iranians,228,1380,-0.8665308356285095,-0.004712820053100586,0.8618180155754089
27,germans,iranians,1209,209,-0.18926115334033966,-0.6662987470626831,-0.47703759372234344
28,germans,iranians,1855,1199,-0.6702340841293335,-0.8610478639602661,-0.19081377983093262
29,germans,iranians,1980,502,0.07379388809204102,-0.528566300868988,-0.602360188961029
30,germans,iranians,293,52,-0.20952041447162628,-0.6463353037834167,-0.43681488931179047
31,germans,iranians,627,1807,-0.8392481207847595,-0.04090535640716553,0.798342764377594
32,germans,iranians,1725,1613,-0.6611725687980652,-0.7857527136802673,-0.12458014488220215
33,germans,iranians,1488,47,-0.7399667501449585,-0.4167059063911438,0.3232608437538147
34,germans,iranians,1355,372,-0.0635085329413414,-0.6499338746070862,-0.5864253416657448
35,germans,iranians,619,108,-0.3175469934940338,-0.7629898190498352,-0.4454428255558014
36,germans,iranians,1226,1076,-0.5658121705055237,-0.840911328792572,-0.27509915828704834
37,germans,iranians,376,1555,-0.8271077275276184,-0.00979993399232626,0.8173077935352921
38,germans,iranians,1080,1875,-0.6956062912940979,-0.21827144920825958,0.4773348420858383
39,germans,iranians,596,1107,-0.8682333827018738,-0.296897292137146,0.5713360905647278
40,germans,iranians,1841,1554,-0.5589920878410339,-0.8105217218399048,-0.25152963399887085
41,germans,iranians,571,147,-0.2505028247833252,-0.5950109958648682,-0.34450817108154297
42,germans,iranians,1117,704,-0.35521525144577026,-0.6795053482055664,-0.32429009675979614
43,germans,iranians,1845,33,-0.11657655239105225,-0.6365684866905212,-0.519991934299469
44,germans,iranians,108,323,-0.6859023571014404,-0.030182672664523125,0.6557196844369173
45,germans,iranians,183,1308,-0.9856972098350525,-0.0670800730586052,0.9186171367764473
46,germans,iranians,1974,1137,-0.4416854977607727,-0.8720988631248474,-0.4304133653640747
47,germans,iranians,409,1907,-0.6977004408836365,-0.00031838417635299265,0.6973820567072835
48,germans,iranians,1879,1857,-0.6590577960014343,-0.6170321106910706,0.04202568531036377
49,germans,iranians,1241,1076,-0.3948245942592621,-0.8191065788269043,-0.4242819845676422
