,group1,group2,num_group1,num_group2,preference_group1,preference_group2,preference_diff
0,germans,mexicans,1595,1716,-0.2333608716726303,-0.4463975429534912,-0.2130366712808609
1,germans,mexicans,21,295,-0.5491944551467896,-0.5902445316314697,-0.041050076484680176
2,germans,mexicans,722,1526,-0.29062750935554504,-0.37577247619628906,-0.08514496684074402
3,germans,mexicans,1250,61,-0.5897531509399414,-0.7237032651901245,-0.1339501142501831
4,germans,mexicans,1480,73,-0.5388493537902832,-0.7065566182136536,-0.16770726442337036
5,germans,mexicans,321,1759,-0.37431570887565613,-0.3871077001094818,-0.012791991233825684
6,germans,mexicans,1954,1987,-0.055693674832582474,-0.18857239186763763,-0.13287871703505516
7,germans,mexicans,643,334,-0.22801928222179413,-0.575761079788208,-0.3477417975664139
8,germans,mexicans,198,1498,-0.3478439748287201,-0.5061020851135254,-0.1582581102848053
9,germans,mexicans,184,1985,-0.5802962183952332,-0.5461426973342896,0.034153521060943604
10,germans,mexicans,933,1104,-0.278648316860199,-0.41777777671813965,-0.13912945985794067
11,germans,mexicans,137,1731,-0.35178330540657043,-0.30290690064430237,0.048876404762268066
12,germans,mexicans,1786,1657,-0.09400184452533722,-0.5041826367378235,-0.41018079221248627
13,germans,mexicans,1424,1327,0.06281464546918869,-0.5831654071807861,-0.6459800526499748
14,germans,mexicans,82,1884,-0.609844446182251,-0.5074482560157776,0.10239619016647339
15,germans,mexicans,12,1062,-0.5174070596694946,-0.6301529407501221,-0.11274588108062744
16,germans,mexicans,1886,938,-0.22633790969848633,-0.5312978029251099,-0.30495989322662354
17,germans,mexicans,105,347,-0.45341411232948303,-0.6832717657089233,-0.2298576533794403
18,germans,mexicans,1323,990,-0.320183128118515,-0.46259647607803345,-0.14241334795951843
19,germans,mexicans,1319,1561,-0.3840714395046234,-0.383556604385376,0.0005148351192474365
20,germans,mexicans,1949,1744,-0.15525119006633759,-0.4685925543308258,-0.3133413642644882
21,germans,mexicans,1499,1969,-0.17069251835346222,-0.32187995314598083,-0.15118743479251862
22,germans,mexicans,1889,1366,-0.17817798256874084,-0.5106279253959656,-0.33244994282722473
23,germans,mexicans,446,1024,-0.4652268886566162,-0.44304710626602173,0.022179782390594482
24,germans,mexicans,1371,1253,-0.08839178085327148,-0.7168727517127991,-0.6284809708595276
25,germans,mexicans,432,113,-0.42888107895851135,-0.717384934425354,-0.28850385546684265
26,germans,mexicans,270,1676,-0.580833375453949,-0.5325271487236023,0.04830622673034668
27,germans,mexicans,696,863,-0.3048546612262726,-0.534277617931366,-0.22942295670509338
28,germans,mexicans,321,1927,-0.3485834300518036,-0.25893014669418335,0.08965328335762024
29,germans,mexicans,1032,585,-0.4297473132610321,-0.6797475218772888,-0.2500002086162567
30,germans,mexicans,1063,1572,-0.3968670666217804,-0.4777303636074066,-0.08086329698562622
31,germans,mexicans,1191,822,-0.1771494597196579,-0.5729043483734131,-0.3957548886537552
32,germans,mexicans,1478,140,-0.5489857196807861,-0.8624469637870789,-0.3134612441062927
33,germans,mexicans,64,1,-0.7114090919494629,-1.696567177772522,-0.9851580858230591
34,germans,mexicans,1939,594,-0.2834111750125885,-0.5821440815925598,-0.2987329065799713
35,germans,mexicans,1259,1764,-0.2661219835281372,-0.43137308955192566,-0.16525110602378845
36,germans,mexicans,1856,28,-0.48400622606277466,-0.6988400220870972,-0.2148337960243225
37,germans,mexicans,39,717,-0.3850109577178955,-0.6482173800468445,-0.263206422328949
38,germans,mexicans,576,222,-0.42146989703178406,-0.705875813961029,-0.284405916929245
39,germans,mexicans,802,1854,-0.4433618187904358,-0.32846641540527344,0.11489540338516235
40,germans,mexicans,341,851,-0.24083364009857178,-0.5720650553703308,-0.33123141527175903
41,germans,mexicans,1839,1499,-0.1896524727344513,-0.48556503653526306,-0.29591256380081177
42,germans,mexicans,1880,1673,-0.16603627800941467,-0.37339475750923157,-0.2073584794998169
43,germans,mexicans,650,1464,-0.46358558535575867,-0.5241357684135437,-0.060550183057785034
44,germans,mexicans,1806,592,-0.32964012026786804,-0.647781252861023,-0.3181411325931549
45,germans,mexicans,1695,139,-0.3289710581302643,-0.8481435179710388,-0.5191724598407745
46,germans,mexicans,1350,1619,-0.2880081534385681,-0.5026705265045166,-0.2146623730659485
47,germans,mexicans,1808,1778,-0.09885511547327042,-0.44984427094459534,-0.3509891554713249
48,germans,mexicans,178,560,-0.34716734290122986,-0.7009592652320862,-0.3537919223308563
49,germans,mexicans,1533,869,-0.30876287817955017,-0.6714173555374146,-0.3626544773578644
