,group1,group2,num_group1,num_group2,preference_group1,preference_group2,preference_diff
0,indians,iranians,1434,1279,-1.7373199462890625,-1.376112937927246,0.3612070083618164
1,indians,iranians,1260,319,-1.964591383934021,-1.4746626615524292,0.4899287223815918
2,indians,iranians,569,343,-1.6342190504074097,-1.2082213163375854,0.4259977340698242
3,indians,iranians,594,1942,-2.2861573696136475,-0.974156379699707,1.3120009899139404
4,indians,iranians,623,722,-1.8774811029434204,-0.9327329993247986,0.9447481036186218
5,indians,iranians,1461,585,-1.5919243097305298,-1.321571707725525,0.2703526020050049
6,indians,iranians,25,1052,-2.312990665435791,-1.086524248123169,1.226466417312622
7,indians,iranians,1833,376,-2.1867356300354004,-1.3639018535614014,0.822833776473999
8,indians,iranians,1181,424,-1.8429466485977173,-1.5514912605285645,0.29145538806915283
9,indians,iranians,248,1617,-2.371825933456421,-1.1144384145736694,1.2573875188827515
10,indians,iranians,363,550,-1.8706930875778198,-1.188963770866394,0.6817293167114258
11,indians,iranians,1669,1139,-1.7259390354156494,-1.53023362159729,0.19570541381835938
12,indians,iranians,428,697,-1.9012460708618164,-0.9838158488273621,0.9174302220344543
13,indians,iranians,1786,120,-2.1322991847991943,-1.5219364166259766,0.6103627681732178
14,indians,iranians,1202,1952,-1.8856819868087769,-1.1104180812835693,0.7752639055252075
15,indians,iranians,598,1051,-2.215717077255249,-1.3250658512115479,0.8906512260437012
16,indians,iranians,1027,815,-1.5742199420928955,-1.4703372716903687,0.10388267040252686
17,indians,iranians,659,1035,-2.0865581035614014,-1.1278660297393799,0.9586920738220215
18,indians,iranians,1271,548,-1.764403223991394,-1.5364065170288086,0.22799670696258545
19,indians,iranians,936,239,-1.9092925786972046,-1.7163151502609253,0.1929774284362793
20,indians,iranians,538,1453,-2.0199496746063232,-0.6199634671211243,1.399986207485199
21,indians,iranians,1869,491,-2.275717258453369,-1.7450640201568604,0.5306532382965088
22,indians,iranians,1286,1251,-1.499097466468811,-1.366971731185913,0.13212573528289795
23,indians,iranians,1010,1310,-2.090867280960083,-1.0827981233596802,1.0080691576004028
24,indians,iranians,734,1924,-2.0829832553863525,-0.8645586371421814,1.2184246182441711
25,indians,iranians,323,825,-1.8714832067489624,-1.0086055994033813,0.862877607345581
26,indians,iranians,1694,89,-1.7198991775512695,-1.198535442352295,0.5213637351989746
27,indians,iranians,1796,832,-1.9842979907989502,-1.4897072315216064,0.49459075927734375
28,indians,iranians,1443,919,-1.9352588653564453,-1.3749048709869385,0.5603539943695068
29,indians,iranians,1379,233,-1.8821197748184204,-1.5459730625152588,0.3361467123031616
30,indians,iranians,1189,801,-1.8872679471969604,-1.400812029838562,0.48645591735839844
31,indians,iranians,1195,1766,-1.9919227361679077,-1.1202037334442139,0.8717190027236938
32,indians,iranians,1807,129,-2.0229332447052,-1.5114623308181763,0.5114709138870239
33,indians,iranians,1540,26,-1.9939968585968018,-1.4387362003326416,0.5552606582641602
34,indians,iranians,776,1403,-1.9958842992782593,-0.9776335954666138,1.0182507038116455
35,indians,iranians,646,1697,-2.098762035369873,-1.0725353956222534,1.0262266397476196
36,indians,iranians,1883,1950,-2.07122540473938,-1.1071256399154663,0.9640997648239136
37,indians,iranians,618,70,-1.8593930006027222,-1.4280004501342773,0.4313925504684448
38,indians,iranians,1396,1306,-1.4560797214508057,-1.3138785362243652,0.14220118522644043
39,indians,iranians,776,1400,-1.9030869007110596,-1.0095255374908447,0.8935613632202148
40,indians,iranians,1026,764,-1.7553859949111938,-1.5916889905929565,0.1636970043182373
41,indians,iranians,725,1454,-1.9906288385391235,-1.0712928771972656,0.9193359613418579
42,indians,iranians,304,1962,-2.483384847640991,-1.4164193868637085,1.0669654607772827
43,indians,iranians,1412,1777,-2.107098340988159,-0.9374898076057434,1.1696085333824158
44,indians,iranians,538,1614,-2.0299692153930664,-0.9117528796195984,1.118216335773468
45,indians,iranians,601,121,-1.4083735942840576,-1.2818201780319214,0.12655341625213623
46,indians,iranians,1176,788,-1.7988899946212769,-1.4198200702667236,0.3790699243545532
47,indians,iranians,1328,1407,-1.8920316696166992,-1.030717134475708,0.8613145351409912
48,indians,iranians,1388,290,-1.8386129140853882,-1.5053471326828003,0.3332657814025879
49,indians,iranians,14,1871,-1.979861855506897,-1.1304550170898438,0.8494068384170532
