,group1,group2,num_group1,num_group2,preference_group1,preference_group2,preference_diff
0,indians,japanese,999,215,-0.48423537611961365,-0.7264387011528015,-0.24220332503318787
1,indians,japanese,1667,1189,-0.5536550879478455,-0.6981961131095886,-0.14454102516174316
2,indians,japanese,965,571,-0.35335031151771545,-0.652374267578125,-0.29902395606040955
3,indians,japanese,501,1626,-0.5988970398902893,-0.6585526466369629,-0.059655606746673584
4,indians,japanese,1253,263,-0.44071483612060547,-0.7375935912132263,-0.29687875509262085
5,indians,japanese,569,1221,-0.43284866213798523,-0.6642643809318542,-0.23141571879386902
6,indians,japanese,451,1719,-0.4221610724925995,-0.5768031477928162,-0.15464207530021667
7,indians,japanese,1203,756,-0.3394279479980469,-0.618659496307373,-0.27923154830932617
8,indians,japanese,46,47,-0.5281097292900085,-0.751805305480957,-0.2236955761909485
9,indians,japanese,421,1521,-0.36254578828811646,-0.6716505289077759,-0.3091047406196594
10,indians,japanese,497,1023,-0.5150761604309082,-0.6191839575767517,-0.1041077971458435
11,indians,japanese,87,1890,-0.49398332834243774,-0.7139399647712708,-0.219956636428833
12,indians,japanese,1340,1339,0.11448502540588379,-0.3912483751773834,-0.5057334005832672
13,indians,japanese,992,1688,-0.5622791647911072,-0.7004032135009766,-0.13812404870986938
14,indians,japanese,78,1986,-0.5355545878410339,-0.6407402753829956,-0.10518568754196167
15,indians,japanese,1213,127,-0.5657368898391724,-1.0082319974899292,-0.44249510765075684
16,indians,japanese,1658,193,-0.5363239049911499,-0.901088535785675,-0.36476463079452515
17,indians,japanese,1205,379,-0.36844077706336975,-0.7077345252037048,-0.3392937481403351
18,indians,japanese,577,1669,-0.39673030376434326,-0.5536565184593201,-0.1569262146949768
19,indians,japanese,747,1693,-0.6108976602554321,-0.6855878829956055,-0.07469022274017334
20,indians,japanese,1490,1306,-0.4699467718601227,-0.7277438044548035,-0.2577970325946808
21,indians,japanese,858,218,-0.4482950270175934,-0.8467671275138855,-0.3984721004962921
22,indians,japanese,1617,1122,-0.5692071318626404,-0.830843448638916,-0.26163631677627563
23,indians,japanese,876,1930,-0.34227070212364197,-0.568515956401825,-0.22624525427818298
24,indians,japanese,1337,1425,-0.43827715516090393,-0.5704434514045715,-0.1321662962436676
25,indians,japanese,944,771,-0.26886728405952454,-0.6055743098258972,-0.3367070257663727
26,indians,japanese,1178,316,-0.5398027896881104,-0.7749247550964355,-0.2351219654083252
27,indians,japanese,1396,1832,-0.6771765351295471,-0.6950328350067139,-0.017856299877166748
28,indians,japanese,467,517,-0.32453104853630066,-0.55586838722229,-0.23133733868598938
29,indians,japanese,358,1740,-0.4987025260925293,-0.6279033422470093,-0.12920081615447998
30,indians,japanese,1939,1639,-0.10521173477172852,-0.4537316858768463,-0.3485199511051178
31,indians,japanese,1558,1095,-0.4729948937892914,-0.8263778686523438,-0.35338297486305237
32,indians,japanese,133,1804,-0.5780342221260071,-0.6475755572319031,-0.069541335105896
33,indians,japanese,914,1192,-0.5410463213920593,-0.7233477830886841,-0.18230146169662476
34,indians,japanese,481,1067,-0.4793323576450348,-0.6094126105308533,-0.13008025288581848
35,indians,japanese,1980,1634,-0.32215172052383423,-0.624154269695282,-0.30200254917144775
36,indians,japanese,163,390,-0.5332194566726685,-0.8194952011108398,-0.2862757444381714
37,indians,japanese,1992,358,-0.28560757637023926,-0.736461877822876,-0.4508543014526367
38,indians,japanese,1946,1348,-0.25123047828674316,-0.8620502352714539,-0.6108197569847107
39,indians,japanese,1044,1059,-0.2183593362569809,-0.5933520793914795,-0.3749927431344986
40,indians,japanese,893,681,-0.23484937846660614,-0.7029587626457214,-0.4681093841791153
41,indians,japanese,1903,328,-0.12945066392421722,-0.6111051440238953,-0.48165448009967804
42,indians,japanese,907,1982,-0.20797812938690186,-0.4379899203777313,-0.23001179099082947
43,indians,japanese,1677,1157,-0.3135417699813843,-0.7120527625083923,-0.39851099252700806
44,indians,japanese,264,1049,-0.47366711497306824,-0.6268608570098877,-0.15319374203681946
45,indians,japanese,1201,1768,-0.4702617824077606,-0.5985140204429626,-0.12825223803520203
46,indians,japanese,1213,62,-0.47724318504333496,-0.9785429835319519,-0.5012997984886169
47,indians,japanese,1264,1545,-0.5935834646224976,-0.6814855933189392,-0.08790212869644165
48,indians,japanese,834,491,-0.295989453792572,-0.6478681564331055,-0.35187870264053345
49,indians,japanese,630,1166,-0.5191377997398376,-0.7892245650291443,-0.27008676528930664
