,group1,group2,num_group1,num_group2,preference_group1,preference_group2,preference_diff
0,israelis,filipinos,1123,970,-0.28880229592323303,-0.6910874843597412,-0.4022851884365082
1,israelis,filipinos,84,15,-0.4147546887397766,-0.7805408835411072,-0.36578619480133057
2,israelis,filipinos,1884,356,-0.20172202587127686,-0.6506888270378113,-0.4489668011665344
3,israelis,filipinos,389,232,-0.28443023562431335,-0.7111823558807373,-0.42675212025642395
4,israelis,filipinos,642,1357,-0.6358485221862793,-0.069732666015625,0.5661158561706543
5,israelis,filipinos,399,1237,-0.5815394520759583,-0.1165994182229042,0.46494003385305405
6,israelis,filipinos,1303,758,-0.41756224632263184,-1.0154155492782593,-0.5978533029556274
7,israelis,filipinos,1363,1399,-1.0327893495559692,-0.48682957887649536,0.5459597706794739
8,israelis,filipinos,1438,1505,-0.8636144995689392,-0.18177556991577148,0.6818389296531677
9,israelis,filipinos,1010,685,-0.39677461981773376,-0.6793807148933411,-0.2826060950756073
10,israelis,filipinos,1444,248,-0.2994050681591034,-0.7691866755485535,-0.4697816073894501
11,israelis,filipinos,118,1238,-0.7317261099815369,-0.17973558604717255,0.5519905239343643
12,israelis,filipinos,499,1546,-0.7786106467247009,-0.30685219168663025,0.4717584550380707
13,israelis,filipinos,666,337,-0.19627805054187775,-0.3410417139530182,-0.14476366341114044
14,israelis,filipinos,1714,1099,-0.37785983085632324,-1.0757704973220825,-0.6979106664657593
15,israelis,filipinos,587,956,-0.674365222454071,-0.3252403736114502,0.34912484884262085
16,israelis,filipinos,590,1977,-1.049268364906311,-0.5160831809043884,0.5331851840019226
17,israelis,filipinos,747,1427,-0.6220824718475342,-0.2145271599292755,0.40755531191825867
18,israelis,filipinos,181,1197,-1.0883901119232178,-0.48663878440856934,0.6017513275146484
19,israelis,filipinos,1527,71,-0.3693852424621582,-0.9756969809532166,-0.6063117384910583
20,israelis,filipinos,268,603,-1.0771865844726562,-0.5520825386047363,0.5251040458679199
21,israelis,filipinos,1880,1143,-0.39938804507255554,-1.0404202938079834,-0.6410322487354279
22,israelis,filipinos,787,1794,-0.9161322712898254,-0.46891823410987854,0.4472140371799469
23,israelis,filipinos,1961,14,-0.230065256357193,-0.7136997580528259,-0.48363450169563293
24,israelis,filipinos,897,554,-0.3444232642650604,-0.7391806840896606,-0.3947574198246002
25,israelis,filipinos,1722,403,-0.29127705097198486,-0.8641581535339355,-0.5728811025619507
26,israelis,filipinos,651,877,-0.7393140196800232,-0.5179845690727234,0.2213294506072998
27,israelis,filipinos,268,1618,-1.0621885061264038,-0.5340201258659363,0.5281683802604675
28,israelis,filipinos,991,262,-0.3812901973724365,-0.8093883395195007,-0.4280981421470642
29,israelis,filipinos,1358,236,-0.22862613201141357,-0.9467868208885193,-0.7181606888771057
30,israelis,filipinos,1061,1333,-0.8889856338500977,-0.2334202080965042,0.6555654257535934
31,israelis,filipinos,822,1223,-0.6654669046401978,-0.5990213751792908,0.06644552946090698
32,israelis,filipinos,1866,1611,-0.4362652897834778,-0.9153615832328796,-0.47909629344940186
33,israelis,filipinos,989,123,-0.1938454955816269,-0.9308772087097168,-0.7370317131280899
34,israelis,filipinos,1544,1600,-1.0182183980941772,-0.3572441041469574,0.6609742939472198
35,israelis,filipinos,1221,761,-0.40375223755836487,-0.9005066156387329,-0.49675437808036804
36,israelis,filipinos,489,1411,-0.8016703724861145,-0.45760270953178406,0.34406766295433044
37,israelis,filipinos,274,1702,-0.9985916018486023,-0.40736475586891174,0.5912268459796906
38,israelis,filipinos,650,1927,-0.8178051114082336,-0.27745968103408813,0.5403454303741455
39,israelis,filipinos,1922,1783,-0.56547611951828,-0.743984580039978,-0.178508460521698
40,israelis,filipinos,315,329,-0.8026357889175415,-0.5533408522605896,0.2492949366569519
41,israelis,filipinos,1459,1394,-0.27464208006858826,-0.9281207323074341,-0.6534786522388458
42,israelis,filipinos,403,156,-0.3084281384944916,-0.7581459283828735,-0.44971778988838196
43,israelis,filipinos,18,1304,-0.9670976996421814,-0.22110724449157715,0.7459904551506042
44,israelis,filipinos,202,434,-0.8717910051345825,-0.47018709778785706,0.40160390734672546
45,israelis,filipinos,233,1475,-0.8901450037956238,-0.1241445541381836,0.7660004496574402
46,israelis,filipinos,774,1392,-0.6591889262199402,-0.38421037793159485,0.27497854828834534
47,israelis,filipinos,1327,471,-0.36183223128318787,-0.7674533128738403,-0.40562108159065247
48,israelis,filipinos,1775,1779,-1.0096218585968018,-0.4848910868167877,0.524730771780014
49,israelis,filipinos,979,1701,-0.7223522663116455,-0.6444144248962402,0.07793784141540527
