,group1,group2,num_group1,num_group2,preference_group1,preference_group2,preference_diff
0,israelis,indonesians,792,467,-1.9818252325057983,-1.7366466522216797,0.24517858028411865
1,israelis,indonesians,863,1929,-3.0846259593963623,-1.232787013053894,1.8518389463424683
2,israelis,indonesians,1948,845,-2.6713600158691406,-1.4295876026153564,1.2417724132537842
3,israelis,indonesians,496,861,-2.6942903995513916,-1.1101754903793335,1.584114909172058
4,israelis,indonesians,165,557,-2.856968641281128,-1.236438512802124,1.620530128479004
5,israelis,indonesians,1284,1735,-2.513685941696167,-1.0571720600128174,1.4565138816833496
6,israelis,indonesians,567,1104,-2.722733736038208,-1.3783029317855835,1.3444308042526245
7,israelis,indonesians,1589,446,-2.343832492828369,-1.8163903951644897,0.5274420976638794
8,israelis,indonesians,1707,1056,-1.8307170867919922,-1.764596939086914,0.06612014770507812
9,israelis,indonesians,10,182,-2.9215877056121826,-1.186947226524353,1.7346404790878296
10,israelis,indonesians,661,679,-2.5761241912841797,-1.0210562944412231,1.5550678968429565
11,israelis,indonesians,181,832,-2.752124786376953,-0.9381625056266785,1.8139622807502747
12,israelis,indonesians,1718,1090,-2.0859375,-1.6230238676071167,0.4629136323928833
13,israelis,indonesians,329,1405,-2.9411542415618896,-1.1217215061187744,1.8194327354431152
14,israelis,indonesians,254,175,-2.2290749549865723,-1.8821601867675781,0.34691476821899414
15,israelis,indonesians,257,1705,-2.996521234512329,-1.0100326538085938,1.9864885807037354
16,israelis,indonesians,1115,635,-2.209043264389038,-1.6070724725723267,0.6019707918167114
17,israelis,indonesians,260,1457,-3.2807724475860596,-0.9700738787651062,2.3106985688209534
18,israelis,indonesians,211,695,-2.838348150253296,-1.0083421468734741,1.8300060033798218
19,israelis,indonesians,1204,37,-2.0520436763763428,-1.371458649635315,0.6805850267410278
20,israelis,indonesians,1590,848,-2.404642105102539,-1.4851270914077759,0.9195150136947632
21,israelis,indonesians,1711,620,-2.1689059734344482,-1.4275864362716675,0.7413195371627808
22,israelis,indonesians,1292,895,-1.6151460409164429,-1.6886717081069946,-0.07352566719055176
23,israelis,indonesians,758,1970,-2.793675184249878,-1.2646793127059937,1.5289958715438843
24,israelis,indonesians,646,1294,-2.4026286602020264,-0.9256880879402161,1.4769405722618103
25,israelis,indonesians,1260,1768,-2.6411774158477783,-1.2257975339889526,1.4153798818588257
26,israelis,indonesians,1621,726,-2.525486707687378,-1.6130794286727905,0.9124072790145874
27,israelis,indonesians,1141,576,-2.3099305629730225,-1.5535274744033813,0.7564030885696411
28,israelis,indonesians,448,1337,-3.056840419769287,-1.0969107151031494,1.9599297046661377
29,israelis,indonesians,1341,1140,-1.8425899744033813,-1.6754379272460938,0.1671520471572876
30,israelis,indonesians,89,692,-2.7028961181640625,-0.8425342440605164,1.8603618741035461
31,israelis,indonesians,966,1226,-2.894200086593628,-1.2881866693496704,1.6060134172439575
32,israelis,indonesians,1223,1556,-2.4027884006500244,-1.0990692377090454,1.303719162940979
33,israelis,indonesians,380,1242,-3.1277029514312744,-1.2547115087509155,1.8729914426803589
34,israelis,indonesians,812,739,-2.1565396785736084,-1.6410293579101562,0.5155103206634521
35,israelis,indonesians,1203,1802,-2.5469460487365723,-1.0795072317123413,1.467438817024231
36,israelis,indonesians,494,1412,-3.0755088329315186,-0.9160698056221008,2.1594390273094177
37,israelis,indonesians,366,1913,-3.243439197540283,-1.0916142463684082,2.151824951171875
38,israelis,indonesians,1704,1710,-1.9047021865844727,-0.8402780890464783,1.0644240975379944
39,israelis,indonesians,52,143,-2.56962513923645,-1.1267527341842651,1.442872405052185
40,israelis,indonesians,267,1563,-2.921823740005493,-1.0773509740829468,1.8444727659225464
41,israelis,indonesians,1791,885,-2.2533905506134033,-1.6215887069702148,0.6318018436431885
42,israelis,indonesians,968,1402,-2.590564727783203,-1.1360071897506714,1.4545575380325317
43,israelis,indonesians,1685,1886,-2.5913548469543457,-1.123813271522522,1.4675415754318237
44,israelis,indonesians,490,548,-2.9296772480010986,-1.248205542564392,1.6814717054367065
45,israelis,indonesians,191,1817,-3.451723098754883,-1.3209749460220337,2.130748152732849
46,israelis,indonesians,1932,1625,-2.0207135677337646,-1.6576223373413086,0.36309123039245605
47,israelis,indonesians,1245,1353,-2.6022980213165283,-1.0066243410110474,1.595673680305481
48,israelis,indonesians,1161,1856,-2.3563129901885986,-1.207502841949463,1.1488101482391357
49,israelis,indonesians,1005,925,-1.9750328063964844,-1.6336086988449097,0.3414241075515747
