,group1,group2,num_group1,num_group2,preference_group1,preference_group2,preference_diff
0,israelis,palestinians,1397,1268,-0.40267816185951233,-0.5653745532035828,-0.16269639134407043
1,israelis,palestinians,282,1910,-0.7443798780441284,-0.2659119665622711,0.4784679114818573
2,israelis,palestinians,1115,1276,-0.7867565751075745,-0.1435622274875641,0.6431943476200104
3,israelis,palestinians,1510,1531,-0.882158100605011,-0.10772931575775146,0.7744287848472595
4,israelis,palestinians,1102,1886,-0.8919299244880676,-0.39070743322372437,0.5012224912643433
5,israelis,palestinians,1565,1091,-0.6267220377922058,-0.6540215611457825,-0.02729952335357666
6,israelis,palestinians,854,1906,-0.5857163667678833,-0.26817625761032104,0.31754010915756226
7,israelis,palestinians,1597,741,-0.4227791428565979,-0.48666810989379883,-0.06388896703720093
8,israelis,palestinians,683,1214,-0.6387757062911987,-0.21929095685482025,0.4194847494363785
9,israelis,palestinians,1287,1339,-0.746534526348114,-0.13965220749378204,0.606882318854332
10,israelis,palestinians,269,1517,-0.7775928378105164,-0.14776960015296936,0.629823237657547
11,israelis,palestinians,1853,1908,-0.8357476592063904,-0.3647209405899048,0.4710267186164856
12,israelis,palestinians,517,1019,-0.6375827193260193,-0.1774335354566574,0.4601491838693619
13,israelis,palestinians,511,1290,-0.7023388743400574,-0.19594040513038635,0.506398469209671
14,israelis,palestinians,983,8,-0.4780450463294983,-0.5772404670715332,-0.09919542074203491
15,israelis,palestinians,1979,1507,-0.5647290349006653,-0.5854455232620239,-0.020716488361358643
16,israelis,palestinians,634,583,-0.5116707682609558,-0.46477529406547546,0.04689547419548035
17,israelis,palestinians,1813,245,-0.2658712863922119,-0.7352472543716431,-0.46937596797943115
18,israelis,palestinians,1312,1013,-0.09516634792089462,-0.5752598643302917,-0.4800935164093971
19,israelis,palestinians,161,1895,-0.8160251975059509,-0.39026862382888794,0.425756573677063
20,israelis,palestinians,1136,12,-0.37140771746635437,-0.45866289734840393,-0.08725517988204956
21,israelis,palestinians,776,798,-0.554409921169281,-0.4358738958835602,0.11853602528572083
22,israelis,palestinians,1233,1750,-0.6622061133384705,-0.24327924847602844,0.418926864862442
23,israelis,palestinians,1114,231,-0.3444470465183258,-0.600666344165802,-0.2562192976474762
24,israelis,palestinians,1321,339,-0.2827140688896179,-0.7188956141471863,-0.43618154525756836
25,israelis,palestinians,1027,715,-0.4214043617248535,-0.5676111578941345,-0.146206796169281
26,israelis,palestinians,1424,813,-0.3944515287876129,-0.5761798024177551,-0.1817282736301422
27,israelis,palestinians,1535,301,-0.2666364312171936,-0.6323912143707275,-0.36575478315353394
28,israelis,palestinians,872,1479,-0.5798338055610657,-0.1722114533185959,0.4076223522424698
29,israelis,palestinians,1398,146,-0.15991294384002686,-0.553562343120575,-0.3936493992805481
30,israelis,palestinians,1468,1736,-0.8196114897727966,-0.1928389072418213,0.6267725825309753
31,israelis,palestinians,1097,1999,-0.8319959044456482,-0.2777799069881439,0.5542159974575043
32,israelis,palestinians,1414,731,-0.32075226306915283,-0.518436849117279,-0.19768458604812622
33,israelis,palestinians,1775,1687,-0.6431888341903687,-0.6674327254295349,-0.02424389123916626
34,israelis,palestinians,1049,1612,-0.827250599861145,-0.27657201886177063,0.5506785809993744
35,israelis,palestinians,530,891,-0.6901441812515259,-0.42254638671875,0.2675977945327759
36,israelis,palestinians,1017,721,-0.36967024207115173,-0.5513577461242676,-0.18168750405311584
37,israelis,palestinians,1524,1666,-0.7497817873954773,-0.19211895763874054,0.5576628297567368
38,israelis,palestinians,1657,1348,-0.576112687587738,-0.5916638374328613,-0.015551149845123291
39,israelis,palestinians,434,697,-0.7091109156608582,-0.27984943985939026,0.4292614758014679
40,israelis,palestinians,1205,276,-0.26456254720687866,-0.6625723242759705,-0.3980097770690918
41,israelis,palestinians,1135,589,-0.42745161056518555,-0.5550180077552795,-0.127566397190094
42,israelis,palestinians,244,170,-0.7608351111412048,-0.646329402923584,0.11450570821762085
43,israelis,palestinians,1885,21,-0.4450685977935791,-0.5784992575645447,-0.13343065977096558
44,israelis,palestinians,1829,1709,-0.7300601601600647,-0.5300585627555847,0.20000159740447998
45,israelis,palestinians,291,657,-0.6830576062202454,-0.25373783707618713,0.4293197691440582
46,israelis,palestinians,1022,387,-0.3908950686454773,-0.6911559700965881,-0.30026090145111084
47,israelis,palestinians,1089,128,-0.3322278559207916,-0.6273749470710754,-0.2951470911502838
48,israelis,palestinians,1680,263,-0.2625255584716797,-0.6902149319648743,-0.4276893734931946
49,israelis,palestinians,1632,110,-0.2875652015209198,-0.696077287197113,-0.40851208567619324
