,group1,group2,num_group1,num_group2,preference_group1,preference_group2,preference_diff
0,japanese,iranians,259,601,-1.0581499338150024,-0.2144014686346054,0.843748465180397
1,japanese,iranians,1842,1503,-0.48303255438804626,-0.6583732962608337,-0.17534074187278748
2,japanese,iranians,582,1440,-0.8650150299072266,-0.1714331954717636,0.693581834435463
3,japanese,iranians,1335,1447,-0.8004249930381775,-0.14290018379688263,0.6575248092412949
4,japanese,iranians,1602,496,-0.39636799693107605,-0.4594193398952484,-0.06305134296417236
5,japanese,iranians,1456,802,-0.206015944480896,-0.3432718813419342,-0.1372559368610382
6,japanese,iranians,507,1159,-1.011838674545288,-0.3445912301540375,0.6672474443912506
7,japanese,iranians,1833,1676,-0.6095660328865051,-0.5670146942138672,0.04255133867263794
8,japanese,iranians,963,862,-0.5522236227989197,-0.55841463804245,-0.0061910152435302734
9,japanese,iranians,522,395,-0.7390984892845154,-0.6033574342727661,0.13574105501174927
10,japanese,iranians,1358,582,-0.4322182834148407,-0.4122011363506317,0.020017147064208984
11,japanese,iranians,860,772,-0.7426053881645203,-0.513064444065094,0.22954094409942627
12,japanese,iranians,132,943,-0.9507099986076355,-0.23107822239398956,0.7196317762136459
13,japanese,iranians,205,302,-0.9921094179153442,-0.37463393807411194,0.6174754798412323
14,japanese,iranians,436,623,-0.798292875289917,-0.4353620111942291,0.36293086409568787
15,japanese,iranians,1320,198,-0.4869670867919922,-0.409618616104126,0.07734847068786621
16,japanese,iranians,931,1646,-0.9780335426330566,-0.2151198387145996,0.762913703918457
17,japanese,iranians,145,1326,-0.9910386204719543,-0.11609029769897461,0.8749483227729797
18,japanese,iranians,859,903,-1.0177689790725708,-0.4625001847743988,0.555268794298172
19,japanese,iranians,1390,1151,-0.5904585123062134,-0.725555419921875,-0.13509690761566162
20,japanese,iranians,153,1856,-0.9686400294303894,-0.03174183517694473,0.9368981942534447
21,japanese,iranians,924,1825,-0.689838707447052,-0.14223837852478027,0.5476003289222717
22,japanese,iranians,159,319,-0.9504840970039368,-0.16914573311805725,0.7813383638858795
23,japanese,iranians,26,1931,-0.8366727828979492,-0.08566248416900635,0.7510102987289429
24,japanese,iranians,1368,144,-0.3960433602333069,-0.5440576672554016,-0.14801430702209473
25,japanese,iranians,1114,1381,-0.8945888876914978,-0.13134007155895233,0.7632488161325455
26,japanese,iranians,468,216,-0.5987579226493835,-0.5431219935417175,0.055635929107666016
27,japanese,iranians,372,484,-0.7619356513023376,-0.3219984471797943,0.43993720412254333
28,japanese,iranians,1007,1934,-0.8607787489891052,-0.15393231809139252,0.7068464308977127
29,japanese,iranians,1887,842,-0.6103935837745667,-0.3610032796859741,0.24939030408859253
30,japanese,iranians,1063,1659,-1.2032972574234009,-0.18194471299648285,1.021352544426918
31,japanese,iranians,813,698,-0.6574486494064331,-0.5178630352020264,0.13958561420440674
32,japanese,iranians,1385,1599,-0.860194981098175,-0.10460644215345383,0.7555885389447212
33,japanese,iranians,1442,1199,-0.5303014516830444,-0.7158803939819336,-0.18557894229888916
34,japanese,iranians,168,1253,-1.1245101690292358,-0.09744193404912949,1.0270682349801064
35,japanese,iranians,8,1439,-1.0230392217636108,-0.13417993485927582,0.888859286904335
36,japanese,iranians,67,1001,-0.6192883849143982,-0.014702177606523037,0.6045862073078752
37,japanese,iranians,54,1588,-1.0357893705368042,-0.25252005457878113,0.7832693159580231
38,japanese,iranians,782,7,-0.554542064666748,-0.5781533122062683,-0.023611247539520264
39,japanese,iranians,1555,1753,-0.8433146476745605,-0.16363871097564697,0.6796759366989136
40,japanese,iranians,506,682,-0.9035784602165222,-0.42537742853164673,0.4782010316848755
41,japanese,iranians,1234,1678,-0.5577959418296814,0.046205855906009674,0.6040017977356911
42,japanese,iranians,1900,1774,-0.6452455520629883,-0.6446823477745056,0.000563204288482666
43,japanese,iranians,1768,239,-0.41815096139907837,-0.6880409717559814,-0.2698900103569031
44,japanese,iranians,1663,1835,-1.062971830368042,-0.11533723026514053,0.9476346001029015
45,japanese,iranians,1240,929,-0.5251461863517761,-0.48349204659461975,0.04165413975715637
46,japanese,iranians,971,977,-1.0418177843093872,-0.4265007972717285,0.6153169870376587
47,japanese,iranians,508,696,-0.9745081067085266,-0.46493273973464966,0.509575366973877
48,japanese,iranians,1981,9,-0.6496285796165466,-0.37426239252090454,0.2753661870956421
49,japanese,iranians,1333,1282,-0.4483061730861664,-0.49228402972221375,-0.04397785663604736
