,group1,group2,num_group1,num_group2,preference_group1,preference_group2,preference_diff
0,nigerians,canadians,910,919,-2.5544183254241943,-1.2663683891296387,1.2880499362945557
1,nigerians,canadians,1168,1733,-2.835108995437622,-1.364444613456726,1.470664381980896
2,nigerians,canadians,914,544,-1.9873764514923096,-2.1184780597686768,-0.1311016082763672
3,nigerians,canadians,1517,598,-2.406050205230713,-2.2698962688446045,0.1361539363861084
4,nigerians,canadians,609,1901,-3.155583620071411,-1.3658275604248047,1.7897560596466064
5,nigerians,canadians,929,463,-1.9926512241363525,-2.2069530487060547,-0.21430182456970215
6,nigerians,canadians,1845,864,-2.6746315956115723,-2.317049026489258,0.35758256912231445
7,nigerians,canadians,1949,266,-2.6338746547698975,-1.9152824878692627,0.7185921669006348
8,nigerians,canadians,730,669,-2.2878494262695312,-2.046706438064575,0.24114298820495605
9,nigerians,canadians,1231,1242,-2.293710708618164,-1.0386749505996704,1.2550357580184937
10,nigerians,canadians,572,1956,-2.8274662494659424,-1.3853040933609009,1.4421621561050415
11,nigerians,canadians,662,398,-2.3530890941619873,-2.198690176010132,0.15439891815185547
12,nigerians,canadians,1435,1170,-2.026115894317627,-1.8663629293441772,0.1597529649734497
13,nigerians,canadians,602,1524,-3.3364598751068115,-1.491528868675232,1.8449310064315796
14,nigerians,canadians,597,522,-2.1196248531341553,-2.0266129970550537,0.09301185607910156
15,nigerians,canadians,623,1423,-3.167861223220825,-1.2837233543395996,1.8841378688812256
16,nigerians,canadians,937,1414,-2.6225457191467285,-1.0933319330215454,1.529213786125183
17,nigerians,canadians,1151,1648,-3.094538450241089,-1.2788318395614624,1.8157066106796265
18,nigerians,canadians,1306,1109,-1.937238335609436,-1.9926261901855469,-0.05538785457611084
19,nigerians,canadians,1010,1367,-2.6529462337493896,-1.3091013431549072,1.3438448905944824
20,nigerians,canadians,359,1675,-3.0572240352630615,-1.3712587356567383,1.6859652996063232
21,nigerians,canadians,1397,1948,-2.6204144954681396,-1.2619267702102661,1.3584877252578735
22,nigerians,canadians,1392,254,-2.0764853954315186,-2.0974066257476807,-0.02092123031616211
23,nigerians,canadians,134,852,-3.291809558868408,-1.7536579370498657,1.5381516218185425
24,nigerians,canadians,924,1323,-3.0265469551086426,-1.5928963422775269,1.4336506128311157
25,nigerians,canadians,390,169,-2.0078125,-2.282125949859619,-0.27431344985961914
26,nigerians,canadians,1257,1836,-2.967961311340332,-1.306167483329773,1.661793828010559
27,nigerians,canadians,599,716,-2.876037359237671,-1.294622778892517,1.5814145803451538
28,nigerians,canadians,840,1644,-3.2142493724823,-1.3886500597000122,1.8255993127822876
29,nigerians,canadians,1316,774,-2.525134801864624,-2.1814839839935303,0.34365081787109375
30,nigerians,canadians,384,98,-2.07531476020813,-1.981709361076355,0.0936053991317749
31,nigerians,canadians,148,1817,-3.5479214191436768,-1.5658655166625977,1.982055902481079
32,nigerians,canadians,656,1384,-2.9726076126098633,-1.446974515914917,1.5256330966949463
33,nigerians,canadians,1667,362,-2.401141881942749,-2.005863904953003,0.3952779769897461
34,nigerians,canadians,1704,806,-2.762213945388794,-2.2613158226013184,0.5008981227874756
35,nigerians,canadians,1126,1370,-2.8112447261810303,-1.27654230594635,1.5347024202346802
36,nigerians,canadians,1739,1542,-2.3356149196624756,-2.047513723373413,0.2881011962890625
37,nigerians,canadians,1832,419,-2.676462173461914,-2.369292974472046,0.30716919898986816
38,nigerians,canadians,1740,1436,-2.044787645339966,-1.9901611804962158,0.05462646484375
39,nigerians,canadians,114,88,-2.6312642097473145,-2.177445650100708,0.45381855964660645
40,nigerians,canadians,92,1553,-3.194075107574463,-1.4594095945358276,1.7346655130386353
41,nigerians,canadians,1185,916,-2.0843582153320312,-2.0625767707824707,0.021781444549560547
42,nigerians,canadians,198,1265,-3.661517858505249,-1.512499213218689,2.14901864528656
43,nigerians,canadians,90,191,-3.3836076259613037,-1.8330745697021484,1.5505330562591553
44,nigerians,canadians,628,620,-2.340090274810791,-2.00696063041687,0.3331296443939209
45,nigerians,canadians,747,1617,-3.0636630058288574,-1.3160839080810547,1.7475790977478027
46,nigerians,canadians,1385,605,-2.50046968460083,-2.442239761352539,0.058229923248291016
47,nigerians,canadians,1379,1947,-2.802853584289551,-1.317917823791504,1.4849357604980469
48,nigerians,canadians,1912,740,-2.6846728324890137,-1.9126170873641968,0.7720557451248169
49,nigerians,canadians,1720,133,-2.490009069442749,-2.1191046237945557,0.37090444564819336
