,group1,group2,num_group1,num_group2,preference_group1,preference_group2,preference_diff
0,nigerians,ukrainians,1911,1901,0.265519917011261,-0.3572237193584442,-0.6227436363697052
1,nigerians,ukrainians,1007,1548,-0.4012698829174042,-0.10478255897760391,0.29648732393980026
2,nigerians,ukrainians,1370,1077,0.28917866945266724,-0.8467614054679871,-1.1359400749206543
3,nigerians,ukrainians,1532,502,0.06934507191181183,-0.5985580086708069,-0.6679030805826187
4,nigerians,ukrainians,335,218,-0.18903708457946777,-0.546818196773529,-0.3577811121940613
5,nigerians,ukrainians,1941,1184,0.2269512265920639,-0.7070171236991882,-0.9339683502912521
6,nigerians,ukrainians,1602,112,0.14206457138061523,-0.6433935165405273,-0.7854580879211426
7,nigerians,ukrainians,1874,785,0.4605262875556946,-0.3923729360103607,-0.8528992235660553
8,nigerians,ukrainians,1565,1249,0.1536184400320053,-0.7086398601531982,-0.8622583001852036
9,nigerians,ukrainians,1313,1277,0.07957287132740021,-0.5752745866775513,-0.6548474580049515
10,nigerians,ukrainians,1426,244,0.19502310454845428,-0.5751826167106628,-0.7702057212591171
11,nigerians,ukrainians,1069,536,0.26773032546043396,-0.5931326746940613,-0.8608630001544952
12,nigerians,ukrainians,603,45,-0.2078515589237213,-0.7807039618492126,-0.5728524029254913
13,nigerians,ukrainians,1645,1720,-0.32827574014663696,-0.09910326451063156,0.2291724756360054
14,nigerians,ukrainians,1621,296,0.1546429693698883,-0.5702416300773621,-0.7248845994472504
15,nigerians,ukrainians,694,75,-0.11698436737060547,-0.5354398488998413,-0.41845548152923584
16,nigerians,ukrainians,970,695,0.009491825476288795,-0.6175909042358398,-0.6270827297121286
17,nigerians,ukrainians,1276,1284,-0.4472920000553131,-0.015966033563017845,0.43132596649229527
18,nigerians,ukrainians,1399,633,0.16340167820453644,-0.6876703500747681,-0.8510720282793045
19,nigerians,ukrainians,500,1181,-0.6565403938293457,-0.331010103225708,0.3255302906036377
20,nigerians,ukrainians,401,857,-0.3325846791267395,-0.6455268859863281,-0.3129422068595886
21,nigerians,ukrainians,6,726,-0.735365092754364,-0.3455992341041565,0.3897658586502075
22,nigerians,ukrainians,1528,1208,-0.04363446310162544,-0.7156969904899597,-0.6720625273883343
23,nigerians,ukrainians,801,638,-0.1731773167848587,-0.6699191331863403,-0.49674181640148163
24,nigerians,ukrainians,1907,1848,0.12845800817012787,-0.6162136197090149,-0.7446716278791428
25,nigerians,ukrainians,1824,1650,0.14475290477275848,-0.6232678294181824,-0.7680207341909409
26,nigerians,ukrainians,705,1660,-0.518614649772644,-0.17956998944282532,0.3390446603298187
27,nigerians,ukrainians,1792,1525,-0.0062687634490430355,-0.6358681917190552,-0.6295994282700121
28,nigerians,ukrainians,700,1613,-0.4057779014110565,-0.21270696818828583,0.1930709332227707
29,nigerians,ukrainians,386,1385,-0.5245980620384216,-0.05966596677899361,0.464932095259428
30,nigerians,ukrainians,1037,373,0.14678047597408295,-0.5981036424636841,-0.744884118437767
31,nigerians,ukrainians,178,858,-0.46613597869873047,-0.521625816822052,-0.05548983812332153
32,nigerians,ukrainians,1433,940,0.21589481830596924,-0.41425323486328125,-0.6301480531692505
33,nigerians,ukrainians,1066,756,0.07911517471075058,-0.3473150432109833,-0.42643021792173386
34,nigerians,ukrainians,1974,118,0.16722767055034637,-0.45552751421928406,-0.6227551847696304
35,nigerians,ukrainians,1875,612,0.3395732343196869,-0.49341240525245667,-0.8329856395721436
36,nigerians,ukrainians,1782,1140,-0.14285631477832794,-0.659730851650238,-0.5168745368719101
37,nigerians,ukrainians,1237,1618,-0.3066197335720062,0.03924844413995743,0.34586817771196365
38,nigerians,ukrainians,1844,1862,-0.3577355444431305,-0.2942337393760681,0.06350180506706238
39,nigerians,ukrainians,1783,1420,-0.17755508422851562,-0.5649873614311218,-0.3874322772026062
40,nigerians,ukrainians,1757,1599,0.10858374089002609,-0.7681995630264282,-0.8767833039164543
41,nigerians,ukrainians,94,264,-0.47427329421043396,-0.17752514779567719,0.2967481464147568
42,nigerians,ukrainians,1628,1001,0.1365285962820053,-0.5480430126190186,-0.6845716089010239
43,nigerians,ukrainians,237,652,-0.4932567775249481,-0.3387273848056793,0.1545293927192688
44,nigerians,ukrainians,1895,832,0.219735249876976,-0.472211092710495,-0.691946342587471
45,nigerians,ukrainians,1974,385,0.18208928406238556,-0.4205861985683441,-0.6026754826307297
46,nigerians,ukrainians,571,1802,-0.5098986625671387,-0.19283199310302734,0.31706666946411133
47,nigerians,ukrainians,410,545,-0.35170218348503113,-0.4825406074523926,-0.13083842396736145
48,nigerians,ukrainians,541,69,-0.16755877435207367,-0.5397443175315857,-0.372185543179512
49,nigerians,ukrainians,891,1217,-0.3872877061367035,-0.23616011440753937,0.15112759172916412
