,group1,group2,num_group1,num_group2,preference_group1,preference_group2,preference_diff
0,palestinians,russians,1237,206,-1.8348991870880127,-2.0623791217803955,-0.2274799346923828
1,palestinians,russians,1521,119,-1.9891828298568726,-1.90094792842865,0.08823490142822266
2,palestinians,russians,349,1379,-3.3623387813568115,-1.636560082435608,1.7257786989212036
3,palestinians,russians,412,710,-2.6909146308898926,-1.410780429840088,1.2801342010498047
4,palestinians,russians,838,1710,-2.812530755996704,-1.6410713195800781,1.171459436416626
5,palestinians,russians,1550,1057,-2.2172467708587646,-2.238004446029663,-0.020757675170898438
6,palestinians,russians,1033,734,-2.5443410873413086,-2.371469497680664,0.17287158966064453
7,palestinians,russians,1121,451,-2.068546772003174,-1.8988617658615112,0.1696850061416626
8,palestinians,russians,535,1544,-3.3433194160461426,-1.5876001119613647,1.7557193040847778
9,palestinians,russians,1138,1395,-2.823171377182007,-1.7055362462997437,1.1176351308822632
10,palestinians,russians,574,424,-2.1552774906158447,-2.2581779956817627,-0.10290050506591797
11,palestinians,russians,1104,224,-1.9746071100234985,-2.064915657043457,-0.0903085470199585
12,palestinians,russians,1879,1374,-1.9475269317626953,-1.6523491144180298,0.2951778173446655
13,palestinians,russians,935,668,-2.067721128463745,-2.2080960273742676,-0.14037489891052246
14,palestinians,russians,274,1044,-2.836214303970337,-1.7146271467208862,1.1215871572494507
15,palestinians,russians,1772,1774,-2.4042861461639404,-1.7215807437896729,0.6827054023742676
16,palestinians,russians,196,1183,-3.327922821044922,-1.6586439609527588,1.669278860092163
17,palestinians,russians,49,563,-3.1156089305877686,-1.335574984550476,1.7800339460372925
18,palestinians,russians,1171,1961,-2.6070899963378906,-1.6217883825302124,0.9853016138076782
19,palestinians,russians,657,1737,-2.881650924682617,-1.5626083612442017,1.3190425634384155
20,palestinians,russians,1634,865,-2.60813570022583,-2.2879395484924316,0.32019615173339844
21,palestinians,russians,1583,368,-2.5471413135528564,-1.8882335424423218,0.6589077711105347
22,palestinians,russians,654,997,-3.1014316082000732,-1.7059154510498047,1.3955161571502686
23,palestinians,russians,877,479,-2.075256109237671,-2.2118723392486572,-0.13661623001098633
24,palestinians,russians,1579,1464,-2.475393295288086,-1.9530212879180908,0.5223720073699951
25,palestinians,russians,671,416,-2.0226306915283203,-2.3220374584198,-0.2994067668914795
26,palestinians,russians,970,1436,-2.682809829711914,-1.6172336339950562,1.065576195716858
27,palestinians,russians,722,849,-2.5710864067077637,-1.5574085712432861,1.0136778354644775
28,palestinians,russians,28,555,-2.4861152172088623,-1.5425331592559814,0.9435820579528809
29,palestinians,russians,1892,683,-2.2122597694396973,-1.734972357749939,0.4772874116897583
30,palestinians,russians,569,1273,-3.115354537963867,-1.7725753784179688,1.3427791595458984
31,palestinians,russians,720,1155,-2.3950302600860596,-1.4874391555786133,0.9075911045074463
32,palestinians,russians,173,1885,-2.899061918258667,-1.3279732465744019,1.5710886716842651
33,palestinians,russians,34,773,-2.902806043624878,-1.5190844535827637,1.3837215900421143
34,palestinians,russians,615,120,-1.731998085975647,-1.7401952743530273,-0.008197188377380371
35,palestinians,russians,1931,1614,-2.1447486877441406,-1.9466001987457275,0.19814848899841309
36,palestinians,russians,589,1247,-3.1070873737335205,-1.49248468875885,1.6146026849746704
37,palestinians,russians,1300,1075,-1.9755467176437378,-2.1662533283233643,-0.19070661067962646
38,palestinians,russians,1340,1,-1.2914520502090454,-1.5508476495742798,-0.2593955993652344
39,palestinians,russians,1383,1305,-2.13677716255188,-2.180192708969116,-0.04341554641723633
40,palestinians,russians,1771,1022,-2.153014898300171,-1.9852323532104492,0.16778254508972168
41,palestinians,russians,1177,993,-2.19516921043396,-2.0112273693084717,0.18394184112548828
42,palestinians,russians,976,1113,-2.613659381866455,-1.6416298151016235,0.9720295667648315
43,palestinians,russians,1376,1108,-2.0561342239379883,-2.315765142440796,-0.2596309185028076
44,palestinians,russians,1081,1338,-2.9514999389648438,-1.6822489500045776,1.2692509889602661
45,palestinians,russians,1252,364,-2.182436943054199,-1.6943212747573853,0.48811566829681396
46,palestinians,russians,1118,198,-1.8625906705856323,-2.0164296627044678,-0.15383899211883545
47,palestinians,russians,1143,667,-2.321347236633301,-2.091001272201538,0.2303459644317627
48,palestinians,russians,626,1141,-2.607624053955078,-1.4712504148483276,1.1363736391067505
49,palestinians,russians,1978,244,-2.4506194591522217,-2.01582932472229,0.43479013442993164
