,group1,group2,num_group1,num_group2,preference_group1,preference_group2,preference_diff
0,russians,ukrainians,1048,126,-0.258012592792511,-0.38087528944015503,-0.12286269664764404
1,russians,ukrainians,1694,1098,-0.20518341660499573,-0.6354297399520874,-0.4302463233470917
2,russians,ukrainians,870,980,-0.2373242825269699,-0.07551942020654678,0.16180486232042313
3,russians,ukrainians,619,1555,-0.40225645899772644,-0.050496675074100494,0.35175978392362595
4,russians,ukrainians,1828,681,0.01570754125714302,-0.40076595544815063,-0.41647349670529366
5,russians,ukrainians,487,802,-0.4105990529060364,-0.279813677072525,0.13078537583351135
6,russians,ukrainians,700,9,-0.0789523646235466,-0.26988521218299866,-0.19093284755945206
7,russians,ukrainians,1734,984,-0.022400522604584694,-0.3953871428966522,-0.37298662029206753
8,russians,ukrainians,603,837,-0.2722954750061035,-0.40066763758659363,-0.1283721625804901
9,russians,ukrainians,1869,780,0.19288361072540283,-0.24804623425006866,-0.4409298449754715
10,russians,ukrainians,1027,1926,-0.39338502287864685,-0.3297417163848877,0.06364330649375916
11,russians,ukrainians,1042,1293,-0.36612603068351746,-0.1275978535413742,0.23852817714214325
12,russians,ukrainians,1616,427,-0.26738831400871277,-0.5391960144042969,-0.2718077003955841
13,russians,ukrainians,119,1412,-0.35829249024391174,0.0802248939871788,0.43851738423109055
14,russians,ukrainians,1348,1543,-0.36872225999832153,-0.14931264519691467,0.21940961480140686
15,russians,ukrainians,978,120,-0.38738200068473816,-0.6680830121040344,-0.28070101141929626
16,russians,ukrainians,168,1393,-0.5514357686042786,0.10326845943927765,0.6547042280435562
17,russians,ukrainians,779,1899,-0.2621819078922272,-0.16712963581085205,0.09505227208137512
18,russians,ukrainians,1819,1812,-0.22838549315929413,-0.4312354028224945,-0.20284990966320038
19,russians,ukrainians,1844,208,-0.1638554334640503,-0.3001222312450409,-0.1362667977809906
20,russians,ukrainians,48,1493,-0.37315961718559265,0.30893591046333313,0.6820955276489258
21,russians,ukrainians,1620,780,-0.035697340965270996,-0.3489063084125519,-0.3132089674472809
22,russians,ukrainians,1119,893,-0.3650495707988739,-0.5042781233787537,-0.13922855257987976
23,russians,ukrainians,1085,435,-0.30315935611724854,-0.5810368061065674,-0.27787744998931885
24,russians,ukrainians,475,1018,-0.3523930013179779,-0.08101558685302734,0.27137741446495056
25,russians,ukrainians,767,939,-0.3120114505290985,-0.5267773866653442,-0.21476593613624573
26,russians,ukrainians,1847,1807,-0.6372039318084717,-0.5540753602981567,0.08312857151031494
27,russians,ukrainians,991,1184,-0.3013797104358673,-0.26055723428726196,0.04082247614860535
28,russians,ukrainians,1786,1264,-0.2367093414068222,-0.6193313002586365,-0.38262195885181427
29,russians,ukrainians,1281,1809,-0.5245618224143982,-0.2917376160621643,0.2328242063522339
30,russians,ukrainians,1485,439,-0.11249895393848419,-0.5300237536430359,-0.4175247997045517
31,russians,ukrainians,453,1017,-0.26528382301330566,-0.03168492391705513,0.23359889909625053
32,russians,ukrainians,1436,475,-0.3112514615058899,-0.49518299102783203,-0.18393152952194214
33,russians,ukrainians,1790,453,-0.13502036035060883,-0.5333704352378845,-0.3983500748872757
34,russians,ukrainians,1623,403,-0.3040131628513336,-0.5097455978393555,-0.20573243498802185
35,russians,ukrainians,1253,520,-0.20064358413219452,-0.4578757882118225,-0.257232204079628
36,russians,ukrainians,1103,1687,-0.4923226535320282,-0.13937757909297943,0.35294507443904877
37,russians,ukrainians,1260,411,-0.2580113112926483,-0.5410670638084412,-0.28305575251579285
38,russians,ukrainians,1656,157,-0.10501080006361008,-0.4887335002422333,-0.3837227001786232
39,russians,ukrainians,806,420,-0.4525148570537567,-0.43433627486228943,0.018178582191467285
40,russians,ukrainians,1032,128,-0.21954850852489471,-0.4209030568599701,-0.20135454833507538
41,russians,ukrainians,1914,1825,-0.4160166382789612,-0.3109460771083832,0.105070561170578
42,russians,ukrainians,203,870,-0.3231545090675354,-0.3003830909729004,0.02277141809463501
43,russians,ukrainians,30,1788,-0.5461399555206299,-0.1741432249546051,0.3719967305660248
44,russians,ukrainians,1676,471,-0.14676420390605927,-0.49723368883132935,-0.3504694849252701
45,russians,ukrainians,922,477,-0.2624972462654114,-0.5019493103027344,-0.239452064037323
46,russians,ukrainians,107,375,-0.4960933327674866,-0.26375433802604675,0.23233899474143982
47,russians,ukrainians,710,1695,-0.39212414622306824,0.069371797144413,0.46149594336748123
48,russians,ukrainians,1072,627,-0.2721192538738251,-0.44905319809913635,-0.17693394422531128
49,russians,ukrainians,163,1355,-0.4998873174190521,0.09985804557800293,0.599745362997055
