,group1,group2,num_group1,num_group2,preference_group1,preference_group2,preference_diff
0,americans,french,1135,179,-0.3489648997783661,-1.0539859533309937,-0.7050210535526276
1,americans,french,1753,1409,-0.4033206105232239,-1.213626742362976,-0.8103061318397522
2,americans,french,129,1692,-0.7713730335235596,-0.5043057799339294,0.2670672535896301
3,americans,french,1093,1644,-0.7398303747177124,-0.2775624990463257,0.4622678756713867
4,americans,french,229,477,-0.6644319295883179,-0.5997472405433655,0.06468468904495239
5,americans,french,1193,1337,-0.4224490225315094,-0.27065935730934143,0.15178966522216797
6,americans,french,542,1457,-0.5880083441734314,-0.35547009110450745,0.23253825306892395
7,americans,french,1086,1673,-0.8891372084617615,-0.32972124218940735,0.5594159662723541
8,americans,french,1796,321,-0.12106838077306747,-0.8821195960044861,-0.7610512152314186
9,americans,french,1024,1885,-0.8058573007583618,-0.7778590321540833,0.027998268604278564
10,americans,french,1034,1804,-0.8043527603149414,-0.6996390223503113,0.10471373796463013
11,americans,french,598,778,-0.6174628138542175,-0.5942685008049011,0.023194313049316406
12,americans,french,350,564,-0.5852102637290955,-0.6699830889701843,-0.08477282524108887
13,americans,french,1018,1939,-0.5112268328666687,-0.9192997217178345,-0.40807288885116577
14,americans,french,1372,572,-0.15632107853889465,-0.9426195025444031,-0.7862984240055084
15,americans,french,1643,488,-0.2921731770038605,-0.9859668016433716,-0.6937936246395111
16,americans,french,1328,1435,-0.8237703442573547,-0.39812910556793213,0.4256412386894226
17,americans,french,18,185,-0.3975578844547272,-0.4896949827671051,-0.09213709831237793
18,americans,french,1306,1778,-0.8519098162651062,-0.5252932906150818,0.3266165256500244
19,americans,french,827,769,-0.3296552300453186,-0.9430825114250183,-0.6134272813796997
20,americans,french,1490,1103,-0.571273148059845,-1.1718635559082031,-0.6005904078483582
21,americans,french,416,1542,-0.6222816705703735,-0.5350385308265686,0.08724313974380493
22,americans,french,1103,85,-0.3260055184364319,-1.0687891244888306,-0.7427836060523987
23,americans,french,1574,1322,-0.4890788495540619,-1.0917521715164185,-0.6026733219623566
24,americans,french,66,1818,-0.7544018626213074,-0.9278735518455505,-0.17347168922424316
25,americans,french,1624,907,-0.40264996886253357,-0.942934513092041,-0.5402845442295074
26,americans,french,980,452,-0.4117088317871094,-0.8856297731399536,-0.47392094135284424
27,americans,french,1947,620,0.028812265023589134,-0.7927027940750122,-0.8215150590986013
28,americans,french,486,586,-0.5052823424339294,-0.6040403246879578,-0.09875798225402832
29,americans,french,1017,1431,-0.7546147704124451,-0.37947556376457214,0.3751392066478729
30,americans,french,1971,757,-0.5493184924125671,-0.8967680931091309,-0.3474496006965637
31,americans,french,178,232,-0.6828751564025879,-0.7340641617774963,-0.05118900537490845
32,americans,french,142,217,-0.5894395112991333,-0.558498203754425,0.030941307544708252
33,americans,french,792,1369,-0.5361279249191284,-0.4294944405555725,0.10663348436355591
34,americans,french,696,76,-0.6934179067611694,-1.1917779445648193,-0.4983600378036499
35,americans,french,797,295,-0.5666419863700867,-1.0957926511764526,-0.529150664806366
36,americans,french,189,762,-0.6619541049003601,-0.48456907272338867,0.17738503217697144
37,americans,french,1306,1823,-0.8266261219978333,-0.5781499147415161,0.24847620725631714
38,americans,french,1102,179,-0.3424930274486542,-0.9576511383056641,-0.6151581108570099
39,americans,french,67,1639,-0.7639995217323303,-0.5451216101646423,0.218877911567688
40,americans,french,1548,181,-0.02575995959341526,-0.8696929812431335,-0.8439330216497183
41,americans,french,192,651,-0.5800958871841431,-0.5263305902481079,0.053765296936035156
42,americans,french,1768,976,-0.2588081657886505,-1.0154364109039307,-0.7566282451152802
43,americans,french,988,136,-0.5868478417396545,-1.050433874130249,-0.4635860323905945
44,americans,french,1386,301,-0.04614705964922905,-0.9131186604499817,-0.8669716008007526
45,americans,french,1294,1743,-0.8493481874465942,-0.38706448674201965,0.4622837007045746
46,americans,french,1183,994,-0.19033610820770264,-0.7301561236381531,-0.5398200154304504
47,americans,french,305,1282,-0.7977530360221863,-0.6160469055175781,0.18170613050460815
48,americans,french,1295,20,-0.07896266132593155,-0.9509407877922058,-0.8719781264662743
49,americans,french,1599,1642,-0.8066478967666626,-0.401585191488266,0.4050627052783966
