,group1,group2,num_group1,num_group2,preference_group1,preference_group2,preference_diff
0,chinese,french,932,436,-0.5534448027610779,-0.8588168025016785,-0.3053719997406006
1,chinese,french,402,1126,-0.9925985336303711,-0.5601040124893188,0.43249452114105225
2,chinese,french,605,1249,-0.9863751530647278,-0.5118293762207031,0.47454577684402466
3,chinese,french,16,1252,-1.043108344078064,-0.4553477466106415,0.5877605974674225
4,chinese,french,1124,1402,-0.9791702628135681,-0.7313277125358582,0.24784255027770996
5,chinese,french,1616,1965,-1.1675745248794556,-0.9014881253242493,0.2660863995552063
6,chinese,french,1585,1936,-1.1612948179244995,-0.802833080291748,0.35846173763275146
7,chinese,french,16,1163,-1.2074722051620483,-0.40350398421287537,0.803968220949173
8,chinese,french,915,902,-0.8887497186660767,-0.7866657376289368,0.10208398103713989
9,chinese,french,270,1523,-1.3538249731063843,-0.5210806727409363,0.832744300365448
10,chinese,french,1003,1458,-0.9087907075881958,-0.4453337788581848,0.463456928730011
11,chinese,french,1433,1556,-1.0416580438613892,-0.5102287530899048,0.5314292907714844
12,chinese,french,1417,1997,-0.8109678626060486,-0.6067145466804504,0.20425331592559814
13,chinese,french,680,1825,-1.0478932857513428,-0.5000165104866028,0.54787677526474
14,chinese,french,1830,398,-0.32354268431663513,-0.7557315230369568,-0.43218883872032166
15,chinese,french,872,315,-0.6580836176872253,-0.8940153121948242,-0.23593169450759888
16,chinese,french,1002,724,-0.5522288680076599,-0.7629030346870422,-0.21067416667938232
17,chinese,french,1659,787,-0.5855478644371033,-1.043007731437683,-0.45745986700057983
18,chinese,french,1305,1699,-1.3839796781539917,-0.6592468619346619,0.7247328162193298
19,chinese,french,1120,224,-0.3346530795097351,-0.8599759340286255,-0.5253228545188904
20,chinese,french,928,1481,-0.9211806654930115,-0.3448345363140106,0.5763461291790009
21,chinese,french,1246,1713,-1.0393344163894653,-0.7553716897964478,0.2839627265930176
22,chinese,french,800,1933,-0.6135739088058472,-0.8451451659202576,-0.2315712571144104
23,chinese,french,725,737,-0.7137503623962402,-0.6087250113487244,0.10502535104751587
24,chinese,french,825,1568,-0.9276149868965149,-0.43160372972488403,0.49601125717163086
25,chinese,french,1787,1397,-0.565544068813324,-1.0675408840179443,-0.5019968152046204
26,chinese,french,1539,63,-0.4028441905975342,-1.0777677297592163,-0.6749235391616821
27,chinese,french,218,43,-0.8592239618301392,-0.9951893091201782,-0.13596534729003906
28,chinese,french,89,1001,-0.7912012934684753,-0.288638710975647,0.5025625824928284
29,chinese,french,1981,363,-0.6355578303337097,-0.7886970043182373,-0.1531391739845276
30,chinese,french,1398,505,-0.3685241639614105,-0.9114641547203064,-0.5429399907588959
31,chinese,french,1509,1381,-0.6686266660690308,-1.044053554534912,-0.37542688846588135
32,chinese,french,821,1838,-0.8630366325378418,-0.6030106544494629,0.2600259780883789
33,chinese,french,44,667,-0.9287002682685852,-0.4388072192668915,0.4898930490016937
34,chinese,french,450,1573,-0.9988099932670593,-0.4380567967891693,0.56075319647789
35,chinese,french,1478,1539,-1.0897661447525024,-0.6386653780937195,0.45110076665878296
36,chinese,french,1746,1820,-1.099664568901062,-0.764378547668457,0.335286021232605
37,chinese,french,1568,67,-0.2453489750623703,-0.9818055033683777,-0.7364565283060074
38,chinese,french,944,1585,-0.9925190806388855,-0.4579050540924072,0.5346140265464783
39,chinese,french,1710,895,-0.3782988488674164,-0.8653152585029602,-0.4870164096355438
40,chinese,french,1197,1032,-0.7023598551750183,-1.0815550088882446,-0.3791951537132263
41,chinese,french,880,1689,-0.9212967753410339,-0.5727141499519348,0.3485826253890991
42,chinese,french,713,1774,-1.0283585786819458,-0.45072779059410095,0.5776307880878448
43,chinese,french,28,1047,-1.1485570669174194,-0.38849303126335144,0.760064035654068
44,chinese,french,1306,642,-0.6479024887084961,-0.9586716890335083,-0.3107692003250122
45,chinese,french,1363,1568,-1.2115025520324707,-0.7323130965232849,0.4791894555091858
46,chinese,french,1833,1469,-0.5007896423339844,-0.858894944190979,-0.35810530185699463
47,chinese,french,261,1016,-1.2311514616012573,-0.7003839612007141,0.5307675004005432
48,chinese,french,1836,1868,-0.8080798387527466,-0.9244837760925293,-0.11640393733978271
49,chinese,french,863,1461,-0.9722440838813782,-0.4711158871650696,0.5011281967163086
