,group1,group2,num_group1,num_group2,preference_group1,preference_group2,preference_diff
0,chinese,germans,1967,1194,-0.21461911499500275,-0.750078558921814,-0.5354594439268112
1,chinese,germans,1103,633,-0.5174333453178406,-0.5046147704124451,0.012818574905395508
2,chinese,germans,1050,1849,-0.7325270771980286,-0.21928167343139648,0.5132454037666321
3,chinese,germans,1974,1655,-0.5920718312263489,-0.5233246088027954,0.06874722242355347
4,chinese,germans,1873,554,-0.5164111256599426,-0.5822014212608337,-0.06579029560089111
5,chinese,germans,775,615,-1.170670747756958,-0.5076244473457336,0.6630463004112244
6,chinese,germans,1304,1369,-0.9408813714981079,-0.36038944125175476,0.5804919302463531
7,chinese,germans,1609,1378,-0.7641921639442444,-0.4608384668827057,0.3033536970615387
8,chinese,germans,390,666,-0.952392578125,-0.21100543439388275,0.7413871437311172
9,chinese,germans,1545,561,-0.8751991391181946,-0.7164112329483032,0.15878790616989136
10,chinese,germans,1489,481,-0.9839150309562683,-0.512180507183075,0.47173452377319336
11,chinese,germans,333,7,-1.0337055921554565,-0.4547657072544098,0.5789398849010468
12,chinese,germans,1352,82,-1.0619031190872192,-0.6839597225189209,0.37794339656829834
13,chinese,germans,1409,34,-0.9923550486564636,-0.565324604511261,0.42703044414520264
14,chinese,germans,321,1489,-0.6040665507316589,-0.22908566892147064,0.3749808818101883
15,chinese,germans,1426,455,-0.9707425236701965,-0.7148992419242859,0.25584328174591064
16,chinese,germans,481,1355,-1.081911325454712,-0.38247960805892944,0.6994317173957825
17,chinese,germans,58,582,-0.9597150683403015,-0.2012191265821457,0.7584959417581558
18,chinese,germans,1633,1728,-0.8539786338806152,-0.234116792678833,0.6198618412017822
19,chinese,germans,1099,1141,-0.7368898391723633,-0.08478403091430664,0.6521058082580566
20,chinese,germans,628,47,-0.9434394836425781,-0.6270950436592102,0.3163444399833679
21,chinese,germans,692,150,-0.8164944052696228,-0.5837869048118591,0.23270750045776367
22,chinese,germans,1825,363,-0.9632034301757812,-0.5637078881263733,0.39949554204940796
23,chinese,germans,439,330,-1.3054568767547607,-0.5474011301994324,0.7580557465553284
24,chinese,germans,455,1932,-0.8706005215644836,-0.34589478373527527,0.5247057378292084
25,chinese,germans,1214,1062,-0.8011543154716492,-0.6736613512039185,0.1274929642677307
26,chinese,germans,539,349,-1.1893441677093506,-0.42623111605644226,0.7631130516529083
27,chinese,germans,1194,538,-0.9144401550292969,-0.5746236443519592,0.33981651067733765
28,chinese,germans,1818,109,-0.9837020039558411,-0.7557340264320374,0.2279679775238037
29,chinese,germans,785,1152,-1.1368306875228882,-0.3775815963745117,0.7592490911483765
30,chinese,germans,77,116,-1.1495921611785889,-0.6073516011238098,0.542240560054779
31,chinese,germans,553,1402,-1.0703338384628296,-0.4049965441226959,0.6653372943401337
32,chinese,germans,1437,1157,-0.8189681172370911,-0.5976672172546387,0.2213008999824524
33,chinese,germans,1947,1850,-0.8994526267051697,-0.5759110450744629,0.3235415816307068
34,chinese,germans,988,1258,-1.1203618049621582,-0.2986297607421875,0.8217320442199707
35,chinese,germans,98,1071,-1.139792799949646,-0.2869141399860382,0.8528786599636078
36,chinese,germans,188,714,-1.3540678024291992,-0.4634818136692047,0.8905859887599945
37,chinese,germans,1861,961,-0.5787103772163391,-0.6057164072990417,-0.027006030082702637
38,chinese,germans,1861,322,-0.5029626488685608,-0.4859733581542969,0.016989290714263916
39,chinese,germans,1751,170,-1.0452226400375366,-0.6795022487640381,0.36572039127349854
40,chinese,germans,1090,289,-1.2159998416900635,-0.7769275903701782,0.43907225131988525
41,chinese,germans,357,1332,-0.8671813011169434,-0.3831242024898529,0.48405709862709045
42,chinese,germans,1073,1963,-0.8923875093460083,-0.2722198963165283,0.62016761302948
43,chinese,germans,597,1463,-1.192360758781433,-0.33666396141052246,0.8556967973709106
44,chinese,germans,429,1455,-1.1017632484436035,-0.35842594504356384,0.7433373034000397
45,chinese,germans,1398,253,-0.9137736558914185,-0.5058283805847168,0.40794527530670166
46,chinese,germans,1664,649,-0.6752618551254272,-0.5383979082107544,0.13686394691467285
47,chinese,germans,171,1794,-0.9169546961784363,-0.19803683459758759,0.7189178615808487
48,chinese,germans,283,842,-0.9556536078453064,-0.3173733949661255,0.6382802128791809
49,chinese,germans,1664,254,-0.8269798159599304,-0.6351907253265381,0.19178909063339233
