,group1,group2,num_group1,num_group2,preference_group1,preference_group2,preference_diff
0,chinese,japanese,224,199,-0.7303661108016968,-0.6503286361694336,0.08003747463226318
1,chinese,japanese,1395,848,-0.5347744822502136,-0.8258112072944641,-0.2910367250442505
2,chinese,japanese,1480,1747,-0.816109836101532,-0.6208646297454834,0.19524520635604858
3,chinese,japanese,413,1481,-0.7969236373901367,-0.43053171038627625,0.3663919270038605
4,chinese,japanese,1858,250,-0.3598768711090088,-0.7820366621017456,-0.4221597909927368
5,chinese,japanese,190,872,-0.7071579098701477,-0.43766531348228455,0.26949259638786316
6,chinese,japanese,1677,1869,-0.9108690619468689,-0.8416872024536133,0.06918185949325562
7,chinese,japanese,1563,1327,-0.4714111387729645,-0.9336347579956055,-0.462223619222641
8,chinese,japanese,518,224,-0.6778463125228882,-0.7592112421989441,-0.08136492967605591
9,chinese,japanese,1364,589,-0.45790377259254456,-0.9244794845581055,-0.4665757119655609
10,chinese,japanese,677,228,-0.6486448049545288,-0.7095926403999329,-0.06094783544540405
11,chinese,japanese,471,1962,-0.8033314943313599,-0.5443643927574158,0.2589671015739441
12,chinese,japanese,1860,1912,-0.916570782661438,-0.9983486533164978,-0.08177787065505981
13,chinese,japanese,394,762,-0.627939760684967,-0.46890124678611755,0.1590385138988495
14,chinese,japanese,85,1994,-0.7733651399612427,-0.6026272177696228,0.17073792219161987
15,chinese,japanese,1861,1877,-1.0700618028640747,-1.0177985429763794,0.05226325988769531
16,chinese,japanese,1978,1746,-0.6114374995231628,-0.6278733015060425,-0.01643580198287964
17,chinese,japanese,1959,1059,-0.4788334369659424,-0.6420159339904785,-0.16318249702453613
18,chinese,japanese,1301,92,-0.4500093460083008,-0.7579323053359985,-0.30792295932769775
19,chinese,japanese,252,396,-0.7387050986289978,-0.37129709124565125,0.36740800738334656
20,chinese,japanese,330,1014,-0.7275351285934448,-0.4703037440776825,0.25723138451576233
21,chinese,japanese,1345,10,-0.2973100543022156,-0.79558926820755,-0.4982792139053345
22,chinese,japanese,1066,1641,-0.773999035358429,-0.3930651545524597,0.38093388080596924
23,chinese,japanese,1843,756,-0.4075468182563782,-0.6892281770706177,-0.2816813588142395
24,chinese,japanese,578,1093,-0.7099450826644897,-0.4711298942565918,0.23881518840789795
25,chinese,japanese,1076,1926,-0.9014110565185547,-0.6573924422264099,0.24401861429214478
26,chinese,japanese,485,974,-0.7377982139587402,-0.5767754912376404,0.16102272272109985
27,chinese,japanese,471,1901,-0.8123658299446106,-0.6922504305839539,0.12011539936065674
28,chinese,japanese,321,200,-0.7072917819023132,-0.7325906157493591,-0.0252988338470459
29,chinese,japanese,1438,1039,-0.4667149484157562,-1.006536602973938,-0.5398216545581818
30,chinese,japanese,1698,265,-0.43968597054481506,-1.014207363128662,-0.574521392583847
31,chinese,japanese,1138,308,-0.4032001495361328,-0.7590510249137878,-0.35585087537765503
32,chinese,japanese,1261,174,-0.4967105984687805,-0.8724128007888794,-0.3757022023200989
33,chinese,japanese,981,1410,-0.7901138663291931,-0.5495513677597046,0.24056249856948853
34,chinese,japanese,1038,354,-0.4828948974609375,-0.7370616793632507,-0.25416678190231323
35,chinese,japanese,579,1311,-0.7912623286247253,-0.5110926032066345,0.2801697254180908
36,chinese,japanese,1917,1868,-0.6339804530143738,-0.9716375470161438,-0.33765709400177
37,chinese,japanese,1269,263,-0.4396151006221771,-0.8392112851142883,-0.3995961844921112
38,chinese,japanese,243,347,-0.7217523455619812,-0.57440584897995,0.14734649658203125
39,chinese,japanese,101,53,-0.7037383317947388,-0.8918187022209167,-0.18808037042617798
40,chinese,japanese,981,307,-0.6604644656181335,-0.7682895064353943,-0.10782504081726074
41,chinese,japanese,51,371,-0.834129810333252,-0.4607243537902832,0.37340545654296875
42,chinese,japanese,1405,1348,-0.5174201726913452,-0.871681809425354,-0.3542616367340088
43,chinese,japanese,1663,1284,-0.5578501224517822,-0.9759489297866821,-0.4180988073348999
44,chinese,japanese,921,1409,-0.7631686329841614,-0.4522291123867035,0.3109395205974579
45,chinese,japanese,54,678,-0.8284879922866821,-0.4440035820007324,0.3844844102859497
46,chinese,japanese,882,507,-0.6551824808120728,-0.7214516401290894,-0.0662691593170166
47,chinese,japanese,421,1447,-0.8341680765151978,-0.44478464126586914,0.3893834352493286
48,chinese,japanese,91,999,-0.6933451294898987,-0.4523434638977051,0.2410016655921936
49,chinese,japanese,1289,1485,-0.7467235922813416,-0.48561954498291016,0.2611040472984314
