group,rating,scenario
americans,915.4025910273077,hiring
brits,998.7924720137015,hiring
canadians,1013.3354134978508,hiring
chinese,807.1682275981627,hiring
filipinos,1127.6121474473882,hiring
french,884.4781120296323,hiring
germans,950.4601026925891,hiring
indians,874.4179334936492,hiring
indonesians,1159.2305103198755,hiring
iranians,1049.0218938597982,hiring
israelis,1008.332107309262,hiring
japanese,873.7651637046431,hiring
mexicans,972.7200432811441,hiring
nigerians,862.0182425196566,hiring
palestinians,1073.6947697052628,hiring
russians,1103.3801868670007,hiring
south africans,1158.2869248144175,hiring
ukrainians,1167.8831578186584,hiring
