,group1,group2,num_group1,num_group2,preference_group1,preference_group2,preference_diff
0,americans,mexicans,1972,1799,-1.0514439344406128,-1.3592411279678345,-0.3077971935272217
1,americans,mexicans,172,1560,-1.065680742263794,-1.312864899635315,-0.247184157371521
2,americans,mexicans,382,687,-0.8255172967910767,-1.4813264608383179,-0.6558091640472412
3,americans,mexicans,663,1100,-1.0037978887557983,-1.3530100584030151,-0.3492121696472168
4,americans,mexicans,1458,1519,-1.3054161071777344,-1.2750242948532104,0.030391812324523926
5,americans,mexicans,1317,1359,-1.2356911897659302,-1.1527968645095825,0.08289432525634766
6,americans,mexicans,66,552,-0.8613962531089783,-1.3000115156173706,-0.43861526250839233
7,americans,mexicans,775,1933,-0.7798974514007568,-0.9237774014472961,-0.1438799500465393
8,americans,mexicans,1436,1988,-1.2419987916946411,-1.3457300662994385,-0.10373127460479736
9,americans,mexicans,1430,22,-1.3651018142700195,-1.304882287979126,0.060219526290893555
10,americans,mexicans,686,1062,-0.9730724692344666,-1.3673778772354126,-0.39430540800094604
11,americans,mexicans,1797,1312,-1.0478923320770264,-1.2296397686004639,-0.1817474365234375
12,americans,mexicans,1516,1791,-1.3822342157363892,-1.271170973777771,0.11106324195861816
13,americans,mexicans,1158,447,-1.2360254526138306,-1.2927674055099487,-0.056741952896118164
14,americans,mexicans,713,1615,-1.0616945028305054,-1.3567490577697754,-0.29505455493927
15,americans,mexicans,311,342,-1.0827864408493042,-1.3771692514419556,-0.29438281059265137
16,americans,mexicans,1439,1756,-1.4276542663574219,-1.2885481119155884,0.1391061544418335
17,americans,mexicans,1659,1771,-1.3881429433822632,-1.3260401487350464,0.0621027946472168
18,americans,mexicans,1710,1170,-1.3351267576217651,-1.465986728668213,-0.13085997104644775
19,americans,mexicans,1015,1799,-1.3004318475723267,-1.4503496885299683,-0.1499178409576416
20,americans,mexicans,1831,1454,-1.093894600868225,-1.3787643909454346,-0.2848697900772095
21,americans,mexicans,784,67,-1.2112321853637695,-1.3818910121917725,-0.17065882682800293
22,americans,mexicans,50,559,-0.7896026968955994,-1.5397989749908447,-0.7501962780952454
23,americans,mexicans,647,1150,-1.0106780529022217,-1.2437078952789307,-0.23302984237670898
24,americans,mexicans,1200,267,-1.0710132122039795,-1.3279846906661987,-0.25697147846221924
25,americans,mexicans,580,1294,-0.8342682123184204,-1.3704935312271118,-0.5362253189086914
26,americans,mexicans,654,324,-1.1371363401412964,-1.4404590129852295,-0.3033226728439331
27,americans,mexicans,1582,277,-1.1954118013381958,-1.1425437927246094,0.052868008613586426
28,americans,mexicans,1542,1086,-1.2039129734039307,-1.3425443172454834,-0.13863134384155273
29,americans,mexicans,1580,1631,-1.4246875047683716,-1.3776955604553223,0.046991944313049316
30,americans,mexicans,714,1298,-0.9037955403327942,-1.260321021080017,-0.3565254807472229
31,americans,mexicans,1736,1579,-1.2639774084091187,-1.4785542488098145,-0.2145768404006958
32,americans,mexicans,996,1087,-1.0920953750610352,-1.3944644927978516,-0.3023691177368164
33,americans,mexicans,1378,1874,-1.1175063848495483,-1.4783257246017456,-0.36081933975219727
34,americans,mexicans,1962,131,-1.32456636428833,-1.3506778478622437,-0.026111483573913574
35,americans,mexicans,216,544,-1.0768245458602905,-1.4295262098312378,-0.35270166397094727
36,americans,mexicans,1847,253,-1.2510125637054443,-1.2633825540542603,-0.012369990348815918
37,americans,mexicans,1870,7,-1.272254228591919,-1.3334856033325195,-0.061231374740600586
38,americans,mexicans,1972,1378,-0.8853908777236938,-1.397255301475525,-0.511864423751831
39,americans,mexicans,603,1071,-1.2854770421981812,-1.4792417287826538,-0.19376468658447266
40,americans,mexicans,1728,1280,-1.2984564304351807,-1.532812476158142,-0.23435604572296143
41,americans,mexicans,781,969,-1.0332962274551392,-1.2940477132797241,-0.26075148582458496
42,americans,mexicans,861,1823,-0.8589887619018555,-1.235066294670105,-0.3760775327682495
43,americans,mexicans,582,747,-1.0370697975158691,-1.607599139213562,-0.5705293416976929
44,americans,mexicans,619,1418,-0.8537411093711853,-1.1126607656478882,-0.2589196562767029
45,americans,mexicans,2,1117,-0.6709602475166321,-1.0203908681869507,-0.3494306206703186
46,americans,mexicans,1196,1964,-1.05571448802948,-1.2183201313018799,-0.1626056432723999
47,americans,mexicans,256,382,-0.9770947694778442,-1.4670906066894531,-0.4899958372116089
48,americans,mexicans,1454,79,-1.1703158617019653,-1.2853847742080688,-0.11506891250610352
49,americans,mexicans,1886,179,-1.2232521772384644,-1.219261884689331,0.003990292549133301
