,group1,group2,num_group1,num_group2,preference_group1,preference_group2,preference_diff
0,americans,palestinians,1502,1529,-1.5105594396591187,-1.2747398614883423,0.23581957817077637
1,americans,palestinians,1053,964,-1.8836559057235718,-1.4589502811431885,0.4247056245803833
2,americans,palestinians,320,497,-1.3994354009628296,-1.4148874282836914,-0.015452027320861816
3,americans,palestinians,1082,390,-1.6204208135604858,-1.0302013158798218,0.5902194976806641
4,americans,palestinians,1455,1243,-1.5919283628463745,-1.4775959253311157,0.11433243751525879
5,americans,palestinians,347,1098,-1.094130039215088,-1.0568697452545166,0.03726029396057129
6,americans,palestinians,22,1097,-0.740607738494873,-0.7347841858863831,0.00582355260848999
7,americans,palestinians,944,1724,-1.3682444095611572,-1.256468653678894,0.11177575588226318
8,americans,palestinians,1949,1681,-1.4855592250823975,-1.4602227210998535,0.025336503982543945
9,americans,palestinians,1624,1189,-1.7504379749298096,-1.3463151454925537,0.40412282943725586
10,americans,palestinians,1891,1123,-1.6248610019683838,-1.2382503747940063,0.38661062717437744
11,americans,palestinians,1017,730,-1.9118492603302002,-1.346785306930542,0.5650639533996582
12,americans,palestinians,566,1349,-1.1918610334396362,-1.0760993957519531,0.1157616376876831
13,americans,palestinians,437,1978,-1.154961347579956,-1.0266729593276978,0.1282883882522583
14,americans,palestinians,801,1916,-1.654088020324707,-1.3336743116378784,0.3204137086868286
15,americans,palestinians,1766,457,-2.0388805866241455,-1.217760443687439,0.8211201429367065
16,americans,palestinians,1092,902,-1.8234272003173828,-1.3670246601104736,0.4564025402069092
17,americans,palestinians,744,732,-1.7898930311203003,-1.632931113243103,0.15696191787719727
18,americans,palestinians,1129,1670,-1.5233280658721924,-0.9972716569900513,0.5260564088821411
19,americans,palestinians,1889,1360,-1.6628341674804688,-1.303875207901001,0.3589589595794678
20,americans,palestinians,652,1092,-1.3717507123947144,-1.2282994985580444,0.14345121383666992
21,americans,palestinians,260,1741,-1.145162582397461,-1.1246732473373413,0.02048933506011963
22,americans,palestinians,1052,1916,-1.7168644666671753,-1.3815650939941406,0.33529937267303467
23,americans,palestinians,147,1495,-1.3093388080596924,-0.8875376582145691,0.4218011498451233
24,americans,palestinians,1492,1935,-1.9194650650024414,-1.3493576049804688,0.5701074600219727
25,americans,palestinians,1028,60,-1.6958249807357788,-1.056708812713623,0.6391161680221558
26,americans,palestinians,568,1217,-1.2836545705795288,-1.270067572593689,0.013586997985839844
27,americans,palestinians,646,1488,-0.8145644068717957,-1.0780709981918335,-0.26350659132003784
28,americans,palestinians,12,510,-0.6096150875091553,-0.719090461730957,-0.10947537422180176
29,americans,palestinians,1508,1073,-1.7276098728179932,-1.3607702255249023,0.3668396472930908
30,americans,palestinians,150,1311,-1.2267448902130127,-1.0562208890914917,0.170524001121521
31,americans,palestinians,464,266,-1.4502347707748413,-1.281696081161499,0.16853868961334229
32,americans,palestinians,1435,1132,-1.6282917261123657,-1.26327645778656,0.36501526832580566
33,americans,palestinians,1738,408,-1.6866058111190796,-1.4244340658187866,0.26217174530029297
34,americans,palestinians,750,570,-1.332290530204773,-1.3523396253585815,-0.020049095153808594
35,americans,palestinians,1960,1258,-1.8023346662521362,-1.4054195880889893,0.396915078163147
36,americans,palestinians,678,552,-1.8877041339874268,-1.5732859373092651,0.3144181966781616
37,americans,palestinians,412,62,-1.5045018196105957,-1.1433833837509155,0.3611184358596802
38,americans,palestinians,506,1803,-1.7102062702178955,-1.2670261859893799,0.4431800842285156
39,americans,palestinians,1517,508,-1.7833589315414429,-1.2588204145431519,0.524538516998291
40,americans,palestinians,1127,1540,-1.4648637771606445,-0.9807978868484497,0.4840658903121948
41,americans,palestinians,867,1184,-1.4042466878890991,-1.162302017211914,0.24194467067718506
42,americans,palestinians,66,15,-1.2870941162109375,-1.1281251907348633,0.15896892547607422
43,americans,palestinians,1995,1320,-1.5596498250961304,-1.4650341272354126,0.09461569786071777
44,americans,palestinians,578,1967,-1.1999956369400024,-1.2759109735488892,-0.07591533660888672
45,americans,palestinians,523,1511,-1.5034979581832886,-1.2339333295822144,0.2695646286010742
46,americans,palestinians,1312,465,-1.5201138257980347,-1.1834242343902588,0.3366895914077759
47,americans,palestinians,1756,40,-1.1755263805389404,-0.8756818175315857,0.29984456300735474
48,americans,palestinians,1947,1,-0.6226824522018433,-1.5221518278121948,-0.8994693756103516
49,americans,palestinians,377,525,-1.6969997882843018,-1.2788690328598022,0.4181307554244995
