,group1,group2,num_group1,num_group2,preference_group1,preference_group2,preference_diff
0,brits,filipinos,621,1736,-1.5757802724838257,-1.1422675848007202,0.43351268768310547
1,brits,filipinos,1515,1415,-1.7727091312408447,-1.052900791168213,0.7198083400726318
2,brits,filipinos,1696,1229,-2.009707450866699,-1.4209637641906738,0.5887436866760254
3,brits,filipinos,1690,1686,-1.4874491691589355,-1.0298887491226196,0.4575604200363159
4,brits,filipinos,1104,381,-1.838218092918396,-1.2451595067977905,0.5930585861206055
5,brits,filipinos,1272,1018,-1.7481476068496704,-1.2660655975341797,0.4820820093154907
6,brits,filipinos,595,1899,-1.9924579858779907,-1.1455076932907104,0.8469502925872803
7,brits,filipinos,815,736,-1.7601902484893799,-1.1245797872543335,0.6356104612350464
8,brits,filipinos,398,359,-1.846215844154358,-1.243864893913269,0.6023509502410889
9,brits,filipinos,1848,1601,-1.8298677206039429,-1.300675392150879,0.529192328453064
10,brits,filipinos,666,1334,-1.3814691305160522,-0.9623422622680664,0.41912686824798584
11,brits,filipinos,600,210,-1.8549129962921143,-1.186912178993225,0.6680008172988892
12,brits,filipinos,1862,1863,-1.431612253189087,-0.7272037863731384,0.7044084668159485
13,brits,filipinos,530,1682,-1.8093130588531494,-1.2256418466567993,0.5836712121963501
14,brits,filipinos,152,456,-1.7910908460617065,-1.2350395917892456,0.5560512542724609
15,brits,filipinos,92,851,-1.6385895013809204,-1.2745879888534546,0.3640015125274658
16,brits,filipinos,653,1237,-1.7337664365768433,-1.26864755153656,0.4651188850402832
17,brits,filipinos,1788,227,-1.870238184928894,-1.372353434562683,0.49788475036621094
18,brits,filipinos,43,525,-1.587020754814148,-1.4090288877487183,0.1779918670654297
19,brits,filipinos,1864,877,-2.026549816131592,-1.276774287223816,0.7497755289077759
20,brits,filipinos,1584,316,-1.7938123941421509,-1.262465000152588,0.531347393989563
21,brits,filipinos,1909,1220,-1.9329363107681274,-1.3837225437164307,0.5492137670516968
22,brits,filipinos,662,327,-1.6954116821289062,-1.0292109251022339,0.6662007570266724
23,brits,filipinos,464,233,-1.6880096197128296,-0.978288471698761,0.7097211480140686
24,brits,filipinos,422,357,-1.7077668905258179,-1.3213938474655151,0.38637304306030273
25,brits,filipinos,1695,1904,-1.9936445951461792,-1.2669132947921753,0.7267313003540039
26,brits,filipinos,1023,1526,-1.9135106801986694,-1.155565619468689,0.7579450607299805
27,brits,filipinos,72,1774,-1.4253898859024048,-1.157167673110962,0.26822221279144287
28,brits,filipinos,1606,252,-1.8027889728546143,-1.236823320388794,0.5659656524658203
29,brits,filipinos,480,992,-1.6826425790786743,-1.348039150238037,0.3346034288406372
30,brits,filipinos,268,971,-1.8594095706939697,-1.1541787385940552,0.7052308320999146
31,brits,filipinos,1543,385,-1.8877712488174438,-1.3708224296569824,0.5169488191604614
32,brits,filipinos,1474,519,-1.7457233667373657,-1.243749976158142,0.5019733905792236
33,brits,filipinos,1908,864,-1.8405452966690063,-1.1638340950012207,0.6767112016677856
34,brits,filipinos,1454,782,-1.8626625537872314,-1.3070815801620483,0.5555809736251831
35,brits,filipinos,1114,1859,-1.893297553062439,-1.1549662351608276,0.7383313179016113
36,brits,filipinos,1654,1444,-1.9620064496994019,-1.467416763305664,0.4945896863937378
37,brits,filipinos,914,364,-1.6182705163955688,-1.1664352416992188,0.4518352746963501
38,brits,filipinos,845,1866,-1.755975365638733,-1.2992446422576904,0.4567307233810425
39,brits,filipinos,1469,1133,-1.8864887952804565,-1.2674564123153687,0.6190323829650879
40,brits,filipinos,90,427,-1.6581190824508667,-1.3720401525497437,0.28607892990112305
41,brits,filipinos,1826,1404,-1.913356065750122,-1.4373095035552979,0.4760465621948242
42,brits,filipinos,1342,1960,-1.9032764434814453,-1.3432228565216064,0.5600535869598389
43,brits,filipinos,904,60,-1.9242385625839233,-1.1462574005126953,0.777981162071228
44,brits,filipinos,1083,1327,-2.0736777782440186,-1.278373122215271,0.7953046560287476
45,brits,filipinos,318,1599,-1.7908756732940674,-1.3087772130966187,0.48209846019744873
46,brits,filipinos,1734,311,-1.9396848678588867,-1.250201940536499,0.6894829273223877
47,brits,filipinos,842,1673,-1.6214607954025269,-1.2127552032470703,0.40870559215545654
48,brits,filipinos,1586,483,-1.6860541105270386,-1.2392224073410034,0.44683170318603516
49,brits,filipinos,1103,1454,-1.6731780767440796,-1.1288706064224243,0.5443074703216553
