,group1,group2,num_group1,num_group2,preference_group1,preference_group2,preference_diff
0,brits,iranians,1497,1162,-1.6408300399780273,-1.2288569211959839,0.41197311878204346
1,brits,iranians,500,890,-1.6001747846603394,-1.2138996124267578,0.38627517223358154
2,brits,iranians,917,1606,-1.5750089883804321,-1.145461082458496,0.42954790592193604
3,brits,iranians,1265,505,-1.9280403852462769,-1.2365946769714355,0.6914457082748413
4,brits,iranians,783,282,-1.6427427530288696,-1.2612766027450562,0.3814661502838135
5,brits,iranians,313,162,-1.62950599193573,-1.2429841756820679,0.3865218162536621
6,brits,iranians,991,891,-1.60079824924469,-1.3764328956604004,0.22436535358428955
7,brits,iranians,822,683,-1.4544621706008911,-1.3207110166549683,0.13375115394592285
8,brits,iranians,1867,1378,-1.5769710540771484,-1.3009060621261597,0.27606499195098877
9,brits,iranians,1761,1560,-1.8195663690567017,-1.3565500974655151,0.4630162715911865
10,brits,iranians,1892,1810,-1.3807592391967773,-1.191218376159668,0.18954086303710938
11,brits,iranians,1770,474,-1.8694040775299072,-1.3735802173614502,0.49582386016845703
12,brits,iranians,778,30,-1.9927456378936768,-1.1186984777450562,0.8740471601486206
13,brits,iranians,1128,775,-1.7745393514633179,-1.2866770029067993,0.48786234855651855
14,brits,iranians,258,1257,-1.6652158498764038,-1.1773557662963867,0.4878600835800171
15,brits,iranians,751,1195,-1.6342191696166992,-1.1958297491073608,0.4383894205093384
16,brits,iranians,248,1591,-1.7030174732208252,-1.2041562795639038,0.4988611936569214
17,brits,iranians,1631,1029,-1.7282447814941406,-1.2780249118804932,0.45021986961364746
18,brits,iranians,398,1922,-1.775255560874939,-1.0331214666366577,0.7421340942382812
19,brits,iranians,1866,346,-1.8481638431549072,-1.273943305015564,0.5742205381393433
20,brits,iranians,332,1155,-1.9624441862106323,-1.2592586278915405,0.7031855583190918
21,brits,iranians,1015,415,-2.024876117706299,-1.4572187662124634,0.5676573514938354
22,brits,iranians,1854,273,-1.6525524854660034,-1.2896779775619507,0.36287450790405273
23,brits,iranians,739,5,-1.5135830640792847,-0.8929969072341919,0.6205861568450928
24,brits,iranians,152,1954,-2.0116422176361084,-1.1726568937301636,0.8389853239059448
25,brits,iranians,1963,1446,-1.3012198209762573,-1.180070400238037,0.12114942073822021
26,brits,iranians,448,658,-1.5242400169372559,-1.23476243019104,0.2894775867462158
27,brits,iranians,1359,832,-1.6589988470077515,-1.2335350513458252,0.42546379566192627
28,brits,iranians,1660,1236,-1.9292749166488647,-1.4995137453079224,0.4297611713409424
29,brits,iranians,568,1263,-1.6555776596069336,-1.0924988985061646,0.563078761100769
30,brits,iranians,778,991,-1.5494455099105835,-1.2618125677108765,0.28763294219970703
31,brits,iranians,50,546,-1.4647365808486938,-1.1419479846954346,0.3227885961532593
32,brits,iranians,1548,1875,-1.8880542516708374,-1.1643447875976562,0.7237094640731812
33,brits,iranians,1704,598,-1.8015674352645874,-1.2373141050338745,0.5642533302307129
34,brits,iranians,893,1832,-1.6378281116485596,-1.10210120677948,0.5357269048690796
35,brits,iranians,569,909,-1.6639461517333984,-1.2819089889526367,0.3820371627807617
36,brits,iranians,1702,1073,-1.4092179536819458,-1.3694312572479248,0.039786696434020996
37,brits,iranians,1770,1170,-1.7925761938095093,-1.4265263080596924,0.3660498857498169
38,brits,iranians,152,924,-1.9915233850479126,-1.264383316040039,0.7271400690078735
39,brits,iranians,1307,891,-1.686971664428711,-1.1913524866104126,0.49561917781829834
40,brits,iranians,1706,1400,-1.7488548755645752,-1.4415909051895142,0.30726397037506104
41,brits,iranians,497,271,-1.6121952533721924,-1.2368048429489136,0.3753904104232788
42,brits,iranians,396,1641,-1.773466944694519,-1.1697748899459839,0.6036920547485352
43,brits,iranians,498,1904,-1.6514393091201782,-1.0533019304275513,0.598137378692627
44,brits,iranians,1818,1801,-1.6655504703521729,-1.2545393705368042,0.41101109981536865
45,brits,iranians,414,95,-1.7067594528198242,-1.2899736166000366,0.4167858362197876
46,brits,iranians,111,1588,-1.5193467140197754,-1.111254096031189,0.4080926179885864
47,brits,iranians,1752,1570,-1.7303298711776733,-1.4272719621658325,0.3030579090118408
48,brits,iranians,245,354,-1.6412285566329956,-1.336429238319397,0.30479931831359863
49,brits,iranians,1717,946,-1.7003710269927979,-1.145750880241394,0.5546201467514038
