,group1,group2,num_group1,num_group2,preference_group1,preference_group2,preference_diff
0,canadians,indonesians,1186,1751,-1.6211271286010742,-1.150169849395752,0.47095727920532227
1,canadians,indonesians,1617,1711,-1.3635002374649048,-1.0808531045913696,0.28264713287353516
2,canadians,indonesians,1029,1873,-1.503780722618103,-1.035149097442627,0.4686316251754761
3,canadians,indonesians,612,1663,-1.2612415552139282,-1.1340571641921997,0.12718439102172852
4,canadians,indonesians,481,303,-1.4435123205184937,-1.1270923614501953,0.31641995906829834
5,canadians,indonesians,1639,1168,-1.461614966392517,-1.16128671169281,0.30032825469970703
6,canadians,indonesians,482,1356,-1.316710352897644,-1.0134470462799072,0.3032633066177368
7,canadians,indonesians,1898,502,-1.4460753202438354,-0.9635025858879089,0.4825727343559265
8,canadians,indonesians,668,682,-1.1927263736724854,-1.0814687013626099,0.11125767230987549
9,canadians,indonesians,824,1597,-1.1987800598144531,-1.0969747304916382,0.10180532932281494
10,canadians,indonesians,1816,676,-1.6738890409469604,-1.0354758501052856,0.6384131908416748
11,canadians,indonesians,1298,1999,-1.35926353931427,-0.9538330435752869,0.40543049573898315
12,canadians,indonesians,1869,448,-1.4846153259277344,-1.025081992149353,0.45953333377838135
13,canadians,indonesians,367,1398,-1.226378321647644,-1.0299278497695923,0.19645047187805176
14,canadians,indonesians,17,1560,-1.251598596572876,-1.2127933502197266,0.038805246353149414
15,canadians,indonesians,517,1070,-1.3761495351791382,-1.2141438722610474,0.16200566291809082
16,canadians,indonesians,1990,227,-1.7875009775161743,-1.4109209775924683,0.37657999992370605
17,canadians,indonesians,1109,1845,-1.5185073614120483,-0.9719263911247253,0.546580970287323
18,canadians,indonesians,1325,1984,-1.5398985147476196,-1.0712264776229858,0.4686720371246338
19,canadians,indonesians,1106,954,-1.537431001663208,-0.8053612112998962,0.7320697903633118
20,canadians,indonesians,1947,1756,-1.4729254245758057,-1.2979397773742676,0.17498564720153809
21,canadians,indonesians,1753,1132,-1.425593614578247,-1.0858142375946045,0.3397793769836426
22,canadians,indonesians,996,1789,-1.2131696939468384,-1.1561572551727295,0.05701243877410889
23,canadians,indonesians,655,827,-1.1798031330108643,-0.7833647131919861,0.3964384198188782
24,canadians,indonesians,802,843,-1.1967984437942505,-1.0189465284347534,0.17785191535949707
25,canadians,indonesians,306,75,-1.5866960287094116,-1.175345540046692,0.4113504886627197
26,canadians,indonesians,184,1430,-1.7525739669799805,-1.3727349042892456,0.37983906269073486
27,canadians,indonesians,493,1155,-1.3990898132324219,-1.1301285028457642,0.2689613103866577
28,canadians,indonesians,973,137,-1.412057638168335,-1.1379557847976685,0.2741018533706665
29,canadians,indonesians,1018,1582,-1.4867225885391235,-0.9760394096374512,0.5106831789016724
30,canadians,indonesians,644,1120,-1.4939157962799072,-1.2046602964401245,0.2892554998397827
31,canadians,indonesians,774,1672,-1.3998315334320068,-1.1566680669784546,0.24316346645355225
32,canadians,indonesians,985,1473,-1.4137604236602783,-1.2961318492889404,0.11762857437133789
33,canadians,indonesians,663,35,-1.3403552770614624,-0.8002772331237793,0.5400780439376831
34,canadians,indonesians,404,730,-1.3798959255218506,-1.2567089796066284,0.12318694591522217
35,canadians,indonesians,260,1969,-1.6391487121582031,-1.2396316528320312,0.3995170593261719
36,canadians,indonesians,879,1386,-1.1810232400894165,-1.039443850517273,0.14157938957214355
37,canadians,indonesians,493,1941,-1.4320452213287354,-1.209728479385376,0.22231674194335938
38,canadians,indonesians,379,924,-1.080511212348938,-1.0050699710845947,0.07544124126434326
39,canadians,indonesians,1159,1273,-1.4276520013809204,-0.8838717341423035,0.5437802672386169
40,canadians,indonesians,624,182,-1.558848261833191,-1.1860108375549316,0.3728374242782593
41,canadians,indonesians,332,1036,-1.4849729537963867,-1.2548826932907104,0.23009026050567627
42,canadians,indonesians,879,1361,-1.2513102293014526,-1.058992862701416,0.19231736660003662
43,canadians,indonesians,1527,751,-1.462561011314392,-0.953845202922821,0.508715808391571
44,canadians,indonesians,397,211,-1.3039520978927612,-1.0319174528121948,0.2720346450805664
45,canadians,indonesians,1591,206,-1.4095029830932617,-1.0246405601501465,0.38486242294311523
46,canadians,indonesians,1860,1825,-1.4122488498687744,-1.1233999729156494,0.288848876953125
47,canadians,indonesians,808,1436,-1.72256338596344,-1.3442903757095337,0.37827301025390625
48,canadians,indonesians,685,604,-1.2862900495529175,-1.133564829826355,0.1527252197265625
49,canadians,indonesians,1060,1427,-1.6570385694503784,-1.0758419036865234,0.581196665763855
