,group1,group2,num_group1,num_group2,preference_group1,preference_group2,preference_diff
0,filipinos,russians,1077,160,-1.2120503187179565,-1.014275312423706,0.1977750062942505
1,filipinos,russians,1777,423,-1.296291708946228,-1.1340230703353882,0.16226863861083984
2,filipinos,russians,283,1889,-1.4158782958984375,-1.248278260231018,0.16760003566741943
3,filipinos,russians,951,1467,-1.1240073442459106,-0.9011226892471313,0.2228846549987793
4,filipinos,russians,1877,1733,-1.2822550535202026,-1.140584945678711,0.1416701078414917
5,filipinos,russians,177,573,-1.1628947257995605,-0.9178506135940552,0.24504411220550537
6,filipinos,russians,591,893,-1.20574152469635,-1.002506136894226,0.20323538780212402
7,filipinos,russians,199,920,-1.290144920349121,-0.9968477487564087,0.2932971715927124
8,filipinos,russians,1419,593,-1.2193654775619507,-1.0909918546676636,0.1283736228942871
9,filipinos,russians,332,1066,-1.2937520742416382,-1.1955876350402832,0.09816443920135498
10,filipinos,russians,1360,1640,-1.5212128162384033,-1.2557604312896729,0.26545238494873047
11,filipinos,russians,1275,1816,-1.4784435033798218,-1.1598623991012573,0.31858110427856445
12,filipinos,russians,1780,1277,-1.3619184494018555,-1.298797845840454,0.06312060356140137
13,filipinos,russians,322,1004,-1.3272749185562134,-1.12177574634552,0.20549917221069336
14,filipinos,russians,1558,1837,-1.1684881448745728,-1.077286958694458,0.09120118618011475
15,filipinos,russians,1276,1160,-1.1963895559310913,-1.233539342880249,-0.037149786949157715
16,filipinos,russians,1519,729,-1.1685327291488647,-0.8025345206260681,0.36599820852279663
17,filipinos,russians,798,535,-1.2410669326782227,-1.2150477170944214,0.02601921558380127
18,filipinos,russians,819,532,-1.2169469594955444,-1.188477873802185,0.028469085693359375
19,filipinos,russians,1406,1273,-1.253037929534912,-1.1194137334823608,0.13362419605255127
20,filipinos,russians,1177,740,-1.3482822179794312,-1.062487006187439,0.2857952117919922
21,filipinos,russians,1885,1505,-1.3052395582199097,-1.2195454835891724,0.0856940746307373
22,filipinos,russians,175,1276,-1.2920150756835938,-1.006458044052124,0.2855570316314697
23,filipinos,russians,85,1430,-1.4106980562210083,-1.0674904584884644,0.34320759773254395
24,filipinos,russians,287,124,-1.3998647928237915,-1.219437837600708,0.1804269552230835
25,filipinos,russians,619,960,-1.1244465112686157,-0.9535816311836243,0.17086488008499146
26,filipinos,russians,701,177,-1.1846176385879517,-1.1566966772079468,0.027920961380004883
27,filipinos,russians,99,1347,-1.54280424118042,-1.142037272453308,0.4007669687271118
28,filipinos,russians,1752,600,-1.2648433446884155,-1.1095017194747925,0.15534162521362305
29,filipinos,russians,891,1312,-1.2249336242675781,-1.1022614240646362,0.1226722002029419
30,filipinos,russians,643,1668,-1.0751311779022217,-0.809975266456604,0.2651559114456177
31,filipinos,russians,1442,1982,-1.2641229629516602,-1.0485676527023315,0.2155553102493286
32,filipinos,russians,1848,1435,-1.378334879875183,-1.3288041353225708,0.049530744552612305
33,filipinos,russians,231,339,-1.355391502380371,-1.1933138370513916,0.1620776653289795
34,filipinos,russians,293,1043,-1.1682374477386475,-0.8984091877937317,0.26982825994491577
35,filipinos,russians,1833,957,-1.3773585557937622,-1.0303789377212524,0.34697961807250977
36,filipinos,russians,1072,1080,-1.1582183837890625,-1.0749872922897339,0.08323109149932861
37,filipinos,russians,1087,1793,-1.3644617795944214,-0.9877457022666931,0.37671607732772827
38,filipinos,russians,987,835,-1.29942786693573,-1.236999750137329,0.06242811679840088
39,filipinos,russians,1151,981,-1.3933830261230469,-1.2130342721939087,0.18034875392913818
40,filipinos,russians,859,1228,-1.2575300931930542,-0.9329833388328552,0.324546754360199
41,filipinos,russians,1672,101,-1.1465977430343628,-1.0725538730621338,0.074043869972229
42,filipinos,russians,1251,447,-1.205603837966919,-1.0437601804733276,0.1618436574935913
43,filipinos,russians,832,1986,-1.3385967016220093,-1.1102534532546997,0.22834324836730957
44,filipinos,russians,1663,951,-1.2368320226669312,-1.1748048067092896,0.0620272159576416
45,filipinos,russians,290,1317,-1.3370071649551392,-1.0518971681594849,0.2851099967956543
46,filipinos,russians,1780,463,-1.1565994024276733,-1.098329782485962,0.058269619941711426
47,filipinos,russians,320,1756,-1.4087424278259277,-1.0661802291870117,0.342562198638916
48,filipinos,russians,1987,1159,-1.3674609661102295,-1.302137017250061,0.06532394886016846
49,filipinos,russians,917,155,-1.1394864320755005,-1.0559031963348389,0.08358323574066162
