,group1,group2,num_group1,num_group2,preference_group1,preference_group2,preference_diff
0,filipinos,ukrainians,1856,1626,-1.524598240852356,-1.2807835340499878,0.24381470680236816
1,filipinos,ukrainians,1180,539,-1.2794867753982544,-1.2748398780822754,0.004646897315979004
2,filipinos,ukrainians,1610,135,-1.734447717666626,-1.5117930173873901,0.22265470027923584
3,filipinos,ukrainians,1566,1167,-1.4248356819152832,-1.3533166646957397,0.07151901721954346
4,filipinos,ukrainians,1435,416,-1.5545713901519775,-1.1340645551681519,0.4205068349838257
5,filipinos,ukrainians,1279,1735,-1.454943299293518,-1.0857778787612915,0.36916542053222656
6,filipinos,ukrainians,1074,1965,-1.3106716871261597,-1.0391563177108765,0.2715153694152832
7,filipinos,ukrainians,838,1445,-1.304036021232605,-1.0806695222854614,0.22336649894714355
8,filipinos,ukrainians,1083,785,-1.618601679801941,-1.1138279438018799,0.504773736000061
9,filipinos,ukrainians,1275,1821,-1.5673828125,-1.042971134185791,0.524411678314209
10,filipinos,ukrainians,33,1243,-1.1489741802215576,-0.6571959853172302,0.4917781949043274
11,filipinos,ukrainians,915,1473,-1.4414535760879517,-1.2284103631973267,0.213043212890625
12,filipinos,ukrainians,1435,1777,-1.3826913833618164,-1.1788877248764038,0.2038036584854126
13,filipinos,ukrainians,171,21,-1.7060445547103882,-1.2640135288238525,0.44203102588653564
14,filipinos,ukrainians,273,909,-1.2852404117584229,-1.0976858139038086,0.18755459785461426
15,filipinos,ukrainians,713,378,-1.23946213722229,-0.9617286920547485,0.2777334451675415
16,filipinos,ukrainians,734,248,-1.1125035285949707,-0.9954447150230408,0.11705881357192993
17,filipinos,ukrainians,207,1615,-1.2317276000976562,-0.8860931396484375,0.34563446044921875
18,filipinos,ukrainians,758,1111,-1.3054016828536987,-1.057708501815796,0.24769318103790283
19,filipinos,ukrainians,1010,1207,-1.6396074295043945,-1.1379677057266235,0.501639723777771
20,filipinos,ukrainians,1778,462,-1.3442834615707397,-0.9986177682876587,0.34566569328308105
21,filipinos,ukrainians,742,1296,-1.089769721031189,-0.8566734194755554,0.23309630155563354
22,filipinos,ukrainians,751,810,-1.2923195362091064,-1.0718004703521729,0.2205190658569336
23,filipinos,ukrainians,383,20,-1.3864129781723022,-1.0636420249938965,0.32277095317840576
24,filipinos,ukrainians,357,499,-1.1982866525650024,-0.9732508063316345,0.22503584623336792
25,filipinos,ukrainians,1650,1393,-1.5357688665390015,-1.4805225133895874,0.05524635314941406
26,filipinos,ukrainians,1467,567,-1.2251770496368408,-0.9686291813850403,0.25654786825180054
27,filipinos,ukrainians,1646,1103,-1.2628823518753052,-1.2808984518051147,-0.01801609992980957
28,filipinos,ukrainians,1228,1185,-1.2253907918930054,-1.226852536201477,-0.0014617443084716797
29,filipinos,ukrainians,416,1003,-1.4369004964828491,-1.1529730558395386,0.28392744064331055
30,filipinos,ukrainians,677,500,-1.4325852394104004,-1.082658290863037,0.3499269485473633
31,filipinos,ukrainians,551,1566,-1.2094252109527588,-1.056864619255066,0.15256059169769287
32,filipinos,ukrainians,143,625,-1.3022302389144897,-0.9074802398681641,0.3947499990463257
33,filipinos,ukrainians,1683,1030,-1.437052607536316,-1.1893821954727173,0.24767041206359863
34,filipinos,ukrainians,500,598,-1.3094146251678467,-1.2320725917816162,0.07734203338623047
35,filipinos,ukrainians,1887,641,-1.4556009769439697,-1.0979756116867065,0.3576253652572632
36,filipinos,ukrainians,88,1131,-1.142656683921814,-0.853137195110321,0.2895194888114929
37,filipinos,ukrainians,1213,99,-1.1267070770263672,-0.9390806555747986,0.1876264214515686
38,filipinos,ukrainians,38,1501,-1.1161227226257324,-0.8029406666755676,0.3131820559501648
39,filipinos,ukrainians,1081,1153,-1.3736019134521484,-1.0825945138931274,0.291007399559021
40,filipinos,ukrainians,1518,400,-1.275041937828064,-1.0623186826705933,0.2127232551574707
41,filipinos,ukrainians,1265,462,-1.376277208328247,-1.0578852891921997,0.31839191913604736
42,filipinos,ukrainians,258,1352,-1.3427256345748901,-1.020047664642334,0.32267796993255615
43,filipinos,ukrainians,648,1257,-1.3249404430389404,-1.0911390781402588,0.23380136489868164
44,filipinos,ukrainians,1706,78,-1.2636452913284302,-0.9687526822090149,0.2948926091194153
45,filipinos,ukrainians,152,775,-1.467183232307434,-1.0186002254486084,0.4485830068588257
46,filipinos,ukrainians,901,484,-1.3875290155410767,-1.1003384590148926,0.2871905565261841
47,filipinos,ukrainians,567,1610,-1.2845182418823242,-1.0837368965148926,0.20078134536743164
48,filipinos,ukrainians,1967,1317,-1.4865703582763672,-1.2566819190979004,0.2298884391784668
49,filipinos,ukrainians,342,1609,-1.191817283630371,-0.9501328468322754,0.2416844367980957
