,group1,group2,num_group1,num_group2,preference_group1,preference_group2,preference_diff
0,french,canadians,304,1233,-1.746334433555603,-0.8979814648628235,0.8483529686927795
1,french,canadians,1321,1402,-1.6660442352294922,-1.1159220933914185,0.5501221418380737
2,french,canadians,717,1001,-1.3058851957321167,-0.722253680229187,0.5836315155029297
3,french,canadians,1596,473,-1.7394704818725586,-1.0373066663742065,0.702163815498352
4,french,canadians,953,334,-1.560444712638855,-0.9484798312187195,0.6119648814201355
5,french,canadians,941,1330,-1.6779155731201172,-0.9893119931221008,0.6886035799980164
6,french,canadians,1813,1596,-1.950581431388855,-1.228407382965088,0.7221740484237671
7,french,canadians,1198,1712,-1.5619758367538452,-0.8276115655899048,0.7343642711639404
8,french,canadians,521,1072,-1.496829628944397,-1.014345407485962,0.48248422145843506
9,french,canadians,214,582,-1.5563939809799194,-0.8851291537284851,0.6712648272514343
10,french,canadians,1830,548,-2.0432097911834717,-1.2157186269760132,0.8274911642074585
11,french,canadians,1983,446,-1.8613067865371704,-1.141339659690857,0.7199671268463135
12,french,canadians,546,927,-1.7417004108428955,-1.028127908706665,0.7135725021362305
13,french,canadians,1937,1670,-1.7268619537353516,-1.1679550409317017,0.5589069128036499
14,french,canadians,594,235,-1.7282861471176147,-1.3381969928741455,0.39008915424346924
15,french,canadians,50,1778,-1.5401228666305542,-0.9859594702720642,0.55416339635849
16,french,canadians,1506,380,-2.0570733547210693,-1.2305186986923218,0.8265546560287476
17,french,canadians,1534,1510,-1.8485320806503296,-1.2368077039718628,0.6117243766784668
18,french,canadians,1107,869,-1.9976952075958252,-1.224646806716919,0.7730484008789062
19,french,canadians,1144,1095,-1.4972403049468994,-1.2405236959457397,0.25671660900115967
20,french,canadians,1764,542,-1.9142553806304932,-1.076052188873291,0.8382031917572021
21,french,canadians,1851,1158,-1.9996284246444702,-1.2820402383804321,0.7175881862640381
22,french,canadians,132,842,-1.6588516235351562,-1.0955471992492676,0.5633044242858887
23,french,canadians,833,1868,-1.817789912223816,-1.0135321617126465,0.8042577505111694
24,french,canadians,328,1511,-1.6894493103027344,-0.9461502432823181,0.7432990670204163
25,french,canadians,1789,1725,-1.7843598127365112,-1.380493402481079,0.40386641025543213
26,french,canadians,1040,1647,-1.8492012023925781,-0.9056226015090942,0.9435786008834839
27,french,canadians,809,30,-1.8375164270401,-1.0762052536010742,0.7613111734390259
28,french,canadians,493,1031,-1.4617105722427368,-0.8919796347618103,0.5697309374809265
29,french,canadians,1828,1525,-1.6967395544052124,-1.2610195875167847,0.43571996688842773
30,french,canadians,1071,282,-1.846392273902893,-1.1265076398849487,0.7198846340179443
31,french,canadians,814,820,-1.6991386413574219,-0.8711200952529907,0.8280185461044312
32,french,canadians,1531,255,-1.9587334394454956,-1.1727627515792847,0.7859706878662109
33,french,canadians,342,186,-1.7688604593276978,-1.2304389476776123,0.5384215116500854
34,french,canadians,622,883,-1.6480051279067993,-1.1055485010147095,0.5424566268920898
35,french,canadians,1028,1880,-1.9372913837432861,-1.1816989183425903,0.7555924654006958
36,french,canadians,356,692,-1.5279959440231323,-0.9938263893127441,0.5341695547103882
37,french,canadians,349,1004,-1.4064226150512695,-0.8019291758537292,0.6044934391975403
38,french,canadians,762,974,-1.5569599866867065,-0.9896267056465149,0.5673332810401917
39,french,canadians,1996,1676,-1.5145379304885864,-0.9598379135131836,0.5547000169754028
40,french,canadians,1097,1678,-1.5917221307754517,-1.0130451917648315,0.5786769390106201
41,french,canadians,1273,918,-1.7858638763427734,-1.1058349609375,0.6800289154052734
42,french,canadians,1458,342,-1.8039543628692627,-1.0880323648452759,0.7159219980239868
43,french,canadians,288,77,-1.95236074924469,-1.1914657354354858,0.7608950138092041
44,french,canadians,1049,374,-1.8206102848052979,-0.9643635749816895,0.8562467098236084
45,french,canadians,1309,1482,-1.739105463027954,-0.960645318031311,0.7784601449966431
46,french,canadians,1593,1068,-1.816015601158142,-1.188833236694336,0.6271823644638062
47,french,canadians,1570,283,-1.9999099969863892,-1.1311967372894287,0.8687132596969604
48,french,canadians,747,856,-1.7281373739242554,-1.1762131452560425,0.5519242286682129
49,french,canadians,295,15,-1.839381456375122,-1.1537017822265625,0.6856796741485596
