,group1,group2,num_group1,num_group2,preference_group1,preference_group2,preference_diff
0,french,indonesians,840,1145,-1.713215708732605,-1.1388905048370361,0.5743252038955688
1,french,indonesians,418,509,-1.7495259046554565,-1.2870739698410034,0.4624519348144531
2,french,indonesians,1686,1536,-1.5892571210861206,-1.279029130935669,0.31022799015045166
3,french,indonesians,1426,1957,-1.8050205707550049,-1.1378968954086304,0.6671236753463745
4,french,indonesians,625,1522,-1.8425495624542236,-1.327413558959961,0.5151360034942627
5,french,indonesians,683,1791,-1.5546400547027588,-1.2311573028564453,0.3234827518463135
6,french,indonesians,1287,946,-1.760632872581482,-1.1446326971054077,0.6160001754760742
7,french,indonesians,1912,383,-1.9361591339111328,-1.1385854482650757,0.7975736856460571
8,french,indonesians,1303,1793,-1.5238687992095947,-0.8466958999633789,0.6771728992462158
9,french,indonesians,1085,523,-1.7760924100875854,-1.039690613746643,0.7364017963409424
10,french,indonesians,1582,1845,-1.7731761932373047,-1.2517173290252686,0.5214588642120361
11,french,indonesians,1362,1172,-1.695465326309204,-1.3163299560546875,0.3791353702545166
12,french,indonesians,1072,1502,-1.591953992843628,-1.1978858709335327,0.3940681219100952
13,french,indonesians,748,1530,-1.5939821004867554,-1.0931317806243896,0.5008503198623657
14,french,indonesians,1128,673,-1.8453174829483032,-1.1869133710861206,0.6584041118621826
15,french,indonesians,1844,841,-1.8584434986114502,-1.2273931503295898,0.6310503482818604
16,french,indonesians,485,712,-1.7639373540878296,-1.1284481287002563,0.6354892253875732
17,french,indonesians,1024,497,-1.4973012208938599,-0.9144153594970703,0.5828858613967896
18,french,indonesians,151,1344,-1.6689945459365845,-1.1239415407180786,0.5450530052185059
19,french,indonesians,769,826,-1.636207938194275,-1.2149534225463867,0.4212545156478882
20,french,indonesians,1332,622,-1.8772448301315308,-0.9923367500305176,0.8849080801010132
21,french,indonesians,1043,519,-1.749261498451233,-1.098054051399231,0.651207447052002
22,french,indonesians,741,816,-1.5376354455947876,-1.1953076124191284,0.3423278331756592
23,french,indonesians,1393,1810,-1.7730438709259033,-1.2730478048324585,0.4999960660934448
24,french,indonesians,669,1173,-1.4288334846496582,-1.1386712789535522,0.29016220569610596
25,french,indonesians,1839,482,-1.8408489227294922,-1.119299054145813,0.7215498685836792
26,french,indonesians,994,945,-1.6073124408721924,-1.1276930570602417,0.4796193838119507
27,french,indonesians,240,1512,-1.952246069908142,-1.3259590864181519,0.6262869834899902
28,french,indonesians,85,962,-1.697336196899414,-1.1584539413452148,0.5388822555541992
29,french,indonesians,487,281,-1.674035906791687,-1.01886785030365,0.6551680564880371
30,french,indonesians,364,1856,-1.5546187162399292,-1.1792218685150146,0.37539684772491455
31,french,indonesians,670,604,-1.6074609756469727,-1.1267788410186768,0.4806821346282959
32,french,indonesians,1719,1390,-1.5892406702041626,-1.4004968404769897,0.18874382972717285
33,french,indonesians,920,517,-1.6044466495513916,-1.080146074295044,0.5243005752563477
34,french,indonesians,1665,661,-1.8690159320831299,-1.0483922958374023,0.8206236362457275
35,french,indonesians,1699,15,-2.0596768856048584,-1.2705811262130737,0.7890957593917847
36,french,indonesians,1153,1809,-1.6837657690048218,-1.1563682556152344,0.5273975133895874
37,french,indonesians,239,1881,-1.7173374891281128,-1.1913923025131226,0.5259451866149902
38,french,indonesians,1877,1980,-1.9737313985824585,-1.3245905637741089,0.6491408348083496
39,french,indonesians,1425,1491,-1.6910098791122437,-1.1770156621932983,0.5139942169189453
40,french,indonesians,539,288,-1.696832299232483,-0.9898589253425598,0.7069733738899231
41,french,indonesians,710,1148,-1.5417063236236572,-1.105258822441101,0.43644750118255615
42,french,indonesians,1696,19,-1.944960594177246,-1.2247744798660278,0.7201861143112183
43,french,indonesians,411,22,-1.8458505868911743,-1.2360321283340454,0.6098184585571289
44,french,indonesians,1650,1367,-1.6331787109375,-1.2791372537612915,0.3540414571762085
45,french,indonesians,505,407,-1.6662094593048096,-1.0625016689300537,0.6037077903747559
46,french,indonesians,517,93,-1.7623478174209595,-1.0310572385787964,0.7312905788421631
47,french,indonesians,1971,1678,-1.4388309717178345,-0.980442225933075,0.4583887457847595
48,french,indonesians,143,780,-1.8562530279159546,-1.1949455738067627,0.6613074541091919
49,french,indonesians,26,204,-1.7361013889312744,-1.1557492017745972,0.5803521871566772
