,group1,group2,num_group1,num_group2,preference_group1,preference_group2,preference_diff
0,germans,iranians,509,742,-1.2576725482940674,-1.0956333875656128,0.1620391607284546
1,germans,iranians,516,1393,-1.3010988235473633,-1.0239356756210327,0.27716314792633057
2,germans,iranians,1300,577,-1.3271242380142212,-1.0292747020721436,0.29784953594207764
3,germans,iranians,1074,1219,-1.2228277921676636,-0.9403164982795715,0.28251129388809204
4,germans,iranians,1315,556,-1.4515085220336914,-1.0391731262207031,0.4123353958129883
5,germans,iranians,763,1074,-1.2195137739181519,-0.9846695065498352,0.23484426736831665
6,germans,iranians,874,491,-1.4806517362594604,-1.1756401062011719,0.3050116300582886
7,germans,iranians,1160,1063,-1.3247098922729492,-1.0930392742156982,0.23167061805725098
8,germans,iranians,764,1421,-1.3010478019714355,-0.8558759689331055,0.4451718330383301
9,germans,iranians,1879,129,-1.7602256536483765,-1.357592225074768,0.4026334285736084
10,germans,iranians,311,460,-1.3280972242355347,-1.1103957891464233,0.21770143508911133
11,germans,iranians,737,735,-0.8917446136474609,-0.9080935716629028,-0.016348958015441895
12,germans,iranians,894,292,-1.4737917184829712,-1.1345171928405762,0.339274525642395
13,germans,iranians,489,400,-1.663275122642517,-1.1804182529449463,0.4828568696975708
14,germans,iranians,1918,1065,-1.534553050994873,-1.2924925088882446,0.24206054210662842
15,germans,iranians,1795,993,-1.666365623474121,-1.2493094205856323,0.41705620288848877
16,germans,iranians,1119,1276,-1.2112380266189575,-0.8809467554092407,0.3302912712097168
17,germans,iranians,524,68,-1.662561058998108,-1.1788294315338135,0.48373162746429443
18,germans,iranians,852,258,-1.563623309135437,-1.255263328552246,0.3083599805831909
19,germans,iranians,1440,1885,-1.5962668657302856,-1.0226463079452515,0.5736205577850342
20,germans,iranians,522,691,-1.3024637699127197,-1.0870916843414307,0.21537208557128906
21,germans,iranians,913,416,-1.3849503993988037,-1.2032374143600464,0.18171298503875732
22,germans,iranians,1946,1925,-0.8116390109062195,-0.679259181022644,0.13237982988357544
23,germans,iranians,935,102,-1.480604648590088,-1.0669320821762085,0.4136725664138794
24,germans,iranians,1128,804,-1.410271167755127,-0.9331203699111938,0.4771507978439331
25,germans,iranians,739,567,-1.3332122564315796,-1.0432862043380737,0.28992605209350586
26,germans,iranians,724,12,-1.5877774953842163,-1.0286314487457275,0.5591460466384888
27,germans,iranians,1924,428,-1.907434105873108,-1.2594432830810547,0.6479908227920532
28,germans,iranians,361,1948,-1.3500689268112183,-1.0728660821914673,0.277202844619751
29,germans,iranians,1043,48,-1.6013103723526,-0.9550897479057312,0.6462206244468689
30,germans,iranians,662,331,-1.2307385206222534,-0.9044410586357117,0.32629746198654175
31,germans,iranians,828,1839,-1.1615551710128784,-1.0300129652023315,0.13154220581054688
32,germans,iranians,1685,1615,-1.4256236553192139,-1.1674280166625977,0.2581956386566162
33,germans,iranians,1876,997,-1.6116249561309814,-1.2499302625656128,0.36169469356536865
34,germans,iranians,185,1819,-1.6655861139297485,-1.2130231857299805,0.45256292819976807
35,germans,iranians,266,530,-1.212598204612732,-0.952701985836029,0.2598962187767029
36,germans,iranians,809,1488,-1.4977930784225464,-1.0010783672332764,0.49671471118927
37,germans,iranians,1520,255,-1.569757342338562,-1.1733859777450562,0.39637136459350586
38,germans,iranians,1292,1907,-1.2308472394943237,-0.8608402609825134,0.3700069785118103
39,germans,iranians,824,585,-1.4647563695907593,-1.1618876457214355,0.30286872386932373
40,germans,iranians,940,1308,-1.1488102674484253,-0.8649113774299622,0.28389889001846313
41,germans,iranians,300,1905,-1.3619498014450073,-1.0961097478866577,0.2658400535583496
42,germans,iranians,1055,770,-1.6093486547470093,-1.0999377965927124,0.5094108581542969
43,germans,iranians,1999,1647,-1.3139266967773438,-0.9923116564750671,0.3216150403022766
44,germans,iranians,631,1027,-1.3456043004989624,-1.025045394897461,0.32055890560150146
45,germans,iranians,112,651,-1.4015787839889526,-1.0984059572219849,0.3031728267669678
46,germans,iranians,767,829,-1.1948298215866089,-1.0154303312301636,0.1793994903564453
47,germans,iranians,1365,1559,-1.3651001453399658,-1.1330571174621582,0.23204302787780762
48,germans,iranians,1293,1558,-1.2191468477249146,-0.9438230395317078,0.2753238081932068
49,germans,iranians,987,611,-1.5929025411605835,-1.2861849069595337,0.3067176342010498
