,group1,group2,num_group1,num_group2,preference_group1,preference_group2,preference_diff
0,indonesians,ukrainians,776,1130,-1.3985297679901123,-1.0941383838653564,0.30439138412475586
1,indonesians,ukrainians,336,966,-1.0916926860809326,-0.912942111492157,0.17875057458877563
2,indonesians,ukrainians,1261,250,-1.415876030921936,-1.022477149963379,0.39339888095855713
3,indonesians,ukrainians,1443,272,-1.566311240196228,-1.0593957901000977,0.5069154500961304
4,indonesians,ukrainians,1748,1114,-1.3737140893936157,-1.171395182609558,0.20231890678405762
5,indonesians,ukrainians,1091,1301,-1.5828546285629272,-1.0330744981765747,0.5497801303863525
6,indonesians,ukrainians,435,1026,-1.273321509361267,-0.8595698475837708,0.41375166177749634
7,indonesians,ukrainians,139,225,-1.3378340005874634,-1.0266406536102295,0.3111933469772339
8,indonesians,ukrainians,1616,82,-1.6644130945205688,-1.1674617528915405,0.4969513416290283
9,indonesians,ukrainians,1017,1502,-1.6624977588653564,-1.0597373247146606,0.6027604341506958
10,indonesians,ukrainians,120,1457,-1.0830479860305786,-0.7483879923820496,0.33465999364852905
11,indonesians,ukrainians,16,714,-0.8853054046630859,-0.5098626017570496,0.3754428029060364
12,indonesians,ukrainians,321,989,-1.1684716939926147,-0.9235536456108093,0.24491804838180542
13,indonesians,ukrainians,617,1163,-1.2554324865341187,-1.1305807828903198,0.12485170364379883
14,indonesians,ukrainians,1492,602,-1.5082634687423706,-1.2276077270507812,0.28065574169158936
15,indonesians,ukrainians,1963,1219,-1.135823130607605,-1.0592235326766968,0.0765995979309082
16,indonesians,ukrainians,833,1826,-1.6059658527374268,-1.2325772047042847,0.3733886480331421
17,indonesians,ukrainians,1439,501,-1.4444081783294678,-1.0129637718200684,0.4314444065093994
18,indonesians,ukrainians,1957,1563,-1.2012745141983032,-0.8526265025138855,0.3486480116844177
19,indonesians,ukrainians,1258,1413,-1.419796347618103,-1.0872466564178467,0.33254969120025635
20,indonesians,ukrainians,181,172,-1.1324070692062378,-1.2028342485427856,-0.07042717933654785
21,indonesians,ukrainians,113,1630,-1.0365302562713623,-0.593315839767456,0.44321441650390625
22,indonesians,ukrainians,1232,171,-1.4512089490890503,-0.9455504417419434,0.5056585073471069
23,indonesians,ukrainians,164,385,-1.2373446226119995,-0.9361624121665955,0.30118221044540405
24,indonesians,ukrainians,722,71,-1.353789210319519,-0.955048680305481,0.3987405300140381
25,indonesians,ukrainians,597,580,-1.3599884510040283,-1.235307216644287,0.12468123435974121
26,indonesians,ukrainians,1637,20,-1.247025728225708,-0.6978610157966614,0.5491647124290466
27,indonesians,ukrainians,1275,572,-1.701634407043457,-1.0620957612991333,0.6395386457443237
28,indonesians,ukrainians,829,1882,-1.3225839138031006,-1.0149967670440674,0.3075871467590332
29,indonesians,ukrainians,1202,1486,-1.3897088766098022,-1.0271528959274292,0.36255598068237305
30,indonesians,ukrainians,1046,1289,-1.5686343908309937,-1.014647364616394,0.5539870262145996
31,indonesians,ukrainians,1534,571,-1.5540279150009155,-1.1285079717636108,0.4255199432373047
32,indonesians,ukrainians,85,1375,-1.1723401546478271,-0.827653706073761,0.34468644857406616
33,indonesians,ukrainians,1430,201,-1.5251600742340088,-1.000133991241455,0.5250260829925537
34,indonesians,ukrainians,619,3,-1.1502941846847534,-0.7792782187461853,0.3710159659385681
35,indonesians,ukrainians,132,1158,-1.1887744665145874,-1.0001333951950073,0.18864107131958008
36,indonesians,ukrainians,1492,700,-1.3379477262496948,-1.089516520500183,0.24843120574951172
37,indonesians,ukrainians,1899,1267,-1.430899977684021,-1.1808128356933594,0.2500871419906616
38,indonesians,ukrainians,1151,715,-1.5176328420639038,-1.0172176361083984,0.5004152059555054
39,indonesians,ukrainians,1715,1122,-1.4388315677642822,-1.2428163290023804,0.19601523876190186
40,indonesians,ukrainians,213,1247,-1.3919343948364258,-0.9993905425071716,0.39254385232925415
41,indonesians,ukrainians,1230,1150,-1.287553310394287,-1.1557897329330444,0.13176357746124268
42,indonesians,ukrainians,531,1401,-1.3264048099517822,-1.050458312034607,0.2759464979171753
43,indonesians,ukrainians,549,1663,-1.2749805450439453,-1.0690726041793823,0.205907940864563
44,indonesians,ukrainians,97,1537,-1.0054240226745605,-0.7827817797660828,0.22264224290847778
45,indonesians,ukrainians,724,243,-1.2959976196289062,-0.9456769227981567,0.3503206968307495
46,indonesians,ukrainians,725,1142,-1.355226755142212,-1.0661146640777588,0.2891120910644531
47,indonesians,ukrainians,896,381,-1.360707402229309,-1.0364983081817627,0.3242090940475464
48,indonesians,ukrainians,1839,1064,-1.3900173902511597,-1.0671967267990112,0.32282066345214844
49,indonesians,ukrainians,1723,1154,-1.4683634042739868,-1.2032216787338257,0.26514172554016113
