,group1,group2,num_group1,num_group2,preference_group1,preference_group2,preference_diff
0,japanese,south africans,1913,1235,-1.9605745077133179,-1.5342482328414917,0.42632627487182617
1,japanese,south africans,241,1677,-1.9047670364379883,-1.1934577226638794,0.7113093137741089
2,japanese,south africans,194,72,-2.149315595626831,-1.3800280094146729,0.7692875862121582
3,japanese,south africans,1559,590,-2.110700845718384,-1.526475191116333,0.5842256546020508
4,japanese,south africans,736,455,-1.9593143463134766,-1.2510550022125244,0.7082593441009521
5,japanese,south africans,699,1194,-1.6480236053466797,-1.0723899602890015,0.5756336450576782
6,japanese,south africans,365,763,-1.570162057876587,-1.135076880455017,0.4350851774215698
7,japanese,south africans,1332,670,-1.9074687957763672,-1.2781022787094116,0.6293665170669556
8,japanese,south africans,1739,523,-1.9088973999023438,-1.2078226804733276,0.7010747194290161
9,japanese,south africans,228,1871,-2.111870527267456,-1.2947832345962524,0.8170872926712036
10,japanese,south africans,682,1104,-1.833624243736267,-1.171869158744812,0.6617550849914551
11,japanese,south africans,757,202,-1.6929512023925781,-1.312617540359497,0.38033366203308105
12,japanese,south africans,1039,1471,-1.7120236158370972,-0.959610104560852,0.7524135112762451
13,japanese,south africans,300,645,-1.7945259809494019,-1.2903454303741455,0.5041805505752563
14,japanese,south africans,234,477,-1.6463203430175781,-1.0887736082077026,0.5575467348098755
15,japanese,south africans,772,336,-1.8480743169784546,-1.2413114309310913,0.6067628860473633
16,japanese,south africans,1931,1957,-1.3034372329711914,-0.787990391254425,0.5154468417167664
17,japanese,south africans,619,904,-1.7425205707550049,-1.188063144683838,0.554457426071167
18,japanese,south africans,1532,363,-2.0274622440338135,-1.261448860168457,0.7660133838653564
19,japanese,south africans,1895,889,-2.1020963191986084,-1.4790997505187988,0.6229965686798096
20,japanese,south africans,100,196,-1.5894495248794556,-1.3420923948287964,0.24735713005065918
21,japanese,south africans,1739,755,-1.9394876956939697,-1.181782603263855,0.7577050924301147
22,japanese,south africans,1858,53,-1.855756402015686,-1.1609441041946411,0.6948122978210449
23,japanese,south africans,1376,933,-1.992884874343872,-1.3121663331985474,0.6807185411453247
24,japanese,south africans,1769,900,-1.8511425256729126,-1.1561973094940186,0.694945216178894
25,japanese,south africans,1827,1081,-1.6050480604171753,-1.4365891218185425,0.1684589385986328
26,japanese,south africans,832,1543,-1.9293831586837769,-1.425152063369751,0.5042310953140259
27,japanese,south africans,1778,1042,-1.878607153892517,-1.5187454223632812,0.35986173152923584
28,japanese,south africans,1650,1010,-1.799847960472107,-1.3766142129898071,0.4232337474822998
29,japanese,south africans,88,1147,-1.7242306470870972,-1.0752424001693726,0.6489882469177246
30,japanese,south africans,343,1180,-1.7410227060317993,-1.3525296449661255,0.38849306106567383
31,japanese,south africans,1144,1964,-1.5877712965011597,-0.9574030041694641,0.6303682923316956
32,japanese,south africans,245,1599,-1.8564926385879517,-1.0594499111175537,0.797042727470398
33,japanese,south africans,1152,1720,-1.7832615375518799,-1.2924658060073853,0.49079573154449463
34,japanese,south africans,1508,43,-1.9233700037002563,-1.1952152252197266,0.7281547784805298
35,japanese,south africans,1778,1234,-1.9482710361480713,-1.4334849119186401,0.5147861242294312
36,japanese,south africans,106,1457,-1.803458571434021,-0.9788570404052734,0.8246015310287476
37,japanese,south africans,1004,972,-1.871726632118225,-1.3225022554397583,0.5492243766784668
38,japanese,south africans,1528,468,-1.9686472415924072,-1.3469688892364502,0.621678352355957
39,japanese,south africans,1601,1174,-1.6995357275009155,-1.4580312967300415,0.24150443077087402
40,japanese,south africans,686,681,-1.6244152784347534,-1.2414846420288086,0.3829306364059448
41,japanese,south africans,1925,1014,-1.8668063879013062,-1.5822664499282837,0.28453993797302246
42,japanese,south africans,1289,812,-1.9868892431259155,-1.3792493343353271,0.6076399087905884
43,japanese,south africans,1953,978,-1.7874374389648438,-1.112876296043396,0.6745611429214478
44,japanese,south africans,163,1282,-1.8642739057540894,-1.1477478742599487,0.7165260314941406
45,japanese,south africans,1205,593,-1.7153061628341675,-1.2475355863571167,0.4677705764770508
46,japanese,south africans,899,900,-1.8385059833526611,-1.1739153861999512,0.66459059715271
47,japanese,south africans,1954,1232,-1.8865305185317993,-1.3652294874191284,0.5213010311126709
48,japanese,south africans,1303,927,-1.914323091506958,-1.2755773067474365,0.6387457847595215
49,japanese,south africans,1561,1892,-1.7602230310440063,-1.3323864936828613,0.427836537361145
