,group1,group2,num_group1,num_group2,preference_group1,preference_group2,preference_diff
0,japanese,ukrainians,689,1971,-1.6290496587753296,-0.8527708053588867,0.7762788534164429
1,japanese,ukrainians,1694,1265,-1.4418964385986328,-1.0767912864685059,0.36510515213012695
2,japanese,ukrainians,674,30,-1.9468939304351807,-1.0094835758209229,0.9374103546142578
3,japanese,ukrainians,1122,1921,-1.461214303970337,-0.9979568719863892,0.46325743198394775
4,japanese,ukrainians,1490,1944,-1.4939552545547485,-0.8246650099754333,0.6692902445793152
5,japanese,ukrainians,356,803,-1.46652090549469,-0.9760378003120422,0.4904831051826477
6,japanese,ukrainians,1168,140,-1.846091866493225,-1.0115786790847778,0.8345131874084473
7,japanese,ukrainians,156,608,-1.5697828531265259,-1.075500726699829,0.4942821264266968
8,japanese,ukrainians,1772,1382,-1.3770272731781006,-1.0630345344543457,0.3139927387237549
9,japanese,ukrainians,524,1623,-1.4464155435562134,-0.8917186856269836,0.5546968579292297
10,japanese,ukrainians,304,1101,-1.4063135385513306,-0.8812040686607361,0.5251094698905945
11,japanese,ukrainians,972,121,-1.7006292343139648,-0.9258832335472107,0.7747460007667542
12,japanese,ukrainians,1249,67,-1.6128063201904297,-0.8195139169692993,0.7932924032211304
13,japanese,ukrainians,61,269,-1.3934743404388428,-1.069997787475586,0.32347655296325684
14,japanese,ukrainians,513,634,-1.1549829244613647,-0.7923067212104797,0.362676203250885
15,japanese,ukrainians,1491,331,-1.6472927331924438,-0.9206743240356445,0.7266184091567993
16,japanese,ukrainians,1891,1725,-1.427986979484558,-0.9843433499336243,0.44364362955093384
17,japanese,ukrainians,1778,248,-1.7306770086288452,-0.9218323826789856,0.8088446259498596
18,japanese,ukrainians,180,1229,-1.6301548480987549,-0.9609325528144836,0.6692222952842712
19,japanese,ukrainians,1740,1987,-1.5007734298706055,-0.9601759314537048,0.5405974984169006
20,japanese,ukrainians,1407,1099,-1.4993709325790405,-1.0766152143478394,0.42275571823120117
21,japanese,ukrainians,279,671,-1.5097750425338745,-0.8698887228965759,0.6398863196372986
22,japanese,ukrainians,1735,1214,-1.3720120191574097,-1.0459293127059937,0.326082706451416
23,japanese,ukrainians,1170,384,-1.7065857648849487,-0.9853923916816711,0.7211933732032776
24,japanese,ukrainians,490,1734,-1.3559964895248413,-0.788783073425293,0.5672134160995483
25,japanese,ukrainians,1945,559,-1.9623804092407227,-1.0138523578643799,0.9485280513763428
26,japanese,ukrainians,312,1919,-1.8110607862472534,-1.302573561668396,0.5084872245788574
27,japanese,ukrainians,804,102,-1.764616847038269,-1.0060375928878784,0.7585792541503906
28,japanese,ukrainians,125,1712,-1.5165685415267944,-0.9511700868606567,0.5653984546661377
29,japanese,ukrainians,1368,1181,-1.5030819177627563,-1.229706048965454,0.27337586879730225
30,japanese,ukrainians,1186,616,-1.6156145334243774,-0.8177129626274109,0.7979015707969666
31,japanese,ukrainians,1935,137,-1.8984994888305664,-0.9743087887763977,0.9241907000541687
32,japanese,ukrainians,1755,30,-2.0547428131103516,-1.135453462600708,0.9192893505096436
33,japanese,ukrainians,1761,1977,-1.539110779762268,-0.9081888198852539,0.6309219598770142
34,japanese,ukrainians,430,1936,-1.6119043827056885,-0.87284916639328,0.7390552163124084
35,japanese,ukrainians,839,1573,-1.4129961729049683,-0.97645503282547,0.4365411400794983
36,japanese,ukrainians,56,1990,-1.5921603441238403,-1.1530838012695312,0.4390765428543091
37,japanese,ukrainians,566,692,-1.4950661659240723,-1.0296614170074463,0.465404748916626
38,japanese,ukrainians,474,867,-1.4817008972167969,-0.9205226898193359,0.5611782073974609
39,japanese,ukrainians,934,1104,-1.499728798866272,-0.8630914688110352,0.6366373300552368
40,japanese,ukrainians,1768,194,-1.5623048543930054,-0.8454136252403259,0.7168912291526794
41,japanese,ukrainians,498,1358,-1.4345625638961792,-0.8026996850967407,0.6318628787994385
42,japanese,ukrainians,1219,1108,-1.2672570943832397,-0.9390882849693298,0.3281688094139099
43,japanese,ukrainians,1029,1970,-1.8052695989608765,-1.1786442995071411,0.6266252994537354
44,japanese,ukrainians,1727,1939,-1.517824649810791,-0.7239864468574524,0.7938382029533386
45,japanese,ukrainians,1125,653,-1.6968367099761963,-1.0548641681671143,0.641972541809082
46,japanese,ukrainians,873,1882,-1.4584274291992188,-0.9095473289489746,0.5488801002502441
47,japanese,ukrainians,272,1641,-1.611712098121643,-0.9760918021202087,0.6356202960014343
48,japanese,ukrainians,343,781,-1.155421257019043,-0.8768386840820312,0.2785825729370117
49,japanese,ukrainians,1758,1562,-1.388683795928955,-0.9553535580635071,0.433330237865448
