,group1,group2,num_group1,num_group2,preference_group1,preference_group2,preference_diff
0,mexicans,filipinos,1515,208,-1.5809496641159058,-1.0671948194503784,0.5137548446655273
1,mexicans,filipinos,695,454,-1.3111505508422852,-0.8812742233276367,0.42987632751464844
2,mexicans,filipinos,1758,893,-1.4613627195358276,-0.8207152485847473,0.6406474709510803
3,mexicans,filipinos,1406,1906,-1.6341240406036377,-0.9512495398521423,0.6828745007514954
4,mexicans,filipinos,1638,1173,-1.3319991827011108,-0.9403305053710938,0.3916686773300171
5,mexicans,filipinos,1010,514,-1.507299780845642,-0.9886471629142761,0.518652617931366
6,mexicans,filipinos,23,353,-1.3571586608886719,-1.1535497903823853,0.20360887050628662
7,mexicans,filipinos,1823,397,-1.4596143960952759,-0.8366164565086365,0.6229979395866394
8,mexicans,filipinos,665,1781,-1.2497622966766357,-0.821757435798645,0.4280048608779907
9,mexicans,filipinos,463,1658,-1.1558431386947632,-0.8485016226768494,0.3073415160179138
10,mexicans,filipinos,1095,1428,-1.5152946710586548,-0.7508554458618164,0.7644392251968384
11,mexicans,filipinos,848,1004,-1.2490766048431396,-0.900069534778595,0.3490070700645447
12,mexicans,filipinos,1782,78,-1.4820520877838135,-0.8077117800712585,0.6743403077125549
13,mexicans,filipinos,124,1733,-1.3674122095108032,-0.9729771018028259,0.3944351077079773
14,mexicans,filipinos,1365,272,-1.500450849533081,-0.8078259825706482,0.6926248669624329
15,mexicans,filipinos,521,869,-1.2683247327804565,-0.7929893732070923,0.47533535957336426
16,mexicans,filipinos,738,1818,-1.0034292936325073,-0.8513469696044922,0.15208232402801514
17,mexicans,filipinos,239,880,-1.211992621421814,-0.7316436171531677,0.48034900426864624
18,mexicans,filipinos,540,1811,-1.1707113981246948,-0.8700622916221619,0.30064910650253296
19,mexicans,filipinos,1510,181,-1.4287203550338745,-0.8090811967849731,0.6196391582489014
20,mexicans,filipinos,1120,1119,-1.0870312452316284,-0.861689031124115,0.22534221410751343
21,mexicans,filipinos,766,1037,-1.2729358673095703,-0.6806337237358093,0.592302143573761
22,mexicans,filipinos,776,1523,-1.366331696510315,-0.8449922800064087,0.5213394165039062
23,mexicans,filipinos,1443,822,-1.6069649457931519,-0.814330518245697,0.7926344275474548
24,mexicans,filipinos,1526,1651,-1.4556020498275757,-0.8274151682853699,0.6281868815422058
25,mexicans,filipinos,796,461,-1.3608660697937012,-0.7504920363426208,0.6103740334510803
26,mexicans,filipinos,1463,241,-1.3585071563720703,-0.862591564655304,0.49591559171676636
27,mexicans,filipinos,1637,650,-1.369545578956604,-0.8672224283218384,0.5023231506347656
28,mexicans,filipinos,1498,1338,-1.2140363454818726,-0.9086020588874817,0.30543428659439087
29,mexicans,filipinos,1894,1834,-1.490153431892395,-0.8684219717979431,0.6217314600944519
30,mexicans,filipinos,1276,1583,-1.4275673627853394,-0.8240748643875122,0.6034924983978271
31,mexicans,filipinos,358,914,-1.2310973405838013,-0.8998628854751587,0.3312344551086426
32,mexicans,filipinos,388,1,-1.4560892581939697,-1.4979207515716553,-0.04183149337768555
33,mexicans,filipinos,1523,915,-1.5119341611862183,-0.921184241771698,0.5907499194145203
34,mexicans,filipinos,644,463,-1.18532395362854,-0.8704735636711121,0.314850389957428
35,mexicans,filipinos,1561,282,-1.32767915725708,-0.8365654349327087,0.49111372232437134
36,mexicans,filipinos,1960,7,-1.6791479587554932,-0.7787870764732361,0.9003608822822571
37,mexicans,filipinos,278,1721,-1.3716700077056885,-0.8170524835586548,0.5546175241470337
38,mexicans,filipinos,1061,945,-1.1770638227462769,-0.7850392460823059,0.39202457666397095
39,mexicans,filipinos,1187,847,-1.397115707397461,-0.8291002511978149,0.568015456199646
40,mexicans,filipinos,487,989,-1.306827425956726,-0.8787637948989868,0.42806363105773926
41,mexicans,filipinos,1177,716,-1.3802449703216553,-0.8525938987731934,0.5276510715484619
42,mexicans,filipinos,958,861,-1.115337610244751,-0.8804526329040527,0.23488497734069824
43,mexicans,filipinos,584,961,-1.2559279203414917,-0.7439667582511902,0.5119611620903015
44,mexicans,filipinos,1668,828,-1.504498839378357,-0.8282172083854675,0.6762816309928894
45,mexicans,filipinos,145,1081,-1.4518646001815796,-1.0655025243759155,0.38636207580566406
46,mexicans,filipinos,274,766,-1.332742691040039,-0.9555351138114929,0.37720757722854614
47,mexicans,filipinos,47,108,-1.304235816001892,-0.7674251794815063,0.5368106365203857
48,mexicans,filipinos,381,188,-1.3421478271484375,-0.9546632766723633,0.3874845504760742
49,mexicans,filipinos,688,1671,-1.2578338384628296,-0.9578424692153931,0.2999913692474365
