,group1,group2,num_group1,num_group2,preference_group1,preference_group2,preference_diff
0,mexicans,indonesians,326,1530,-1.3455473184585571,-0.8768275380134583,0.4687197804450989
1,mexicans,indonesians,856,1502,-1.2780343294143677,-0.8236690759658813,0.45436525344848633
2,mexicans,indonesians,218,1114,-1.4411646127700806,-0.9369854927062988,0.5041791200637817
3,mexicans,indonesians,1631,1948,-1.473790168762207,-0.7421538233757019,0.7316363453865051
4,mexicans,indonesians,1985,1546,-1.48171067237854,-1.131865382194519,0.349845290184021
5,mexicans,indonesians,1082,1265,-1.6245931386947632,-0.8413136601448059,0.7832794785499573
6,mexicans,indonesians,1244,516,-1.5119249820709229,-0.9263057708740234,0.5856192111968994
7,mexicans,indonesians,1041,1088,-1.6279032230377197,-0.9157938957214355,0.7121093273162842
8,mexicans,indonesians,1104,1525,-1.605857253074646,-0.8852161765098572,0.7206410765647888
9,mexicans,indonesians,1942,137,-1.3774219751358032,-0.9467493295669556,0.43067264556884766
10,mexicans,indonesians,1268,714,-1.6113464832305908,-0.7020859122276306,0.9092605710029602
11,mexicans,indonesians,1476,309,-1.6640223264694214,-0.8908942341804504,0.773128092288971
12,mexicans,indonesians,1945,38,-1.3508989810943604,-0.8981860280036926,0.4527129530906677
13,mexicans,indonesians,1589,920,-1.515566110610962,-0.8363092541694641,0.6792568564414978
14,mexicans,indonesians,956,526,-1.323746681213379,-1.0314849615097046,0.2922617197036743
15,mexicans,indonesians,880,483,-1.1441400051116943,-0.783925473690033,0.3602145314216614
16,mexicans,indonesians,552,732,-1.244177222251892,-0.8397611975669861,0.404416024684906
17,mexicans,indonesians,1758,1056,-1.4764928817749023,-0.9377906918525696,0.5387021899223328
18,mexicans,indonesians,1017,1513,-1.5898187160491943,-0.8839967846870422,0.7058219313621521
19,mexicans,indonesians,91,1529,-1.4861032962799072,-1.0920919179916382,0.39401137828826904
20,mexicans,indonesians,1725,1237,-1.5010536909103394,-0.9280519485473633,0.5730017423629761
21,mexicans,indonesians,1833,1701,-1.5286998748779297,-0.9444389343261719,0.5842609405517578
22,mexicans,indonesians,1498,254,-1.4860414266586304,-0.8495410084724426,0.6365004181861877
23,mexicans,indonesians,1969,1931,-1.1533048152923584,-0.9210058450698853,0.23229897022247314
24,mexicans,indonesians,629,426,-1.1262954473495483,-0.9146241545677185,0.21167129278182983
25,mexicans,indonesians,868,580,-1.4135277271270752,-0.9099216461181641,0.5036060810089111
26,mexicans,indonesians,566,801,-1.2812379598617554,-0.8624483942985535,0.4187895655632019
27,mexicans,indonesians,363,1512,-1.147749900817871,-0.9369574785232544,0.2107924222946167
28,mexicans,indonesians,1419,1009,-1.4445167779922485,-1.0608960390090942,0.3836207389831543
29,mexicans,indonesians,684,676,-1.2311689853668213,-0.8154099583625793,0.41575902700424194
30,mexicans,indonesians,933,1876,-1.2184841632843018,-0.6754553914070129,0.5430287718772888
31,mexicans,indonesians,1570,1752,-1.720436692237854,-0.9640721678733826,0.7563645243644714
32,mexicans,indonesians,1357,1937,-1.2864789962768555,-0.7997092604637146,0.48676973581314087
33,mexicans,indonesians,431,358,-1.4150117635726929,-0.8975462317466736,0.5174655318260193
34,mexicans,indonesians,1279,1618,-1.6514698266983032,-0.7497156858444214,0.9017541408538818
35,mexicans,indonesians,607,723,-1.2535618543624878,-0.8739790916442871,0.3795827627182007
36,mexicans,indonesians,362,603,-1.1412829160690308,-0.866022527217865,0.27526038885116577
37,mexicans,indonesians,524,1357,-1.475812554359436,-0.7250617742538452,0.7507507801055908
38,mexicans,indonesians,1300,1334,-1.3906950950622559,-0.8487809300422668,0.541914165019989
39,mexicans,indonesians,1475,617,-1.5345079898834229,-0.786544919013977,0.7479630708694458
40,mexicans,indonesians,1363,1488,-1.219694972038269,-0.8261967897415161,0.39349818229675293
41,mexicans,indonesians,426,202,-1.3617632389068604,-0.8389790654182434,0.5227841734886169
42,mexicans,indonesians,410,65,-1.5176231861114502,-0.940389096736908,0.5772340893745422
43,mexicans,indonesians,234,315,-1.43624746799469,-0.8343103528022766,0.6019371151924133
44,mexicans,indonesians,1919,527,-1.5642396211624146,-0.9673353433609009,0.5969042778015137
45,mexicans,indonesians,348,1969,-1.1506564617156982,-0.6233110427856445,0.5273454189300537
46,mexicans,indonesians,917,1952,-1.2734671831130981,-0.7285749912261963,0.5448921918869019
47,mexicans,indonesians,367,230,-1.3790110349655151,-1.062099814414978,0.3169112205505371
48,mexicans,indonesians,1365,1304,-1.6182526350021362,-1.171334147453308,0.4469184875488281
49,mexicans,indonesians,1790,593,-1.5204963684082031,-0.8024164438247681,0.7180799245834351
