,group1,group2,num_group1,num_group2,preference_group1,preference_group2,preference_diff
0,nigerians,israelis,924,720,-1.2117732763290405,-1.0963828563690186,0.11539041996002197
1,nigerians,israelis,1111,834,-1.173122763633728,-1.1110666990280151,0.06205606460571289
2,nigerians,israelis,1741,846,-1.3221439123153687,-1.1076771020889282,0.21446681022644043
3,nigerians,israelis,1361,1197,-1.1038546562194824,-1.3800486326217651,-0.2761939764022827
4,nigerians,israelis,150,1433,-1.501853108406067,-1.0955240726470947,0.40632903575897217
5,nigerians,israelis,1544,1471,-0.9592768549919128,-1.0727018117904663,-0.11342495679855347
6,nigerians,israelis,878,848,-0.9747695922851562,-1.1100332736968994,-0.13526368141174316
7,nigerians,israelis,1846,197,-1.237855315208435,-1.0311548709869385,0.20670044422149658
8,nigerians,israelis,37,1593,-1.1573553085327148,-0.9813444018363953,0.17601090669631958
9,nigerians,israelis,209,1842,-1.3127696514129639,-0.9687026143074036,0.3440670371055603
10,nigerians,israelis,422,632,-1.2651774883270264,-1.1752451658248901,0.08993232250213623
11,nigerians,israelis,1991,1202,-1.1924437284469604,-1.159218430519104,0.033225297927856445
12,nigerians,israelis,1453,651,-1.1413044929504395,-0.9830681681632996,0.1582363247871399
13,nigerians,israelis,617,862,-1.2512404918670654,-1.3523811101913452,-0.10114061832427979
14,nigerians,israelis,70,853,-1.1762689352035522,-1.143446445465088,0.032822489738464355
15,nigerians,israelis,1811,1010,-1.09965980052948,-1.277602195739746,-0.1779423952102661
16,nigerians,israelis,248,166,-1.4674564599990845,-1.3667634725570679,0.1006929874420166
17,nigerians,israelis,682,1347,-1.3171178102493286,-1.3654617071151733,-0.04834389686584473
18,nigerians,israelis,1907,1745,-0.9859607815742493,-1.1767598390579224,-0.1907990574836731
19,nigerians,israelis,962,1493,-1.1582326889038086,-1.0808653831481934,0.07736730575561523
20,nigerians,israelis,1037,1589,-1.2057695388793945,-1.1153191328048706,0.09045040607452393
21,nigerians,israelis,589,1981,-1.1704121828079224,-1.172987937927246,-0.0025757551193237305
22,nigerians,israelis,731,840,-1.124154806137085,-1.1866637468338013,-0.06250894069671631
23,nigerians,israelis,1714,1068,-1.0204814672470093,-1.148525357246399,-0.12804388999938965
24,nigerians,israelis,1511,827,-1.2136573791503906,-0.9768964648246765,0.2367609143257141
25,nigerians,israelis,1268,167,-1.1791108846664429,-1.0071029663085938,0.17200791835784912
26,nigerians,israelis,190,696,-1.6617634296417236,-1.2838833332061768,0.3778800964355469
27,nigerians,israelis,439,820,-1.1429643630981445,-1.1565637588500977,-0.013599395751953125
28,nigerians,israelis,384,1180,-1.4434810876846313,-1.20403254032135,0.23944854736328125
29,nigerians,israelis,758,72,-1.3807148933410645,-0.9245428442955017,0.45617204904556274
30,nigerians,israelis,128,590,-1.4322619438171387,-1.19217050075531,0.2400914430618286
31,nigerians,israelis,855,311,-1.4049276113510132,-1.1927047967910767,0.21222281455993652
32,nigerians,israelis,1910,1658,-1.1395612955093384,-1.370958685874939,-0.23139739036560059
33,nigerians,israelis,902,412,-1.1345183849334717,-1.1534814834594727,-0.018963098526000977
34,nigerians,israelis,346,1353,-1.2898181676864624,-1.109014630317688,0.18080353736877441
35,nigerians,israelis,184,702,-1.5273420810699463,-1.315657138824463,0.2116849422454834
36,nigerians,israelis,611,631,-1.2606830596923828,-1.2128419876098633,0.04784107208251953
37,nigerians,israelis,1649,1449,-1.1135942935943604,-1.1925026178359985,-0.07890832424163818
38,nigerians,israelis,165,1249,-1.3430982828140259,-1.1201618909835815,0.22293639183044434
39,nigerians,israelis,1091,719,-1.3748292922973633,-1.0350021123886108,0.33982717990875244
40,nigerians,israelis,456,582,-1.2675361633300781,-1.273887276649475,-0.006351113319396973
41,nigerians,israelis,1715,1105,-1.1188535690307617,-1.2065527439117432,-0.08769917488098145
42,nigerians,israelis,1256,640,-1.1480700969696045,-0.9781500697135925,0.16992002725601196
43,nigerians,israelis,950,1256,-1.254159927368164,-0.9828714728355408,0.2712884545326233
44,nigerians,israelis,147,1410,-1.4699982404708862,-1.0622798204421997,0.4077184200286865
45,nigerians,israelis,645,632,-1.1326254606246948,-0.999183177947998,0.13344228267669678
46,nigerians,israelis,935,263,-1.4231557846069336,-1.2681210041046143,0.15503478050231934
47,nigerians,israelis,1799,1523,-0.8956605792045593,-1.193978190422058,-0.2983176112174988
48,nigerians,israelis,1686,1158,-1.158133625984192,-1.305202841758728,-0.14706921577453613
49,nigerians,israelis,1225,1992,-1.1706173419952393,-1.0430883169174194,0.12752902507781982
