,group1,group2,num_group1,num_group2,preference_group1,preference_group2,preference_diff
0,nigerians,palestinians,1658,841,-1.278799057006836,-1.0383676290512085,0.24043142795562744
1,nigerians,palestinians,1550,1905,-1.4149690866470337,-0.9946857690811157,0.42028331756591797
2,nigerians,palestinians,1435,969,-1.4899462461471558,-1.0707107782363892,0.4192354679107666
3,nigerians,palestinians,153,465,-1.425966501235962,-1.1393126249313354,0.28665387630462646
4,nigerians,palestinians,1402,866,-1.2234916687011719,-1.127428650856018,0.09606301784515381
5,nigerians,palestinians,1988,346,-1.5623525381088257,-1.4258968830108643,0.13645565509796143
6,nigerians,palestinians,339,446,-1.2142254114151,-1.175696611404419,0.03852880001068115
7,nigerians,palestinians,580,1050,-1.5048322677612305,-1.161818504333496,0.3430137634277344
8,nigerians,palestinians,1331,318,-1.1648027896881104,-0.8997394442558289,0.2650633454322815
9,nigerians,palestinians,1703,50,-1.1482267379760742,-0.9807815551757812,0.16744518280029297
10,nigerians,palestinians,477,102,-1.289652705192566,-1.0326026678085327,0.2570500373840332
11,nigerians,palestinians,686,1569,-1.219161868095398,-1.0681378841400146,0.1510239839553833
12,nigerians,palestinians,1373,321,-0.8793286681175232,-0.8651944994926453,0.01413416862487793
13,nigerians,palestinians,633,1191,-1.524210810661316,-1.1352674961090088,0.38894331455230713
14,nigerians,palestinians,1746,982,-1.0546672344207764,-0.9276501536369324,0.127017080783844
15,nigerians,palestinians,894,777,-1.2456836700439453,-0.9807460904121399,0.2649375796318054
16,nigerians,palestinians,1483,295,-1.3167916536331177,-0.9655413627624512,0.3512502908706665
17,nigerians,palestinians,1024,8,-1.1939122676849365,-0.9903214573860168,0.20359081029891968
18,nigerians,palestinians,1941,884,-1.1801159381866455,-1.105267882347107,0.07484805583953857
19,nigerians,palestinians,1096,1206,-1.1976293325424194,-1.0457993745803833,0.15182995796203613
20,nigerians,palestinians,1753,1745,-0.8472062945365906,-1.052901268005371,-0.20569497346878052
21,nigerians,palestinians,651,1331,-1.3513206243515015,-1.0987510681152344,0.2525695562362671
22,nigerians,palestinians,624,564,-1.2230594158172607,-1.1308077573776245,0.09225165843963623
23,nigerians,palestinians,29,442,-1.1797722578048706,-1.012359380722046,0.1674128770828247
24,nigerians,palestinians,737,470,-1.0016692876815796,-0.9561014175415039,0.045567870140075684
25,nigerians,palestinians,1729,55,-1.1017135381698608,-0.8732391595840454,0.22847437858581543
26,nigerians,palestinians,393,294,-1.099765658378601,-1.0162876844406128,0.08347797393798828
27,nigerians,palestinians,1151,949,-1.2936594486236572,-1.1449559926986694,0.1487034559249878
28,nigerians,palestinians,407,1436,-1.4056543111801147,-1.1551927328109741,0.2504615783691406
29,nigerians,palestinians,469,685,-1.2016971111297607,-0.9804717898368835,0.2212253212928772
30,nigerians,palestinians,204,110,-1.158789038658142,-0.957564651966095,0.20122438669204712
31,nigerians,palestinians,1956,41,-1.1780781745910645,-0.9190160036087036,0.25906217098236084
32,nigerians,palestinians,912,1414,-1.1870059967041016,-1.1459786891937256,0.04102730751037598
33,nigerians,palestinians,44,1510,-1.3481956720352173,-0.8025234341621399,0.5456722378730774
34,nigerians,palestinians,155,1570,-1.6138683557510376,-0.886340320110321,0.7275280356407166
35,nigerians,palestinians,972,1282,-1.3129291534423828,-1.0455073118209839,0.2674218416213989
36,nigerians,palestinians,1296,784,-1.2131156921386719,-0.9848465919494629,0.22826910018920898
37,nigerians,palestinians,1669,1257,-1.0295089483261108,-1.1849024295806885,-0.15539348125457764
38,nigerians,palestinians,781,565,-1.2139860391616821,-1.0231980085372925,0.19078803062438965
39,nigerians,palestinians,972,1528,-1.3286274671554565,-1.1324312686920166,0.19619619846343994
40,nigerians,palestinians,1082,1833,-1.3440001010894775,-1.0680298805236816,0.2759702205657959
41,nigerians,palestinians,1607,1637,-1.142945647239685,-0.8673890233039856,0.27555662393569946
42,nigerians,palestinians,836,1119,-1.2091214656829834,-0.915728747844696,0.29339271783828735
43,nigerians,palestinians,1915,206,-1.401164174079895,-1.1451785564422607,0.2559856176376343
44,nigerians,palestinians,361,1884,-1.3296383619308472,-1.0488172769546509,0.2808210849761963
45,nigerians,palestinians,496,243,-1.3488458395004272,-1.1722627878189087,0.17658305168151855
46,nigerians,palestinians,950,674,-1.2726514339447021,-1.2001527547836304,0.07249867916107178
47,nigerians,palestinians,217,1957,-1.219668984413147,-0.8123133778572083,0.4073556065559387
48,nigerians,palestinians,2,1529,-0.7624357342720032,-0.8581025004386902,-0.09566676616668701
49,nigerians,palestinians,1531,288,-1.3033875226974487,-1.0567222833633423,0.24666523933410645
