,group1,group2,num_group1,num_group2,preference_group1,preference_group2,preference_diff
0,palestinians,indonesians,823,15,-1.6186374425888062,-1.2719972133636475,0.3466402292251587
1,palestinians,indonesians,897,635,-1.8335936069488525,-1.7128772735595703,0.12071633338928223
2,palestinians,indonesians,1087,409,-2.0057640075683594,-1.72622811794281,0.2795358896255493
3,palestinians,indonesians,1446,74,-1.5547593832015991,-1.380084753036499,0.1746746301651001
4,palestinians,indonesians,1569,1939,-1.849521279335022,-1.4752172231674194,0.37430405616760254
5,palestinians,indonesians,1396,699,-1.575122356414795,-1.3006136417388916,0.2745087146759033
6,palestinians,indonesians,529,70,-1.866614580154419,-1.692919373512268,0.17369520664215088
7,palestinians,indonesians,478,719,-1.904908537864685,-1.4885526895523071,0.41635584831237793
8,palestinians,indonesians,640,1482,-1.7553790807724,-1.3686381578445435,0.38674092292785645
9,palestinians,indonesians,1375,1836,-2.1098403930664062,-1.531298279762268,0.5785421133041382
10,palestinians,indonesians,1009,1491,-2.3412182331085205,-1.628108263015747,0.7131099700927734
11,palestinians,indonesians,1850,961,-2.1623458862304688,-1.585431694984436,0.5769141912460327
12,palestinians,indonesians,97,1408,-1.7684639692306519,-1.1838725805282593,0.5845913887023926
13,palestinians,indonesians,10,320,-1.2368192672729492,-1.216039776802063,0.02077949047088623
14,palestinians,indonesians,1669,985,-2.161649703979492,-1.8184874057769775,0.34316229820251465
15,palestinians,indonesians,1951,1024,-1.7579830884933472,-1.8773136138916016,-0.1193305253982544
16,palestinians,indonesians,1631,911,-2.4470536708831787,-2.43565034866333,0.011403322219848633
17,palestinians,indonesians,861,1817,-1.856608271598816,-1.443673014640808,0.4129352569580078
18,palestinians,indonesians,1717,355,-1.9216073751449585,-1.6951274871826172,0.2264798879623413
19,palestinians,indonesians,1433,393,-1.9537490606307983,-1.7939468622207642,0.15980219841003418
20,palestinians,indonesians,1334,1858,-2.3802716732025146,-1.6791290044784546,0.7011426687240601
21,palestinians,indonesians,1033,1916,-2.1696813106536865,-1.5456713438034058,0.6240099668502808
22,palestinians,indonesians,1952,413,-2.0135228633880615,-1.6200004816055298,0.39352238178253174
23,palestinians,indonesians,1072,1174,-2.0729122161865234,-1.6871769428253174,0.38573527336120605
24,palestinians,indonesians,1772,1606,-1.6498950719833374,-1.805070161819458,-0.1551750898361206
25,palestinians,indonesians,65,1318,-1.9038982391357422,-1.2948520183563232,0.609046220779419
26,palestinians,indonesians,1176,1870,-2.28682804107666,-1.6711119413375854,0.6157160997390747
27,palestinians,indonesians,1119,285,-1.7490185499191284,-1.636904001235962,0.1121145486831665
28,palestinians,indonesians,426,1297,-1.955773949623108,-1.3835948705673218,0.5721790790557861
29,palestinians,indonesians,1519,757,-1.97038733959198,-1.7349742650985718,0.2354130744934082
30,palestinians,indonesians,1922,123,-1.7854557037353516,-1.4676058292388916,0.31784987449645996
31,palestinians,indonesians,934,1927,-2.039299726486206,-1.5154846906661987,0.5238150358200073
32,palestinians,indonesians,208,1322,-2.2025017738342285,-1.668548583984375,0.5339531898498535
33,palestinians,indonesians,954,1797,-1.976030707359314,-1.4867448806762695,0.48928582668304443
34,palestinians,indonesians,1457,1205,-1.7866095304489136,-2.164991617202759,-0.3783820867538452
35,palestinians,indonesians,1114,786,-2.028887987136841,-1.7934101819992065,0.23547780513763428
36,palestinians,indonesians,1518,1594,-2.114210844039917,-1.6195954084396362,0.49461543560028076
37,palestinians,indonesians,531,192,-1.907293677330017,-1.7036737203598022,0.20361995697021484
38,palestinians,indonesians,1691,1948,-2.293424606323242,-1.6402114629745483,0.6532131433486938
39,palestinians,indonesians,1950,754,-1.9722168445587158,-1.6785004138946533,0.2937164306640625
40,palestinians,indonesians,1817,707,-1.825036883354187,-1.6507139205932617,0.1743229627609253
41,palestinians,indonesians,1814,521,-1.7516851425170898,-1.4484132528305054,0.3032718896865845
42,palestinians,indonesians,1577,1046,-1.687561273574829,-1.9187647104263306,-0.23120343685150146
43,palestinians,indonesians,1682,1803,-2.1153829097747803,-1.649087905883789,0.4662950038909912
44,palestinians,indonesians,755,291,-1.7965052127838135,-1.5751951932907104,0.22131001949310303
45,palestinians,indonesians,1511,659,-1.5385925769805908,-1.391411542892456,0.14718103408813477
46,palestinians,indonesians,40,376,-1.5116984844207764,-1.2009756565093994,0.31072282791137695
47,palestinians,indonesians,434,779,-1.875487208366394,-1.4518024921417236,0.4236847162246704
48,palestinians,indonesians,746,1420,-2.0598905086517334,-1.3518009185791016,0.7080895900726318
49,palestinians,indonesians,1566,1588,-2.0149245262145996,-1.6500978469848633,0.36482667922973633
