,group1,group2,num_group1,num_group2,preference_group1,preference_group2,preference_diff
0,palestinians,ukrainians,205,127,-1.6035445928573608,-1.6633224487304688,-0.05977785587310791
1,palestinians,ukrainians,1800,1110,-1.4660712480545044,-1.6444119215011597,-0.17834067344665527
2,palestinians,ukrainians,340,1036,-1.5623207092285156,-1.2160553932189941,0.3462653160095215
3,palestinians,ukrainians,1192,1057,-1.6498081684112549,-1.7353737354278564,-0.08556556701660156
4,palestinians,ukrainians,427,175,-1.5750706195831299,-1.7373064756393433,-0.16223585605621338
5,palestinians,ukrainians,1389,760,-1.8128772974014282,-1.7243826389312744,0.08849465847015381
6,palestinians,ukrainians,1832,513,-1.6357275247573853,-1.6917682886123657,-0.05604076385498047
7,palestinians,ukrainians,503,229,-1.8725403547286987,-2.045050859451294,-0.17251050472259521
8,palestinians,ukrainians,183,178,-1.8914200067520142,-2.0424153804779053,-0.1509953737258911
9,palestinians,ukrainians,966,752,-1.7213287353515625,-1.6762961149215698,0.045032620429992676
10,palestinians,ukrainians,1219,626,-1.2666654586791992,-1.4196605682373047,-0.15299510955810547
11,palestinians,ukrainians,1323,1550,-1.8156400918960571,-1.6556857824325562,0.15995430946350098
12,palestinians,ukrainians,515,599,-1.7045360803604126,-1.582940936088562,0.12159514427185059
13,palestinians,ukrainians,1749,1662,-1.667998194694519,-1.9120277166366577,-0.24402952194213867
14,palestinians,ukrainians,1549,1231,-1.7784737348556519,-2.0251405239105225,-0.2466667890548706
15,palestinians,ukrainians,583,29,-1.603196382522583,-1.6089357137680054,-0.005739331245422363
16,palestinians,ukrainians,344,1633,-1.6994670629501343,-1.3429921865463257,0.3564748764038086
17,palestinians,ukrainians,789,1063,-2.050865888595581,-1.5408130884170532,0.5100528001785278
18,palestinians,ukrainians,1267,1087,-1.558704137802124,-1.7225624322891235,-0.1638582944869995
19,palestinians,ukrainians,679,1016,-1.877586007118225,-1.54157292842865,0.3360130786895752
20,palestinians,ukrainians,776,1059,-1.7392120361328125,-1.3515254259109497,0.3876866102218628
21,palestinians,ukrainians,1795,362,-1.6962063312530518,-1.497949242591858,0.19825708866119385
22,palestinians,ukrainians,1778,549,-1.6426336765289307,-1.6972213983535767,-0.054587721824645996
23,palestinians,ukrainians,1275,315,-1.7244476079940796,-1.4026964902877808,0.32175111770629883
24,palestinians,ukrainians,354,1105,-1.6438621282577515,-1.339415431022644,0.3044466972351074
25,palestinians,ukrainians,1037,1641,-2.2536778450012207,-1.5544880628585815,0.6991897821426392
26,palestinians,ukrainians,1384,1108,-1.5775948762893677,-1.9008811712265015,-0.3232862949371338
27,palestinians,ukrainians,1034,1524,-1.9754987955093384,-1.6116608381271362,0.36383795738220215
28,palestinians,ukrainians,1010,1049,-2.052842855453491,-1.4310821294784546,0.6217607259750366
29,palestinians,ukrainians,1648,791,-1.622929573059082,-1.6847660541534424,-0.06183648109436035
30,palestinians,ukrainians,365,1497,-2.1429030895233154,-1.4120123386383057,0.7308907508850098
31,palestinians,ukrainians,106,1451,-2.1054298877716064,-1.3553942441940308,0.7500356435775757
32,palestinians,ukrainians,379,169,-1.6278564929962158,-1.6692386865615845,-0.04138219356536865
33,palestinians,ukrainians,1861,451,-2.0740232467651367,-1.8257163763046265,0.24830687046051025
34,palestinians,ukrainians,690,286,-1.4926031827926636,-1.502677321434021,-0.010074138641357422
35,palestinians,ukrainians,1748,1098,-1.7601059675216675,-1.995256781578064,-0.23515081405639648
36,palestinians,ukrainians,872,718,-1.6069284677505493,-1.7237173318862915,-0.11678886413574219
37,palestinians,ukrainians,587,1178,-1.5108190774917603,-1.2906540632247925,0.22016501426696777
38,palestinians,ukrainians,800,1274,-1.5917221307754517,-1.339320421218872,0.2524017095565796
39,palestinians,ukrainians,505,982,-2.0079407691955566,-1.7525840997695923,0.25535666942596436
40,palestinians,ukrainians,642,1395,-1.6801388263702393,-1.4214869737625122,0.25865185260772705
41,palestinians,ukrainians,780,1656,-1.533363699913025,-1.1975412368774414,0.3358224630355835
42,palestinians,ukrainians,1845,626,-1.7066620588302612,-1.6735286712646484,0.03313338756561279
43,palestinians,ukrainians,1710,1475,-2.0127460956573486,-2.0287187099456787,-0.015972614288330078
44,palestinians,ukrainians,1977,1125,-1.8775428533554077,-1.8123016357421875,0.06524121761322021
45,palestinians,ukrainians,908,579,-1.8425359725952148,-1.7756356000900269,0.06690037250518799
46,palestinians,ukrainians,477,88,-1.6524600982666016,-1.5344202518463135,0.11803984642028809
47,palestinians,ukrainians,293,1503,-1.7659454345703125,-1.464414358139038,0.3015310764312744
48,palestinians,ukrainians,359,624,-1.7555086612701416,-1.531321406364441,0.22418725490570068
49,palestinians,ukrainians,7,1318,-1.5361790657043457,-1.0185251235961914,0.5176539421081543
