,group1,group2,num_group1,num_group2,preference_group1,preference_group2,preference_diff
0,nigerians,french,1560,1967,-0.2140846997499466,-0.4132815897464752,-0.19919688999652863
1,nigerians,french,142,156,-0.4734724462032318,-0.8295989036560059,-0.35612645745277405
2,nigerians,french,1544,417,-0.1467982530593872,-0.7942211627960205,-0.6474229097366333
3,nigerians,french,156,1741,-0.33390623331069946,-0.6015463471412659,-0.2676401138305664
4,nigerians,french,1337,191,-0.07192359119653702,-1.0565571784973145,-0.9846335873007774
5,nigerians,french,1382,714,-0.18568086624145508,-0.6051669120788574,-0.41948604583740234
6,nigerians,french,469,1703,-0.5996996164321899,-0.663523256778717,-0.0638236403465271
7,nigerians,french,888,519,-0.5482653975486755,-0.8843904733657837,-0.33612507581710815
8,nigerians,french,654,1780,-0.45773181319236755,-0.5600640773773193,-0.10233226418495178
9,nigerians,french,1260,1412,-0.4717271029949188,-0.6814152598381042,-0.20968815684318542
10,nigerians,french,674,1423,-0.459736168384552,-0.6360468864440918,-0.1763107180595398
11,nigerians,french,91,388,-0.5727413296699524,-0.8888393640518188,-0.31609803438186646
12,nigerians,french,1529,1914,-0.190604567527771,-0.5998215079307556,-0.4092169404029846
13,nigerians,french,1088,1975,-0.5504482388496399,-0.8559948205947876,-0.3055465817451477
14,nigerians,french,1367,1817,-0.33384454250335693,-0.6471492052078247,-0.3133046627044678
15,nigerians,french,1246,1419,0.43718376755714417,-0.40151411294937134,-0.8386978805065155
16,nigerians,french,215,231,-0.6733344197273254,-0.6765317916870117,-0.0031973719596862793
17,nigerians,french,1776,1440,-0.3197011649608612,-0.8538414239883423,-0.5341402590274811
18,nigerians,french,775,819,-0.3734431862831116,-0.6104769110679626,-0.23703372478485107
19,nigerians,french,1007,1522,-0.38685479760169983,-0.6699468493461609,-0.28309205174446106
20,nigerians,french,479,1052,-0.44554492831230164,-0.6228887438774109,-0.17734381556510925
21,nigerians,french,1243,1735,-0.36256667971611023,-0.635462760925293,-0.27289608120918274
22,nigerians,french,1779,1552,0.03381242975592613,-0.9357072710990906,-0.9695197008550167
23,nigerians,french,1694,870,-0.2665867209434509,-0.8762437105178833,-0.6096569895744324
24,nigerians,french,1985,761,-0.22662316262722015,-1.210389494895935,-0.9837663322687149
25,nigerians,french,596,1638,-0.3651505410671234,-0.6007993221282959,-0.23564878106117249
26,nigerians,french,1017,1649,-0.5739110708236694,-0.7744738459587097,-0.20056277513504028
27,nigerians,french,190,1878,-0.3637729287147522,-0.4770616590976715,-0.11328873038291931
28,nigerians,french,1197,1521,-0.46004411578178406,-0.8017482161521912,-0.3417041003704071
29,nigerians,french,1780,440,-0.277143657207489,-0.8337504267692566,-0.5566067695617676
30,nigerians,french,966,586,-0.25574108958244324,-0.6687661409378052,-0.41302505135536194
31,nigerians,french,1146,1757,-0.5247418880462646,-0.6531792283058167,-0.128437340259552
32,nigerians,french,1771,486,-0.15125344693660736,-0.8409187197685242,-0.6896652728319168
33,nigerians,french,739,275,-0.05225853994488716,-0.7772011756896973,-0.7249426357448101
34,nigerians,french,1227,829,-0.13418908417224884,-0.7551621198654175,-0.6209730356931686
35,nigerians,french,851,784,-0.2694586217403412,-0.739477813243866,-0.4700191915035248
36,nigerians,french,376,108,-0.259240984916687,-0.8523880243301392,-0.5931470394134521
37,nigerians,french,1350,1592,-0.18942014873027802,-0.5943686962127686,-0.40494854748249054
38,nigerians,french,1648,784,-0.4101966917514801,-0.8922674059867859,-0.4820707142353058
39,nigerians,french,794,1017,-0.5313956141471863,-0.6369238495826721,-0.10552823543548584
40,nigerians,french,594,48,-0.154128298163414,-0.788203775882721,-0.634075477719307
41,nigerians,french,1164,1019,-0.1686982959508896,-0.8651960492134094,-0.6964977532625198
42,nigerians,french,1507,1725,-0.47099199891090393,-0.7251989245414734,-0.25420692563056946
43,nigerians,french,1005,258,-0.3720868229866028,-0.6496610045433044,-0.27757418155670166
44,nigerians,french,1179,1035,-0.23711542785167694,-0.8285226821899414,-0.5914072543382645
45,nigerians,french,27,1637,-0.2871337831020355,-0.4964613616466522,-0.2093275785446167
46,nigerians,french,544,770,-0.5638775825500488,-0.890784740447998,-0.3269071578979492
47,nigerians,french,685,833,-0.4413754642009735,-0.7322244644165039,-0.2908490002155304
48,nigerians,french,1971,1693,0.09228630363941193,-1.0009815692901611,-1.093267872929573
49,nigerians,french,920,58,-0.24400432407855988,-0.7169329524040222,-0.47292862832546234
