,group1,group2,num_group1,num_group2,preference_group1,preference_group2,preference_diff
0,nigerians,mexicans,672,579,-0.069815494120121,-0.637485682964325,-0.567670188844204
1,nigerians,mexicans,678,285,-0.18489746749401093,-0.5671432018280029,-0.382245734333992
2,nigerians,mexicans,1158,727,0.08105015754699707,-0.5132681727409363,-0.5943183302879333
3,nigerians,mexicans,656,1180,-0.3250061273574829,-0.20233865082263947,0.12266747653484344
4,nigerians,mexicans,754,723,0.01996033266186714,-0.4920918047428131,-0.5120521374046803
5,nigerians,mexicans,669,239,-0.16353249549865723,-0.5994134545326233,-0.43588095903396606
6,nigerians,mexicans,1014,67,-0.0509655736386776,-0.6019720435142517,-0.5510064698755741
7,nigerians,mexicans,654,1245,-0.29143768548965454,-0.21099959313869476,0.08043809235095978
8,nigerians,mexicans,139,329,-0.3900603950023651,-0.18706314265727997,0.20299725234508514
9,nigerians,mexicans,1158,1277,-0.28571757674217224,0.043517399579286575,0.3292349763214588
10,nigerians,mexicans,912,285,-0.05308506637811661,-0.6883676648139954,-0.6352825984358788
11,nigerians,mexicans,1431,1670,-0.1932831108570099,0.08040430396795273,0.2736874148249626
12,nigerians,mexicans,1699,1262,0.3265642821788788,-0.7285816073417664,-1.0551458895206451
13,nigerians,mexicans,702,188,-0.1923220455646515,-0.6050883531570435,-0.41276630759239197
14,nigerians,mexicans,146,835,-0.41886645555496216,-0.22681660950183868,0.19204984605312347
15,nigerians,mexicans,1166,1433,-0.2718507647514343,-0.0792209655046463,0.19262979924678802
16,nigerians,mexicans,334,1300,-0.410428911447525,-0.12077932804822922,0.2896495833992958
17,nigerians,mexicans,913,1499,-0.23264558613300323,0.08729169517755508,0.3199372813105583
18,nigerians,mexicans,944,1670,-0.3816802501678467,-0.09414701908826828,0.2875332310795784
19,nigerians,mexicans,1093,1832,-0.24313341081142426,0.027141928672790527,0.2702753394842148
20,nigerians,mexicans,1068,1957,-0.32923558354377747,-0.16678069531917572,0.16245488822460175
21,nigerians,mexicans,1318,1708,-0.26825252175331116,0.037018872797489166,0.3052713945508003
22,nigerians,mexicans,859,707,-0.21559415757656097,-0.49062275886535645,-0.27502860128879547
23,nigerians,mexicans,1099,1296,-0.29707738757133484,-0.0013626099098473787,0.29571477766148746
24,nigerians,mexicans,1284,354,0.07346916198730469,-0.5105344653129578,-0.5840036273002625
25,nigerians,mexicans,521,1382,-0.3774124085903168,-0.05464682728052139,0.3227655813097954
26,nigerians,mexicans,373,560,-0.2379676103591919,-0.37116509675979614,-0.13319748640060425
27,nigerians,mexicans,1598,1835,-0.22622203826904297,-0.00473289517685771,0.22148914309218526
28,nigerians,mexicans,1393,1625,-0.11373434215784073,0.12152667343616486,0.23526101559400558
29,nigerians,mexicans,362,604,-0.25973719358444214,-0.25413551926612854,0.005601674318313599
30,nigerians,mexicans,58,1784,-0.44692832231521606,-0.008271289058029652,0.4386570332571864
31,nigerians,mexicans,906,168,-0.27910372614860535,-0.6657207608222961,-0.3866170346736908
32,nigerians,mexicans,565,1700,-0.393931120634079,-0.06087357923388481,0.33305754140019417
33,nigerians,mexicans,190,1463,-0.5026420950889587,-0.07085686177015305,0.4317852333188057
34,nigerians,mexicans,81,613,-0.336978554725647,-0.2633323669433594,0.0736461877822876
35,nigerians,mexicans,579,1075,-0.22089062631130219,0.01688222959637642,0.2377728559076786
36,nigerians,mexicans,1918,818,-0.036847736686468124,-0.44608187675476074,-0.4092341400682926
37,nigerians,mexicans,1785,224,0.347965270280838,-0.6431988477706909,-0.9911641180515289
38,nigerians,mexicans,1949,102,0.3762993812561035,-0.3848716914653778,-0.7611710727214813
39,nigerians,mexicans,1341,1051,0.17856068909168243,-0.7388801574707031,-0.9174408465623856
40,nigerians,mexicans,1234,1891,-0.2682649493217468,0.0015232801670208573,0.2697882294887677
41,nigerians,mexicans,141,1801,-0.4942304790019989,-0.14086034893989563,0.35337013006210327
42,nigerians,mexicans,445,1292,-0.3090650737285614,0.015550804324448109,0.3246158780530095
43,nigerians,mexicans,413,1305,-0.3207859694957733,0.08778934925794601,0.40857531875371933
44,nigerians,mexicans,1734,110,0.2514338791370392,-0.5758510231971741,-0.8272849023342133
45,nigerians,mexicans,1009,1696,-0.3894866406917572,-0.15532031655311584,0.23416632413864136
46,nigerians,mexicans,133,1376,-0.49819621443748474,-0.041320014744997025,0.4568761996924877
47,nigerians,mexicans,1445,1984,-0.15287697315216064,-0.25457844138145447,-0.10170146822929382
48,nigerians,mexicans,1515,1630,-0.25183698534965515,-0.044261980801820755,0.2075750045478344
49,nigerians,mexicans,1888,1227,0.04564161226153374,-0.6842057108879089,-0.7298473231494427
