,group1,group2,num_group1,num_group2,preference_group1,preference_group2,preference_diff
0,canadians,south africans,354,510,-1.3604118824005127,-1.1348402500152588,0.2255716323852539
1,canadians,south africans,281,210,-1.5150686502456665,-1.3501077890396118,0.1649608612060547
2,canadians,south africans,803,887,-1.2761077880859375,-1.369436502456665,-0.09332871437072754
3,canadians,south africans,1137,1023,-1.4116235971450806,-1.3644382953643799,0.047185301780700684
4,canadians,south africans,1308,1657,-1.5656912326812744,-1.004604697227478,0.5610865354537964
5,canadians,south africans,1938,1276,-1.5795022249221802,-1.4964405298233032,0.08306169509887695
6,canadians,south africans,1921,993,-1.519027590751648,-1.1528812646865845,0.3661463260650635
7,canadians,south africans,1422,150,-1.3599861860275269,-1.1904547214508057,0.1695314645767212
8,canadians,south africans,137,400,-1.3741291761398315,-1.1551740169525146,0.2189551591873169
9,canadians,south africans,1438,1331,-1.6353037357330322,-1.3576034307479858,0.2777003049850464
10,canadians,south africans,1179,1320,-1.4526106119155884,-1.1164759397506714,0.336134672164917
11,canadians,south africans,605,758,-1.417649745941162,-1.243872046470642,0.17377769947052002
12,canadians,south africans,1975,618,-1.9858057498931885,-1.6003462076187134,0.3854595422744751
13,canadians,south africans,1426,1001,-1.5364011526107788,-1.3247509002685547,0.21165025234222412
14,canadians,south africans,246,1574,-1.3256959915161133,-1.131136178970337,0.19455981254577637
15,canadians,south africans,708,1530,-1.3719072341918945,-1.2315295934677124,0.14037764072418213
16,canadians,south africans,1176,1802,-1.6684311628341675,-1.2970393896102905,0.37139177322387695
17,canadians,south africans,1610,202,-1.5799572467803955,-1.3936668634414673,0.18629038333892822
18,canadians,south africans,352,198,-1.5767613649368286,-1.307597041130066,0.2691643238067627
19,canadians,south africans,373,1374,-1.119350552558899,-0.9446576237678528,0.17469292879104614
20,canadians,south africans,1366,1586,-1.5149565935134888,-1.159901738166809,0.3550548553466797
21,canadians,south africans,455,545,-1.33489990234375,-1.3081926107406616,0.02670729160308838
22,canadians,south africans,1594,1009,-1.5317764282226562,-1.336715579032898,0.1950608491897583
23,canadians,south africans,332,289,-1.5150760412216187,-1.5232841968536377,-0.008208155632019043
24,canadians,south africans,104,1550,-1.4610481262207031,-1.205894112586975,0.255154013633728
25,canadians,south africans,1630,1019,-1.3849347829818726,-1.372469425201416,0.012465357780456543
26,canadians,south africans,789,979,-1.1051721572875977,-1.1747649908065796,-0.06959283351898193
27,canadians,south africans,603,1437,-1.4108631610870361,-1.1316713094711304,0.27919185161590576
28,canadians,south africans,1387,696,-1.586746096611023,-1.199770212173462,0.38697588443756104
29,canadians,south africans,322,1459,-1.3685860633850098,-1.1754157543182373,0.19317030906677246
30,canadians,south africans,1164,1717,-1.4488850831985474,-1.1198948621749878,0.32899022102355957
31,canadians,south africans,497,1889,-1.374300241470337,-1.237321138381958,0.1369791030883789
32,canadians,south africans,705,972,-1.2119864225387573,-1.128428339958191,0.0835580825805664
33,canadians,south africans,965,1574,-1.2078016996383667,-1.0762284994125366,0.13157320022583008
34,canadians,south africans,1306,724,-1.6037238836288452,-1.1275019645690918,0.4762219190597534
35,canadians,south africans,1042,711,-1.6425894498825073,-1.1624970436096191,0.4800924062728882
36,canadians,south africans,1477,837,-1.510789394378662,-1.0879319906234741,0.422857403755188
37,canadians,south africans,1412,1944,-1.45111882686615,-1.0157561302185059,0.43536269664764404
38,canadians,south africans,239,486,-1.3424289226531982,-1.3091650009155273,0.0332639217376709
39,canadians,south africans,1907,555,-1.6773525476455688,-1.2427393198013306,0.4346132278442383
40,canadians,south africans,236,426,-1.3698375225067139,-1.3109142780303955,0.05892324447631836
41,canadians,south africans,383,1165,-1.2186357975006104,-1.1788384914398193,0.039797306060791016
42,canadians,south africans,1962,658,-1.5127509832382202,-1.4422311782836914,0.07051980495452881
43,canadians,south africans,232,1852,-1.6378570795059204,-1.2207950353622437,0.41706204414367676
44,canadians,south africans,1904,1809,-1.5421854257583618,-1.5406697988510132,0.0015156269073486328
45,canadians,south africans,620,715,-1.357561469078064,-1.2013298273086548,0.15623164176940918
46,canadians,south africans,1002,549,-1.5963529348373413,-1.105604887008667,0.4907480478286743
47,canadians,south africans,1863,951,-1.6271852254867554,-1.1696770191192627,0.4575082063674927
48,canadians,south africans,889,1658,-1.21403968334198,-1.1230350732803345,0.09100461006164551
49,canadians,south africans,1091,1311,-1.5677775144577026,-1.1181373596191406,0.449640154838562
