,group1,group2,num_group1,num_group2,preference_group1,preference_group2,preference_diff
0,filipinos,south africans,177,756,-1.3753290176391602,-1.0497301816940308,0.3255988359451294
1,filipinos,south africans,1382,350,-1.341964602470398,-1.1986445188522339,0.14332008361816406
2,filipinos,south africans,1205,1486,-1.3368046283721924,-1.1069053411483765,0.22989928722381592
3,filipinos,south africans,508,1726,-1.5830357074737549,-1.3686569929122925,0.2143787145614624
4,filipinos,south africans,1755,1417,-1.3551372289657593,-1.520837426185608,-0.16570019721984863
5,filipinos,south africans,1659,1431,-1.3655604124069214,-1.5096138715744019,-0.14405345916748047
6,filipinos,south africans,915,190,-1.5008175373077393,-1.3833482265472412,0.11746931076049805
7,filipinos,south africans,1260,1223,-1.3582779169082642,-1.494667410850525,-0.13638949394226074
8,filipinos,south africans,1389,1948,-1.5313568115234375,-1.351549744606018,0.17980706691741943
9,filipinos,south africans,1562,1777,-1.2516497373580933,-1.2072910070419312,0.04435873031616211
10,filipinos,south africans,959,1897,-1.3707576990127563,-1.2078886032104492,0.16286909580230713
11,filipinos,south africans,1475,487,-1.305544137954712,-1.2405503988265991,0.06499373912811279
12,filipinos,south africans,1973,1972,-0.7631654739379883,-1.1688202619552612,-0.40565478801727295
13,filipinos,south africans,1118,616,-1.396114468574524,-1.0746901035308838,0.32142436504364014
14,filipinos,south africans,1873,1574,-1.4730138778686523,-1.482554316520691,-0.009540438652038574
15,filipinos,south africans,1206,1505,-1.332898497581482,-1.1987755298614502,0.13412296772003174
16,filipinos,south africans,599,825,-1.4480063915252686,-1.224949836730957,0.22305655479431152
17,filipinos,south africans,790,419,-1.3649187088012695,-1.3766945600509644,-0.011775851249694824
18,filipinos,south africans,812,1887,-1.449644923210144,-1.334867238998413,0.11477768421173096
19,filipinos,south africans,1298,1326,-1.2760334014892578,-1.1234763860702515,0.15255701541900635
20,filipinos,south africans,544,1814,-1.439013123512268,-1.2319074869155884,0.2071056365966797
21,filipinos,south africans,250,1681,-1.7724660634994507,-1.207161784172058,0.5653042793273926
22,filipinos,south africans,1035,216,-1.505785584449768,-1.27298104763031,0.232804536819458
23,filipinos,south africans,1193,1839,-1.359166145324707,-1.2602990865707397,0.09886705875396729
24,filipinos,south africans,1034,471,-1.329180359840393,-1.1000183820724487,0.22916197776794434
25,filipinos,south africans,610,1555,-1.5417765378952026,-1.2017914056777954,0.3399851322174072
26,filipinos,south africans,980,334,-1.2988275289535522,-1.3313742876052856,-0.0325467586517334
27,filipinos,south africans,296,352,-1.42156183719635,-1.2710716724395752,0.1504901647567749
28,filipinos,south africans,1739,1447,-1.1904915571212769,-1.367997169494629,-0.17750561237335205
29,filipinos,south africans,1788,1453,-1.2702105045318604,-1.2252248525619507,0.04498565196990967
30,filipinos,south africans,2,1405,-0.9037782549858093,-0.5885683298110962,0.31520992517471313
31,filipinos,south africans,230,1743,-1.68620765209198,-1.2591108083724976,0.4270968437194824
32,filipinos,south africans,100,1125,-1.2869300842285156,-1.1791476011276245,0.10778248310089111
33,filipinos,south africans,845,719,-1.2978399991989136,-1.190218448638916,0.10762155055999756
34,filipinos,south africans,1404,116,-1.4252225160598755,-1.3390470743179321,0.08617544174194336
35,filipinos,south africans,221,1652,-1.6265754699707031,-1.3047173023223877,0.32185816764831543
36,filipinos,south africans,1673,650,-1.3704204559326172,-1.323357105255127,0.047063350677490234
37,filipinos,south africans,112,1626,-1.5529148578643799,-1.0131772756576538,0.5397375822067261
38,filipinos,south africans,1828,1547,-1.4541304111480713,-1.4530292749404907,0.0011011362075805664
39,filipinos,south africans,128,1057,-1.4567333459854126,-0.9586383700370789,0.49809497594833374
40,filipinos,south africans,177,838,-1.2586989402770996,-1.0792572498321533,0.1794416904449463
41,filipinos,south africans,912,371,-1.4152530431747437,-1.3357163667678833,0.07953667640686035
42,filipinos,south africans,1507,716,-1.381330132484436,-1.2125873565673828,0.16874277591705322
43,filipinos,south africans,62,866,-1.2070438861846924,-1.0889067649841309,0.11813712120056152
44,filipinos,south africans,57,1260,-1.496836543083191,-1.1126492023468018,0.38418734073638916
45,filipinos,south africans,12,1009,-1.312252402305603,-0.9560813903808594,0.35617101192474365
46,filipinos,south africans,926,1590,-1.2991883754730225,-1.273026466369629,0.026161909103393555
47,filipinos,south africans,1448,99,-1.3163644075393677,-1.164608359336853,0.15175604820251465
48,filipinos,south africans,1385,1254,-1.3839536905288696,-1.5203717947006226,-0.13641810417175293
49,filipinos,south africans,1699,264,-1.3804672956466675,-1.3099297285079956,0.07053756713867188
