,group1,group2,num_group1,num_group2,preference_group1,preference_group2,preference_diff
0,ukrainians,south africans,829,1076,-1.305370569229126,-1.2219629287719727,0.08340764045715332
1,ukrainians,south africans,1898,1983,-1.2097667455673218,-1.0985218286514282,0.11124491691589355
2,ukrainians,south africans,1594,1065,-1.21601402759552,-1.4911919832229614,-0.2751779556274414
3,ukrainians,south africans,406,189,-1.0925201177597046,-1.4147710800170898,-0.32225096225738525
4,ukrainians,south africans,869,267,-0.9841870665550232,-1.1938111782073975,-0.20962411165237427
5,ukrainians,south africans,727,1871,-1.3902710676193237,-1.2216838598251343,0.16858720779418945
6,ukrainians,south africans,1865,1047,-1.1866205930709839,-1.4478342533111572,-0.26121366024017334
7,ukrainians,south africans,1329,1676,-1.398276448249817,-1.2198431491851807,0.17843329906463623
8,ukrainians,south africans,1379,1628,-1.3857297897338867,-1.1679147481918335,0.21781504154205322
9,ukrainians,south africans,1712,683,-1.4131872653961182,-1.474195957183838,-0.06100869178771973
10,ukrainians,south africans,892,1454,-1.1554101705551147,-1.159896731376648,-0.004486560821533203
11,ukrainians,south africans,1263,139,-1.0793474912643433,-1.2533764839172363,-0.17402899265289307
12,ukrainians,south africans,1432,42,-1.0482996702194214,-0.933292031288147,0.11500763893127441
13,ukrainians,south africans,1478,1324,-1.004414439201355,-1.500543475151062,-0.49612903594970703
14,ukrainians,south africans,1343,1832,-1.423850417137146,-1.2212599515914917,0.2025904655456543
15,ukrainians,south africans,723,274,-1.1074296236038208,-1.313860297203064,-0.20643067359924316
16,ukrainians,south africans,1853,1765,-1.2143683433532715,-1.5069546699523926,-0.2925863265991211
17,ukrainians,south africans,1079,728,-1.1690195798873901,-1.2346614599227905,-0.06564188003540039
18,ukrainians,south africans,1084,1622,-1.5041254758834839,-1.2242087125778198,0.27991676330566406
19,ukrainians,south africans,239,1601,-1.5660499334335327,-1.2949870824813843,0.27106285095214844
20,ukrainians,south africans,1206,767,-1.4041838645935059,-1.466653823852539,-0.0624699592590332
21,ukrainians,south africans,1217,1384,-1.1879513263702393,-1.121978521347046,0.06597280502319336
22,ukrainians,south africans,1651,1291,-1.1554354429244995,-1.4552770853042603,-0.29984164237976074
23,ukrainians,south africans,1239,1179,-1.146636962890625,-1.4197450876235962,-0.2731081247329712
24,ukrainians,south africans,1769,331,-1.4088298082351685,-1.3991215229034424,0.009708285331726074
25,ukrainians,south africans,271,1508,-1.505621314048767,-1.0506709814071655,0.45495033264160156
26,ukrainians,south africans,586,551,-1.1327499151229858,-1.4400571584701538,-0.30730724334716797
27,ukrainians,south africans,635,887,-1.072257161140442,-1.2980306148529053,-0.22577345371246338
28,ukrainians,south africans,943,1429,-1.2329576015472412,-1.1631214618682861,0.06983613967895508
29,ukrainians,south africans,1359,1120,-1.1453895568847656,-1.3778437376022339,-0.23245418071746826
30,ukrainians,south africans,659,213,-1.1152617931365967,-1.342495322227478,-0.22723352909088135
31,ukrainians,south africans,1851,1995,-1.3442883491516113,-1.2061444520950317,0.1381438970565796
32,ukrainians,south africans,1784,730,-1.2773383855819702,-1.4275963306427002,-0.15025794506072998
33,ukrainians,south africans,1767,691,-1.2008236646652222,-1.3053724765777588,-0.10454881191253662
34,ukrainians,south africans,535,62,-1.37183678150177,-1.3119415044784546,0.05989527702331543
35,ukrainians,south africans,1143,1877,-1.40694260597229,-1.2409305572509766,0.16601204872131348
36,ukrainians,south africans,529,539,-1.2555617094039917,-1.4214004278182983,-0.16583871841430664
37,ukrainians,south africans,1156,443,-1.2367044687271118,-1.4327924251556396,-0.19608795642852783
38,ukrainians,south africans,1796,1074,-1.3058271408081055,-1.355442762374878,-0.04961562156677246
39,ukrainians,south africans,565,1408,-1.1393942832946777,-1.0748494863510132,0.06454479694366455
40,ukrainians,south africans,377,1483,-1.3311328887939453,-1.3296374082565308,0.0014954805374145508
41,ukrainians,south africans,423,738,-1.323463797569275,-1.3354018926620483,-0.011938095092773438
42,ukrainians,south africans,1381,295,-1.1034919023513794,-1.357789397239685,-0.25429749488830566
43,ukrainians,south africans,1728,1474,-1.242735505104065,-1.5686296224594116,-0.3258941173553467
44,ukrainians,south africans,1546,1274,-1.0961931943893433,-1.3596935272216797,-0.2635003328323364
45,ukrainians,south africans,1833,874,-1.310925841331482,-1.4276586771011353,-0.11673283576965332
46,ukrainians,south africans,731,483,-1.0281155109405518,-1.410290002822876,-0.3821744918823242
47,ukrainians,south africans,555,300,-1.3981859683990479,-1.306867241859436,0.09131872653961182
48,ukrainians,south africans,992,1270,-1.2891539335250854,-1.003482699394226,0.2856712341308594
49,ukrainians,south africans,263,841,-1.292601466178894,-1.2065523862838745,0.08604907989501953
