,group1,group2,num_group1,num_group2,preference_group1,preference_group2,preference_diff
0,ukrainians,south africans,334,472,-0.3759457468986511,-0.16123245656490326,0.21471329033374786
1,ukrainians,south africans,768,1251,-0.38232719898223877,0.19066357612609863,0.5729907751083374
2,ukrainians,south africans,512,1869,-0.5676592588424683,0.06645675003528595,0.6341160088777542
3,ukrainians,south africans,864,523,-0.27035507559776306,-0.8128436207771301,-0.5424885451793671
4,ukrainians,south africans,260,1340,-0.859969437122345,0.007923126220703125,0.8678925633430481
5,ukrainians,south africans,1644,320,-0.20965047180652618,-0.9234368205070496,-0.7137863487005234
6,ukrainians,south africans,153,1837,-0.6582890152931213,0.25047263503074646,0.9087616503238678
7,ukrainians,south africans,1531,1210,-0.4753364622592926,-0.9753252267837524,-0.49998876452445984
8,ukrainians,south africans,1215,1779,-0.8065161108970642,-0.17978370189666748,0.6267324090003967
9,ukrainians,south africans,413,829,-0.29493099451065063,-0.03139228746294975,0.2635387070477009
10,ukrainians,south africans,1457,1622,-0.5471360087394714,0.2992573082447052,0.8463933169841766
11,ukrainians,south africans,1632,1353,-0.40596944093704224,-0.9316652417182922,-0.52569580078125
12,ukrainians,south africans,1011,705,-0.22027979791164398,-0.70522540807724,-0.484945610165596
13,ukrainians,south africans,1482,1979,-0.6499658226966858,-0.16607311367988586,0.4838927090167999
14,ukrainians,south africans,688,142,-0.4805908203125,-0.9319532513618469,-0.4513624310493469
15,ukrainians,south africans,784,1913,-0.34704476594924927,0.1750282496213913,0.5220730155706406
16,ukrainians,south africans,499,744,-0.34793612360954285,-0.0797957181930542,0.26814040541648865
17,ukrainians,south africans,822,1664,-0.5815942883491516,0.021351957693696022,0.6029462460428476
18,ukrainians,south africans,1593,1132,-0.39845067262649536,-0.9284859895706177,-0.5300353169441223
19,ukrainians,south africans,1622,75,-0.173358753323555,-1.0171828269958496,-0.8438240736722946
20,ukrainians,south africans,1851,67,0.0037120343185961246,-0.8098271489143372,-0.8135391832329333
21,ukrainians,south africans,828,1972,-0.42148610949516296,-0.14382164180278778,0.2776644676923752
22,ukrainians,south africans,609,532,-0.28476181626319885,-0.7403811812400818,-0.45561936497688293
23,ukrainians,south africans,986,1213,-0.3728097081184387,0.12927012145519257,0.5020798295736313
24,ukrainians,south africans,1172,1899,-0.7357699275016785,0.021755671128630638,0.7575255986303091
25,ukrainians,south africans,586,1668,-0.6056448817253113,0.12963156402111053,0.7352764457464218
26,ukrainians,south africans,1826,110,-0.07030365616083145,-0.8740606307983398,-0.8037569746375084
27,ukrainians,south africans,777,1592,-0.4012591540813446,0.29366883635520935,0.694927990436554
28,ukrainians,south africans,722,318,-0.48189082741737366,-0.7762725949287415,-0.2943817675113678
29,ukrainians,south africans,628,966,-0.47708484530448914,-0.1414300948381424,0.33565475046634674
30,ukrainians,south africans,1344,1736,-0.8124467730522156,0.04767916351556778,0.8601259365677834
31,ukrainians,south africans,1099,432,-0.1802019625902176,-0.9359928965568542,-0.7557909339666367
32,ukrainians,south africans,763,306,-0.2136877030134201,-0.7253932952880859,-0.5117055922746658
33,ukrainians,south africans,1651,1915,-0.8647378087043762,-0.11835813522338867,0.7463796734809875
34,ukrainians,south africans,691,1058,-0.514760434627533,-0.1565827876329422,0.35817764699459076
35,ukrainians,south africans,1200,433,-0.06592383235692978,-0.7445023059844971,-0.6785784736275673
36,ukrainians,south africans,1540,227,-0.0673297643661499,-0.9787696003913879,-0.911439836025238
37,ukrainians,south africans,1162,698,-0.17874310910701752,-0.7581254839897156,-0.5793823748826981
38,ukrainians,south africans,1918,741,-0.13059845566749573,-0.5710797309875488,-0.4404812753200531
39,ukrainians,south africans,649,230,-0.41513416171073914,-0.9761512875556946,-0.5610171258449554
40,ukrainians,south africans,1151,418,-0.2727993428707123,-0.7478803992271423,-0.47508105635643005
41,ukrainians,south africans,1393,1753,-0.6474254131317139,0.2087196558713913,0.8561450690031052
42,ukrainians,south africans,1059,1025,-0.43738314509391785,-0.8247540593147278,-0.38737091422080994
43,ukrainians,south africans,373,1838,-0.6005121469497681,0.06575155258178711,0.6662636995315552
44,ukrainians,south africans,1669,427,-0.19807074964046478,-1.0209009647369385,-0.8228302150964737
45,ukrainians,south africans,1167,334,-0.32414865493774414,-0.7288112044334412,-0.404662549495697
46,ukrainians,south africans,598,1447,-0.5836907029151917,0.07065289467573166,0.6543435975909233
47,ukrainians,south africans,1842,814,-0.14455632865428925,-0.5473785400390625,-0.40282221138477325
48,ukrainians,south africans,1886,739,-0.2009725570678711,-0.47080156207084656,-0.26982900500297546
49,ukrainians,south africans,1253,1106,-0.34752947092056274,-0.8267132639884949,-0.47918379306793213
