,group1,group2,num_group1,num_group2,preference_group1,preference_group2,preference_diff
0,french,brits,334,1889,-1.4933971166610718,-0.4162346422672272,1.0771624743938446
1,french,brits,1945,441,-0.824246346950531,-0.731584370136261,0.09266197681427002
2,french,brits,839,1767,-1.1385796070098877,-0.44236478209495544,0.6962148249149323
3,french,brits,402,104,-1.0606250762939453,-0.8836739659309387,0.1769511103630066
4,french,brits,1375,784,-0.4446004033088684,-0.5843446850776672,-0.13974428176879883
5,french,brits,1518,982,-0.575969398021698,-0.5957772731781006,-0.019807875156402588
6,french,brits,1588,1367,-0.6164708733558655,-1.0674347877502441,-0.45096391439437866
7,french,brits,1545,1877,-1.0407651662826538,-0.7240477800369263,0.31671738624572754
8,french,brits,628,1066,-1.0740970373153687,-0.6650581955909729,0.40903884172439575
9,french,brits,1313,1491,-0.943511962890625,-0.17366169393062592,0.7698502689599991
10,french,brits,1989,9,-1.0029566287994385,-0.8242411613464355,0.17871546745300293
11,french,brits,965,986,-1.325930118560791,-0.7857226729393005,0.5402074456214905
12,french,brits,1026,436,-0.5600270628929138,-0.6054067015647888,-0.045379638671875
13,french,brits,1794,1964,-1.1692802906036377,-0.545620858669281,0.6236594319343567
14,french,brits,942,826,-0.8485069274902344,-0.5865711569786072,0.2619357705116272
15,french,brits,51,82,-1.0002186298370361,-0.7192132472991943,0.2810053825378418
16,french,brits,1497,990,-0.42307049036026,-0.5215339660644531,-0.09846347570419312
17,french,brits,1481,479,-0.5258268713951111,-0.7902860045433044,-0.26445913314819336
18,french,brits,1032,1245,-1.0035229921340942,-0.5127598643302917,0.4907631278038025
19,french,brits,459,296,-1.2437041997909546,-0.824987530708313,0.4187166690826416
20,french,brits,1906,1949,-1.648720383644104,-1.025032639503479,0.623687744140625
21,french,brits,319,1505,-1.3653205633163452,-0.06658625602722168,1.2987343072891235
22,french,brits,1385,1292,-0.5864341855049133,-0.9463510513305664,-0.3599168658256531
23,french,brits,354,598,-1.2332135438919067,-0.6920701861381531,0.5411433577537537
24,french,brits,1542,1024,-0.45662203431129456,-0.8496124148368835,-0.392990380525589
25,french,brits,186,1053,-1.4569921493530273,-0.2359648197889328,1.2210273295640945
26,french,brits,1037,1700,-0.9929571151733398,-0.4985676407814026,0.49438947439193726
27,french,brits,756,1500,-0.9873743057250977,-0.23082879185676575,0.7565455138683319
28,french,brits,1841,1865,-1.3810350894927979,-1.0652450323104858,0.315790057182312
29,french,brits,341,542,-1.13185453414917,-0.5936328172683716,0.5382217168807983
30,french,brits,698,1543,-1.1060435771942139,-0.28356724977493286,0.822476327419281
31,french,brits,1086,42,-0.7424525618553162,-0.8542245030403137,-0.11177194118499756
32,french,brits,1231,1038,-0.502678632736206,-0.94151371717453,-0.438835084438324
33,french,brits,16,1481,-1.2369636297225952,-0.5968447923660278,0.6401188373565674
34,french,brits,1524,490,-0.4577787518501282,-0.5705413222312927,-0.11276257038116455
35,french,brits,1659,1697,-1.159186601638794,-0.4159684181213379,0.743218183517456
36,french,brits,1671,75,-0.6772449612617493,-0.8566786646842957,-0.1794337034225464
37,french,brits,887,1564,-0.9590309262275696,-0.25894561409950256,0.700085312128067
38,french,brits,1124,1557,-1.0013926029205322,-0.3648488521575928,0.6365437507629395
39,french,brits,1819,825,-0.30988630652427673,-0.5459287166595459,-0.23604241013526917
40,french,brits,1531,1173,-0.6677424311637878,-1.0637286901474,-0.39598625898361206
41,french,brits,610,1575,-1.2415415048599243,-0.34930485486984253,0.8922366499900818
42,french,brits,1769,156,-0.8128676414489746,-0.6043133735656738,0.20855426788330078
43,french,brits,897,1925,-1.101433277130127,-0.5764483213424683,0.5249849557876587
44,french,brits,1490,1045,-0.5232810974121094,-0.9561817049980164,-0.432900607585907
45,french,brits,11,1065,-1.308944582939148,-0.7541436553001404,0.5548009276390076
46,french,brits,294,1544,-1.184311032295227,-0.04982342943549156,1.1344876028597355
47,french,brits,1418,1186,-0.6593867540359497,-0.8905930519104004,-0.23120629787445068
48,french,brits,1996,1104,-0.6166480779647827,-0.7112585306167603,-0.09461045265197754
49,french,brits,117,696,-1.1739835739135742,-0.41790446639060974,0.7560791075229645
