,group1,group2,num_group1,num_group2,preference_group1,preference_group2,preference_diff
0,germans,brits,1018,925,0.06192891672253609,-0.6690741777420044,-0.7310030944645405
1,germans,brits,599,730,-0.3348016142845154,-0.34411707520484924,-0.009315460920333862
2,germans,brits,1180,1106,-0.23116694390773773,-0.8821547627449036,-0.6509878188371658
3,germans,brits,1387,195,0.13342785835266113,-0.8969565629959106,-1.0303844213485718
4,germans,brits,1018,141,-0.002285575959831476,-0.9831289649009705,-0.980843388941139
5,germans,brits,590,1391,-0.5278341770172119,-0.22361479699611664,0.3042193800210953
6,germans,brits,1216,933,0.02940974198281765,-0.6913816332817078,-0.7207913752645254
7,germans,brits,1055,1766,-0.6666314601898193,-0.5482500195503235,0.11838144063949585
8,germans,brits,407,1584,-0.675464928150177,-0.17195701599121094,0.5035079121589661
9,germans,brits,1061,1937,-0.3808976411819458,-0.5902347564697266,-0.20933711528778076
10,germans,brits,1596,1314,-0.05285615846514702,-0.9772300124168396,-0.9243738539516926
11,germans,brits,1157,1649,-0.5643705129623413,-0.2565475404262543,0.30782297253608704
12,germans,brits,251,1981,-0.7027983665466309,-0.6738908886909485,0.028907477855682373
13,germans,brits,1712,1665,-0.1397666186094284,-0.8616017699241638,-0.7218351513147354
14,germans,brits,734,307,-0.2231251746416092,-0.8450711369514465,-0.6219459623098373
15,germans,brits,1940,1966,-1.0039894580841064,-0.6279622912406921,0.3760271668434143
16,germans,brits,1281,601,0.07083692401647568,-0.792702317237854,-0.8635392412543297
17,germans,brits,931,916,-0.41007763147354126,-0.6690128445625305,-0.25893521308898926
18,germans,brits,781,1511,-0.5029160380363464,-0.19529902935028076,0.3076170086860657
19,germans,brits,159,877,-0.844397246837616,-0.5128803253173828,0.33151692152023315
20,germans,brits,1814,234,0.09560475498437881,-1.0088404417037964,-1.1044451966881752
21,germans,brits,684,1003,-0.378566712141037,-0.2581755816936493,0.1203911304473877
22,germans,brits,1044,1341,-0.631159245967865,-0.28107750415802,0.35008174180984497
23,germans,brits,204,1533,-0.6561803817749023,-0.15987086296081543,0.4963095188140869
24,germans,brits,973,1838,-0.29511022567749023,-0.28234803676605225,0.012762188911437988
25,germans,brits,1154,546,0.1019880548119545,-0.8098062872886658,-0.9117943421006203
26,germans,brits,236,854,-0.48465123772621155,-0.3399183452129364,0.14473289251327515
27,germans,brits,193,70,-0.4513995349407196,-0.8223956227302551,-0.3709960877895355
28,germans,brits,1861,1944,-0.7066306471824646,-0.8983367085456848,-0.19170606136322021
29,germans,brits,1573,1268,-0.2908816337585449,-0.8939391374588013,-0.6030575037002563
30,germans,brits,879,818,-0.27292510867118835,-0.9319160580635071,-0.6589909493923187
31,germans,brits,852,989,-0.42542120814323425,-0.316670686006546,0.10875052213668823
32,germans,brits,1399,637,0.16247311234474182,-0.8230568170547485,-0.9855299293994904
33,germans,brits,1606,420,0.09184303134679794,-0.7004959583282471,-0.792338989675045
34,germans,brits,1382,1406,-0.4311811625957489,-0.34209680557250977,0.08908435702323914
35,germans,brits,1848,645,0.2861793637275696,-0.941906750202179,-1.2280861139297485
36,germans,brits,907,770,-0.32654082775115967,-0.7539920806884766,-0.4274512529373169
37,germans,brits,365,1197,-0.5229770541191101,-0.11556606739759445,0.40741098672151566
38,germans,brits,620,787,-0.31177011132240295,-0.3384521007537842,-0.026681989431381226
39,germans,brits,337,1275,-0.4758155941963196,-0.08587642014026642,0.38993917405605316
40,germans,brits,356,1288,-0.4809163510799408,-0.14006368815898895,0.34085266292095184
41,germans,brits,637,1929,-0.31818756461143494,-0.41744160652160645,-0.09925404191017151
42,germans,brits,928,1039,-0.3258495330810547,-0.30151283740997314,0.024336695671081543
43,germans,brits,1562,1654,-0.7233425974845886,-0.4333600699901581,0.28998252749443054
44,germans,brits,1137,869,-0.023076487705111504,-0.6682383418083191,-0.6451618541032076
45,germans,brits,220,1505,-0.6597780585289001,-0.32247692346572876,0.3373011350631714
46,germans,brits,1784,120,0.21691755950450897,-0.929360568523407,-1.146278128027916
47,germans,brits,1593,1390,-0.10815482586622238,-0.9325858354568481,-0.8244310095906258
48,germans,brits,1542,316,0.040267493575811386,-0.8274941444396973,-0.8677616380155087
49,germans,brits,1454,1815,-0.3231923282146454,-0.40344783663749695,-0.08025550842285156
