,group1,group2,num_group1,num_group2,preference_group1,preference_group2,preference_diff
0,mexicans,indonesians,45,1733,-0.5877466797828674,0.21556030213832855,0.803306981921196
1,mexicans,indonesians,528,1403,-0.51884526014328,0.22127532958984375,0.7401205897331238
2,mexicans,indonesians,629,991,-0.4215857684612274,0.05889580398797989,0.4804815724492073
3,mexicans,indonesians,25,1972,-0.6247272491455078,0.18194344639778137,0.8066706955432892
4,mexicans,indonesians,1253,1303,-0.3362780213356018,0.2760220170021057,0.6123000383377075
5,mexicans,indonesians,748,1985,-0.46378055214881897,0.2327653020620346,0.6965458542108536
6,mexicans,indonesians,1741,221,0.1628970354795456,-0.557933509349823,-0.7208305448293686
7,mexicans,indonesians,245,867,-0.641055703163147,-0.04872870445251465,0.5923269987106323
8,mexicans,indonesians,309,1766,-0.49940893054008484,0.26330137252807617,0.762710303068161
9,mexicans,indonesians,422,1017,-0.4602978825569153,0.13285723328590393,0.5931551158428192
10,mexicans,indonesians,1742,1985,-0.43895265460014343,-0.06757654994726181,0.3713761046528816
11,mexicans,indonesians,1308,82,-0.042357660830020905,-0.367023229598999,-0.3246655687689781
12,mexicans,indonesians,340,928,-0.5743436813354492,-0.03805847093462944,0.5362852104008198
13,mexicans,indonesians,686,342,-0.21099713444709778,-0.2857854664325714,-0.07478833198547363
14,mexicans,indonesians,977,1255,-0.4515426754951477,0.16162358224391937,0.6131662577390671
15,mexicans,indonesians,435,1077,-0.48012229800224304,0.11509156227111816,0.5952138602733612
16,mexicans,indonesians,53,160,-0.5823253989219666,0.14650030434131622,0.7288257032632828
17,mexicans,indonesians,765,669,-0.12748070061206818,-0.421262264251709,-0.2937815636396408
18,mexicans,indonesians,1719,548,0.14618907868862152,-0.4931556284427643,-0.6393447071313858
19,mexicans,indonesians,144,1376,-0.5722289085388184,0.17211981117725372,0.7443487197160721
20,mexicans,indonesians,517,1291,-0.46453532576560974,0.14481405913829803,0.6093493849039078
21,mexicans,indonesians,1656,437,0.14548440277576447,-0.5637957453727722,-0.7092801481485367
22,mexicans,indonesians,73,1346,-0.3990630805492401,0.3508196175098419,0.749882698059082
23,mexicans,indonesians,963,653,-0.092066191136837,-0.36597609519958496,-0.27390990406274796
24,mexicans,indonesians,1549,105,0.057508088648319244,-0.5893682837486267,-0.646876372396946
25,mexicans,indonesians,1948,1030,0.150655135512352,-0.40235066413879395,-0.5530057996511459
26,mexicans,indonesians,1043,1739,-0.5431394577026367,0.1724599450826645,0.7155994027853012
27,mexicans,indonesians,310,463,-0.4342203140258789,0.047846030443906784,0.4820663444697857
28,mexicans,indonesians,1104,1691,-0.6426094770431519,0.20809780061244965,0.8507072776556015
29,mexicans,indonesians,1766,890,0.05793450027704239,-0.3735252916812897,-0.43145979195833206
30,mexicans,indonesians,903,1902,-0.3559819757938385,0.3074413537979126,0.6634233295917511
31,mexicans,indonesians,1827,1083,-0.0690520778298378,-0.5871834754943848,-0.518131397664547
32,mexicans,indonesians,1474,969,0.04770972952246666,-0.32313400506973267,-0.3708437345921993
33,mexicans,indonesians,482,594,-0.3314532935619354,0.0076292515732347965,0.3390825451351702
34,mexicans,indonesians,158,163,-0.4350813925266266,-0.16214708983898163,0.27293430268764496
35,mexicans,indonesians,1750,381,0.11068125069141388,-0.5449903011322021,-0.655671551823616
36,mexicans,indonesians,1829,364,0.1292029470205307,-0.4573439657688141,-0.5865469127893448
37,mexicans,indonesians,903,476,-0.04667871072888374,-0.5517534613609314,-0.5050747506320477
38,mexicans,indonesians,1571,1445,0.010835218243300915,-0.5408000946044922,-0.5516353128477931
39,mexicans,indonesians,1196,1590,-0.505143940448761,0.19753634929656982,0.7026802897453308
40,mexicans,indonesians,1758,53,0.11896171420812607,-0.39766570925712585,-0.5166274234652519
41,mexicans,indonesians,1383,105,0.14129383862018585,-0.6035677194595337,-0.7448615580797195
42,mexicans,indonesians,1113,1362,-0.4228786528110504,0.2275591939687729,0.6504378467798233
43,mexicans,indonesians,1377,290,0.07688312977552414,-0.5380170941352844,-0.6149002239108086
44,mexicans,indonesians,420,951,-0.5393738746643066,0.02269456349313259,0.5620684381574392
45,mexicans,indonesians,1404,687,-0.05542335659265518,-0.3986649513244629,-0.3432415947318077
46,mexicans,indonesians,1203,1564,-0.4561269283294678,0.1569904386997223,0.6131173670291901
47,mexicans,indonesians,1305,1704,-0.5085838437080383,0.12736833095550537,0.6359521746635437
48,mexicans,indonesians,164,1725,-0.5889024138450623,0.21673813462257385,0.8056405484676361
49,mexicans,indonesians,1538,193,0.1473885029554367,-0.4683836102485657,-0.6157721132040024
