,group1,group2,num_group1,num_group2,preference_group1,preference_group2,preference_diff
0,mexicans,russians,1824,12,0.17251574993133545,-0.5708319544792175,-0.743347704410553
1,mexicans,russians,568,1360,-0.34761008620262146,0.14163723587989807,0.48924732208251953
2,mexicans,russians,664,428,-0.23993559181690216,-0.6173459887504578,-0.3774103969335556
3,mexicans,russians,1384,13,0.03628070279955864,-0.6963435411453247,-0.7326242439448833
4,mexicans,russians,1432,1289,0.33590957522392273,-0.5217649936676025,-0.8576745688915253
5,mexicans,russians,938,223,-0.1748814433813095,-0.7501827478408813,-0.5753013044595718
6,mexicans,russians,1199,1155,0.004097748082131147,-0.48698264360427856,-0.4910803916864097
7,mexicans,russians,176,1865,-0.5534499883651733,0.14405861496925354,0.6975086033344269
8,mexicans,russians,406,153,-0.2035800665616989,-0.5581098794937134,-0.35452981293201447
9,mexicans,russians,325,208,-0.22804415225982666,-0.5663560032844543,-0.3383118510246277
10,mexicans,russians,1721,1538,0.13238337635993958,-0.5163895487785339,-0.6487729251384735
11,mexicans,russians,1259,1399,-0.30623650550842285,0.1589646190404892,0.46520112454891205
12,mexicans,russians,320,1105,-0.5340774059295654,0.024211645126342773,0.5582890510559082
13,mexicans,russians,1589,867,0.276128888130188,-0.47255754470825195,-0.7486864328384399
14,mexicans,russians,1695,1353,0.1703268140554428,-0.687478244304657,-0.8578050583600998
15,mexicans,russians,1470,1791,-0.33687230944633484,0.14726220071315765,0.4841345101594925
16,mexicans,russians,917,97,-0.12232594937086105,-0.7759410738945007,-0.6536151245236397
17,mexicans,russians,1703,1375,0.20247681438922882,-0.5527704954147339,-0.7552473098039627
18,mexicans,russians,270,715,-0.6398104429244995,-0.2886866629123688,0.35112378001213074
19,mexicans,russians,1470,396,0.18962036073207855,-0.5762956142425537,-0.7659159749746323
20,mexicans,russians,515,1202,-0.5900000929832458,0.041057851165533066,0.6310579441487789
21,mexicans,russians,669,1441,-0.3316059708595276,-0.005662202835083008,0.3259437680244446
22,mexicans,russians,1505,643,0.10275965183973312,-0.5474926829338074,-0.6502523347735405
23,mexicans,russians,656,1448,-0.35220837593078613,0.042452335357666016,0.39466071128845215
24,mexicans,russians,1171,669,0.13976037502288818,-0.48628202080726624,-0.6260423958301544
25,mexicans,russians,368,1701,-0.4723113477230072,0.1959649622440338,0.668276309967041
26,mexicans,russians,1097,345,0.23317308723926544,-0.556653618812561,-0.7898267060518265
27,mexicans,russians,347,1382,-0.37275561690330505,0.1002819761633873,0.47303759306669235
28,mexicans,russians,872,1076,-0.23848211765289307,-0.07782874256372452,0.16065337508916855
29,mexicans,russians,1140,1995,-0.5173045992851257,-0.14344476163387299,0.37385983765125275
30,mexicans,russians,905,1574,-0.3428809642791748,0.10737433284521103,0.45025529712438583
31,mexicans,russians,1514,672,0.08928730338811874,-0.4082660675048828,-0.49755337089300156
32,mexicans,russians,1764,551,0.19825001060962677,-0.5231242775917053,-0.7213742882013321
33,mexicans,russians,189,1646,-0.5448623299598694,0.2130858451128006,0.75794817507267
34,mexicans,russians,64,1529,-0.5205524563789368,0.29887399077415466,0.8194264471530914
35,mexicans,russians,852,935,-0.3438289165496826,-0.5236890912055969,-0.1798601746559143
36,mexicans,russians,1834,247,0.27971479296684265,-0.5895758271217346,-0.8692906200885773
37,mexicans,russians,1450,239,0.21165691316127777,-0.5428619384765625,-0.7545188516378403
38,mexicans,russians,732,1378,-0.3191985487937927,0.06575548648834229,0.384954035282135
39,mexicans,russians,526,1617,-0.37695279717445374,0.12228415161371231,0.49923694878816605
40,mexicans,russians,1005,845,0.11225161701440811,-0.572159469127655,-0.6844110861420631
41,mexicans,russians,975,205,-0.20239877700805664,-0.7865681052207947,-0.584169328212738
42,mexicans,russians,1229,1589,-0.36903005838394165,0.12732373178005219,0.49635379016399384
43,mexicans,russians,1697,513,0.26390573382377625,-0.5065694451332092,-0.7704751789569855
44,mexicans,russians,1677,1645,0.17672193050384521,-0.5467546582221985,-0.7234765887260437
45,mexicans,russians,1139,1654,-0.5110975503921509,0.23307619988918304,0.7441737502813339
46,mexicans,russians,777,931,-0.23071494698524475,-0.13250453770160675,0.098210409283638
47,mexicans,russians,202,610,-0.4527551829814911,-0.0425187349319458,0.4102364480495453
48,mexicans,russians,871,1341,-0.22031842172145844,0.07850122451782227,0.2988196462392807
49,mexicans,russians,1969,1535,0.10624418407678604,-0.37602758407592773,-0.4822717681527138
